産業,性別,総数(人),15〜19歳(人),20〜24歳(人),25〜29歳(人),30〜34歳(人),35〜39歳(人),40〜44歳(人),45〜49歳(人),50〜54歳(人),55〜59歳(人),60〜64歳(人),65〜69歳(人),70〜74歳(人),75歳以上(人)
総数,男女計,1293600,17500,90600,122000,124200,153600,153700,134400,120200,112300,124400,68700,34800,37000
"農業,林業",男女計,25800,-,600,1600,1000,900,1100,900,2100,2200,2700,3400,2500,6700
漁業,男女計,700,-,-,100,-,-,-,100,100,100,100,100,100,100
"鉱業,採石業,砂利採取業",男女計,100,-,-,-,-,-,-,-,100,-,-,-,-,-
建設業,男女計,73800,300,2200,5600,5900,12000,10200,7000,5800,7700,9300,4700,1700,1300
製造業,男女計,216200,1300,10400,18400,22800,26600,30700,27400,21500,19200,19600,8700,5600,4000
電気・ガス・熱供給・水道業,男女計,5600,-,100,400,400,1200,700,1000,600,500,300,200,100,-
情報通信業,男女計,26000,-,2200,4400,4700,3500,4500,2700,1500,900,1000,300,200,300
"運輸業,郵便業",男女計,62900,400,1300,4500,5900,9600,8400,7400,6500,5300,7700,3800,1600,500
"卸売業,小売業",男女計,212400,3300,19400,19500,21300,23500,23000,21200,18800,19600,19100,10700,5600,7200
"金融業,保険業",男女計,29000,-,1600,4000,3400,3300,3600,4800,2500,2900,1900,500,200,300
"不動産業,物品賃貸業",男女計,25800,-,1100,1900,2300,1800,2600,1600,1300,2100,4900,2500,1400,2400
"学術研究,専門・技術サービス業",男女計,44100,-,1600,4600,4300,6900,5700,4700,3900,3700,4000,2000,900,1800
"宿泊業,飲食サービス業",男女計,87500,6600,13800,7200,6200,9500,7800,6600,5500,7800,8000,4600,2000,1900
"生活関連サービス業,娯楽業",男女計,50500,900,4200,5600,3100,4200,4600,3900,5200,3100,5900,4200,2700,3200
"教育,学習支援業",男女計,83100,1000,9500,9200,6300,8300,8100,10200,10200,7500,7300,3100,1300,1000
"医療,福祉",男女計,144900,500,9200,17500,18700,19800,15600,16500,14900,12000,11000,5200,2700,1300
複合サービス事業,男女計,10200,-,300,900,1200,1900,1700,1200,1500,700,700,100,-,-
サービス業(他に分類されないもの),男女計,76800,300,3500,4900,5700,7900,9600,6200,6500,5400,11900,8600,3600,2600
公務(他に分類されるものを除く),男女計,48100,1500,3800,6000,4300,4400,6600,6500,5000,5800,2900,700,300,100
分類不能の産業,男女計,70200,1400,5900,5900,6500,8200,9100,4500,6900,5700,6100,5300,2200,2400
総数,男,727100,8100,42000,64200,71100,88200,89600,73500,66400,63800,72900,42600,22000,22800
"農業,林業",男,16700,-,600,1500,600,500,700,400,1100,1200,1400,2400,1700,4400
漁業,男,600,-,-,100,-,-,-,100,100,100,100,100,100,100
"鉱業,採石業,砂利採取業",男,100,-,-,-,-,-,-,-,100,-,-,-,-,-
建設業,男,62200,300,2200,5200,4600,10500,9100,5500,4300,6600,7400,4000,1400,800
製造業,男,145900,800,6100,12400,15600,18100,20900,19800,15900,13000,11700,4800,4100,2700
電気・ガス・熱供給・水道業,男,4600,-,-,300,400,900,600,900,500,500,300,200,100,-
