西暦,和暦,産業,総数(人),男(人),女(人),雇用者(人),役員(人),雇人のある業主(人),雇人のない業主(人),家族従業者(人),家庭内職者(人)
2005年,平成17年,合計,1246629,715538,531091,953065,77310,37127,110225,62188,6577
2010年,平成22年,合計,1219370,687458,531912,902860,64329,32455,93537,48285,4600
2010年,平成22年,"農業,林業",25310,16324,8986,3728,356,1072,12045,8085,-
2010年,平成22年,漁業,744,628,116,330,14,47,259,94,-
2010年,平成22年,"鉱業,採石業,砂利採取業",200,175,25,153,31,6,5,5,-
2010年,平成22年,建設業,72202,61220,10982,41294,9395,4653,13111,3711,-
2010年,平成22年,製造業,194038,130625,63413,156208,13574,3212,10369,6529,4094
2010年,平成22年,電気・ガス・熱供給・水道業,5131,4525,606,5085,37,-,-,-,-
2010年,平成22年,情報通信業,21243,15064,6179,18204,1622,125,1178,113,-
2010年,平成22年,"運輸業,郵便業",57862,48599,9263,52202,1722,317,3381,206,-
2010年,平成22年,"卸売業,小売業",208532,103656,104876,162444,16243,5898,13136,10764,-
2010年,平成22年,"金融業,保険業",26714,12015,14699,24863,890,152,702,100,-
2010年,平成22年,"不動産業,物品賃貸業",23799,14286,9513,13555,4647,832,3431,1328,-
2010年,平成22年,"学術研究,専門・技術サービス業",37357,24302,13055,22850,3174,2514,6900,1909,-
2010年,平成22年,"宿泊業,飲食サービス業",83119,35284,47835,64215,2542,5006,5313,6026,-
2010年,平成22年,"生活関連サービス業,娯楽業",42762,17808,24954,29542,1633,2422,5713,3293,143
2010年,平成22年,"教育,学習支援業",69452,32907,36545,63492,909,866,3768,410,-
2010年,平成22年,"医療,福祉",131035,33714,97321,120992,2220,3438,2087,2249,-
2010年,平成22年,複合サービス事業,5528,3079,2449,5422,68,16,12,8,-
2010年,平成22年,サービス業(他に分類されないもの),65940,42008,23932,52643,4440,894,6378,1185,363
2010年,平成22年,公務(他に分類されるものを除く),41357,31328,10029,41347,-,-,-,-,-
2010年,平成22年,分類不能の産業,107045,59911,47134,24291,812,985,5749,2270,-
