西暦,和暦,産業,組合数(組合),組合員数(人),推定組織率(%)
2012年,平成24年,合計,1324,181697,17.6
2013年,平成25年,合計,1310,179875,16.2
2014年,平成26年,合計,1297,177827,17
2015年,平成27年,合計,1292,181048,17.2
2016年,平成28年,合計,1280,179397,16.8
2016年,平成28年,"農業,林業、漁業",10,322,…
2016年,平成28年,建設業,38,17867,…
2016年,平成28年,製造業,286,52363,…
2016年,平成28年,電気・ガス・熱供給・水道業,15,3385,…
2016年,平成28年,情報通信業,25,2818,…
2016年,平成28年,"運輸業,郵便業",169,16656,…
2016年,平成28年,"卸売業,小売業",159,22712,…
2016年,平成28年,"金融業,保険業",70,10092,…
2016年,平成28年,"不動産業,物品賃貸業",10,218,…
2016年,平成28年,"学術研究,専門・技術サービス業",22,1413,…
2016年,平成28年,"宿泊業,飲食サービス業",18,3831,…
2016年,平成28年,"生活関連サービス業,娯楽業",37,720,…
2016年,平成28年,"教育,学習支援業",93,10055,…
2016年,平成28年,"医療,福祉",100,13308,…
2016年,平成28年,複合サービス事業,30,5279,…
2016年,平成28年,サービス業(他に分類されないもの),40,3518,…
2016年,平成28年,公務(他に分類されるものを除く),132,13269,…
2016年,平成28年,その他,26,1571,…
