西暦,和暦,年月,総数_件数(件),総数_行為参加人員(人),賃金及び諸手当_件数(件),賃金及び諸手当_行為参加人員(人),臨時給与金_件数(件),臨時給与金_行為参加人員(人),退職金_件数(件),退職金_行為参加人員(人),労働協約の効力、締結等_件数(件),労働協約の効力、締結等_行為参加人員(人),解雇反対_件数(件),解雇反対_行為参加人員(人),その他_件数(件),その他_行為参加人員(人),損失日数(日)
2011年,平成23年,年次,40,2213,7,1240,7,2213,-,-,1,-,7,45,18,-,-
2012年,平成24年,年次,37,2322,10,2322,8,2317,1,-,-,-,7,-,11,5,153
2013年,平成25年,年次,44,2401,15,2401,12,2401,-,-,1,-,6,-,10,-,152
2014年,平成26年,年次,38,2706,17,2706,5,1393,1,-,1,-,2,-,12,1306,187
2015年,平成27年,年次,44,2039,18,1926,9,1831,-,-,-,-,1,-,16,88,181
2015年,平成27年,1月,2,-,-,-,-,-,-,-,-,-,-,-,2,-,-
2015年,平成27年,2月,2,-,-,-,1,-,-,-,-,-,-,-,1,-,-
2015年,平成27年,3月,19,1989,11,1916,5,1791,-,-,-,-,1,-,2,78,181
2015年,平成27年,4月,4,50,1,10,1,40,-,-,-,-,-,-,2,10,-
2015年,平成27年,5月,2,-,1,-,-,-,-,-,-,-,-,-,1,-,-
2015年,平成27年,6月,2,-,1,-,1,-,-,-,-,-,-,-,-,-,-
2015年,平成27年,7月,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2015年,平成27年,8月,3,-,1,-,1,-,-,-,-,-,-,-,1,-,-
2015年,平成27年,9月,5,-,2,-,-,-,-,-,-,-,-,-,3,-,-
2015年,平成27年,10月,3,-,-,-,-,-,-,-,-,-,-,-,3,-,-
2015年,平成27年,11月,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2015年,平成27年,12月,2,-,1,-,-,-,-,-,-,-,-,-,1,-,-
