産業,春季_2014年_金額(円),春季_2014年_賃上げ率(%),春季_2015年_金額(円),春季_2015年_賃上げ率(%),夏季_2014年_金額(円),夏季_2014年_月数(月),夏季_2015年_金額(円),夏季_2015年_月数(月),年末_2014年_金額(円),年末_2014年_月数(月),年末_2015年_金額(円),年末_2015年_月数(月)
産業平均,4492,1.63,5152,1.81,559866,2.01,618501,2.17,590377,2.1,617330,2.19
製造業,4513,1.63,5338,1.85,577107,2.06,630548,2.18,588895,2.07,626930,2.17
建設業,X,X,5389,1.91,631000,2.27,X,X,667333,2.41,702375,2.8
情報通信業,4831,1.64,4183,1.28,659318,2,768997,2.52,754809,2.47,770901,2.55
"運輸業,郵便業",3397,1.29,3660,1.36,555450,2.04,546406,2.03,595312,2.05,525093,2.02
"卸売業,小売業",4961,1.76,6531,2.21,495906,1.84,603688,2.1,535411,2.11,555557,2.11
"金融業,保険業",X,X,X,X,X,X,X,X,X,X,X,X
"宿泊業,飲食サービス業",4400,1.91,7610,3.39,390304,1.45,X,X,333683,1.13,X,X
"教育,学習支援業、医療,福祉",5969,2.22,6790,2.5,499426,1.78,479068,1.84,667890,2.43,625664,2.4
サービス業(他に分類されないもの)他,3654,1.4,3610,1.44,569642,2.15,618978,2.24,613534,2.25,484876,1.99
