西暦,和暦,施設名称,総数_件数(件),総数_人員(人),会議室_件数(件),会議室_人員(人),体育館等_件数(件),体育館等_人員(人),料理教室_件数(件),料理教室_人員(人),トレーニングルーム_件数(件),トレーニングルーム_人員(人)
2011年度,平成23年度,合計,20371,454343,14257,294684,3488,139427,255,3559,2371,16673
2012年度,平成24年度,合計,21300,467587,14923,297117,3642,148614,211,2761,2524,19095
2013年度,平成25年度,合計,21542,506181,15318,321608,3537,163152,194,2401,2493,19020
2014年度,平成26年度,合計,21210,530483,14872,329418,3663,179716,195,2540,2480,18809
2015年度,平成27年度,合計,18494,470019,12765,276656,3782,179295,145,1497,1802,12571
2015年度,平成27年度,城南勤労者福祉会館,2797,34796,1715,27669,-,-,69,698,1013,6429
2015年度,平成27年度,山城勤労者福祉会館,2721,122756,686,48723,2035,74033,-,-,-,-
2015年度,平成27年度,口丹波勤労者福祉会館,4101,182288,2354,77026,1747,105262,-,-,-,-
2015年度,平成27年度,中丹勤労者福祉会館,5685,93541,5685,93541,-,-,-,-,-,-
2015年度,平成27年度,丹後勤労者福祉会館,3190,36638,2325,29697,-,-,76,799,789,6142
