西暦,和暦,性別,高校卒_産業計(千円),高校卒_製造業(千円),高校卒_卸売業，小売業(千円),高校卒_サービス業（他に分類されないもの）(千円),高専・短大卒_産業計(千円),高専・短大卒_製造業(千円),高専・短大卒_卸売業，小売業(千円),高専・短大卒_サービス業（他に分類されないもの）(千円),大学卒_産業計(千円),大学卒_製造業(千円),大学卒_卸売業，小売業(千円),大学卒_サービス業（他に分類されないもの）(千円),大学院修士課程修了_産業計(千円),大学院修士課程修了_製造業(千円),大学院修士課程修了_卸売業，小売業(千円),大学院修士課程修了_サービス業（他に分類されないもの）(千円)
2011年,平成23年,男,160.3,161.3,165.2,156.7,171.5,184.4,174.2,183.3,198.7,212.4,197.2,185.1,227.3,227.2,211.8,184.9
2012年,平成24年,男,163.6,164.8,158.5,159.6,161.9,168.7,172,167.7,199.3,211.6,187.9,185.7,225.9,228,223.5,231.4
2013年,平成25年,男,166.6,168.2,174.8,164.6,190,183.5,165.7,180.7,202.8,204.4,208.1,192.3,227.3,229.8,223.5,218.6
2014年,平成26年,男,164,162.4,170.5,170.2,180.1,176,176.7,184.4,203.8,206.5,207.6,189.3,232.2,232.5,222.6,208.6
2015年,平成27年,男,160.7,163.1,157,162.5,171.6,175.4,176,181.2,202.7,204.5,205.2,179.4,230.5,232.9,225.7,231.7
2011年,平成23年,女,160,162.3,160.8,138,167.6,175.5,169.7,163,188.2,195.2,196.3,184.7,217.4,220.1,224,-
2012年,平成24年,女,158,157.4,164.8,157.5,169.2,176.7,158.5,186.5,188.7,195.9,181.3,200.8,221.3,223.5,178,-
2013年,平成25年,女,154.3,165.1,159,174.1,186.2,181.7,185,180.8,202.9,198.3,213.2,179,233.3,228.1,-,-
2014年,平成26年,女,158.9,162.4,146,-,176.7,194.7,185.1,153.4,198.6,206.3,199.8,185.9,221.1,234.3,187,210.5
2015年,平成27年,女,157.7,153.8,158.5,210,175.9,168.6,158.3,-,193.8,195.8,191.2,194.1,216.7,214.1,221.1,220.6
