西暦,和暦,年月等,新規求職申込件数(件),新規求職申込件数_男(件),新規求職申込件数_女(件),新規求人数(人),紹介件数(件),紹介件数_男(件),紹介件数_女(件),就職件数(件),就職件数_男(件),就職件数_女(件),充足数(人),新規求人倍率(倍),有効求人倍率(倍)
2011年度,平成23年度,年度次,110757,65008,45597,105483,192046,125793,66105,26698,16643,10022,27702,1.11,0.68
2012年度,平成24年度,年度次,104912,60495,44312,119817,188900,120568,68243,26243,16246,9983,26950,1.34,0.81
2013年度,平成25年度,年度次,96440,54281,42107,125493,161826,100304,61452,26176,15812,10356,26424,1.52,0.94
2014年度,平成26年度,年度次,90724,50045,40613,126447,137392,81878,55476,23997,14315,9660,24284,1.65,1.06
2015年度,平成27年度,年度次,81204,44680,36447,129003,123167,72274,50821,23285,13610,9657,23206,1.92,1.2
2015年度,平成27年度,4月,9306,5044,4250,10915,12431,7241,5186,2344,1369,975,2338,1.76,1.11
2015年度,平成27年度,5月,6656,3702,2953,9213,10415,6224,4181,1960,1163,796,1971,1.72,1.12
2015年度,平成27年度,6月,7138,4007,3121,10623,11320,6878,4435,2067,1290,772,2043,1.86,1.14
2015年度,平成27年度,7月,6632,3703,2922,12015,10772,6477,4283,1992,1204,784,2003,1.89,1.16
2015年度,平成27年度,8月,6398,3537,2858,10032,9404,5743,3657,1721,997,722,1690,1.86,1.18
2015年度,平成27年度,9月,6498,3649,2846,10886,9960,5823,4130,1960,1145,815,1918,2.11,1.22
2015年度,平成27年度,10月,6804,3793,3005,11552,10127,5948,4176,2041,1250,790,2029,1.93,1.22
2015年度,平成27年度,11月,5471,3078,2385,9631,8624,5154,3466,1760,1058,702,1716,1.93,1.23
2015年度,平成27年度,12月,5002,2798,2195,10149,7318,4362,2954,1608,907,699,1612,2.19,1.26
2015年度,平成27年度,1月,6634,3552,3078,12099,8911,5201,3708,1449,833,616,1481,2,1.28
2015年度,平成27年度,2月,7293,3868,3419,10876,11646,6558,5078,1842,1005,835,1830,1.83,1.25
2015年度,平成27年度,3月,7372,3949,3415,11012,12239,6665,5567,2541,1389,1151,2575,2.09,1.26
