西暦,和暦,年月等,新規求職申込件数(件),新規求職申込件数_常用(件),新規求職申込件数_臨時季節(件),紹介件数(件),紹介件数_常用(件),紹介件数_臨時季節(件),就職件数(件),就職件数_常用(件),就職件数_臨時季節(件)
2011年度,平成23年度,年度次,31559,31428,131,53597,49705,3892,7013,6188,825
2012年度,平成24年度,年度次,31004,30854,150,55267,51436,3831,7395,6715,680
2013年度,平成25年度,年度次,28778,28625,153,49279,45718,3561,7496,6775,721
2014年度,平成26年度,年度次,28718,28604,114,43466,40754,2682,7252,6716,536
2015年度,平成27年度,年度次,26740,26623,117,41388,38687,2701,7436,6848,588
2015年度,平成27年度,4月,3246,3240,6,3850,3640,210,697,648,49
2015年度,平成27年度,5月,2145,2133,12,3565,3374,191,600,556,44
2015年度,平成27年度,6月,2199,2195,4,3813,3581,232,658,616,42
2015年度,平成27年度,7月,2085,2080,5,3597,3385,212,614,581,33
2015年度,平成27年度,8月,2022,2020,2,3221,3044,177,547,515,32
2015年度,平成27年度,9月,2138,2136,2,3340,3151,189,626,583,43
2015年度,平成27年度,10月,2245,2244,1,3302,3052,250,664,610,54
2015年度,平成27年度,11月,1795,1794,1,2808,2589,219,570,527,43
2015年度,平成27年度,12月,1673,1668,5,2459,2217,242,506,453,53
2015年度,平成27年度,1月,2113,2062,51,2822,2586,236,451,398,53
2015年度,平成27年度,2月,2570,2561,9,4320,4081,239,579,533,46
2015年度,平成27年度,3月,2509,2490,19,4291,3987,304,924,828,96
