産業,2011年度(人),2012年度(人),2013年度(人),2014年度(人),2015年度(人),2015年4〜6月(人),2015年7〜9月(人),2015年10〜12月(人),2016年1〜3月(人)
総数,105483,119817,125493,126447,129003,30751,32933,31332,33987
農・林・漁業,568,624,602,543,494,120,126,93,155
鉱業・採石業・砂利採取業,23,20,25,37,86,14,21,25,26
建設業,9451,11864,13160,13499,13675,3484,3434,3262,3495
製造業,10517,10945,12941,14561,15541,3651,3983,3682,4225
製造業_食料品製造業,1392,1581,1954,2186,2556,581,647,639,689
製造業_飲料・たばこ・飼料製造業,119,121,182,191,187,63,49,25,50
製造業_繊維工業,973,1019,1162,1157,1082,236,293,266,287
製造業_木材・木製品製造業,173,188,173,176,145,32,37,36,40
製造業_家具・装備品製造業,188,212,209,189,186,45,48,47,46
製造業_パルプ・紙・紙加工品製造業,440,403,365,293,378,93,95,72,118
製造業_印刷・同関連業,696,852,921,1174,965,238,262,237,228
製造業_化学工業,393,456,516,439,470,91,108,101,170
製造業_石油製品・石炭製品製造業,8,5,9,9,18,4,6,6,2
製造業_プラスチック製品製造業,514,470,554,582,680,170,153,174,183
製造業_ゴム製品製造業,65,75,87,121,90,11,21,22,36
製造業_窯業・土石製品製造業,267,197,252,343,320,68,80,75,97
製造業_鉄鋼業,229,261,243,258,199,55,56,43,45
製造業_非鉄金属製造業,78,99,106,117,184,30,48,59,47
製造業_金属製品製造業,891,1041,1194,1390,1434,377,393,340,324
製造業_はん用機械器具製造業,1029,966,1120,1297,1615,377,402,387,449
製造業_生産用機械器具製造業,580,585,801,951,1070,276,269,253,272
製造業_業務用機械器具製造業,564,524,597,777,890,229,218,211,232
製造業_電子部品・デバイス・電子回路製造業,537,497,679,857,1043,211,319,195,318
製造業_電気機械器具製造業,722,789,844,935,1024,233,248,261,282
製造業_情報通信機械器具製造業,30,29,78,51,36,5,4,14,13
製造業_輸送用機械器具製造業,295,247,430,441,453,121,116,105,111
製造業_その他の製造業,334,328,465,627,516,105,111,114,186
電気・ガス・熱供給・水道業,106,97,163,131,133,40,28,35,30
情報通信業,4815,6641,6958,6621,6574,1642,1714,1618,1600
"運輸業,郵便業",9480,10517,10415,10853,11124,2720,2802,2804,2798
"卸売業,小売業",15947,17805,17937,17641,17693,4203,4531,4257,4702
"金融業,保険業",878,1305,1139,1073,1090,268,289,298,235
"不動産業,物品賃貸業",2803,2974,3388,3502,3325,716,869,827,913
"学術研究,専門・技術サービス業",3898,4559,4724,4486,4370,1097,1065,1110,1098
"宿泊業,飲食サービス業",9353,10475,8997,7628,7918,1938,2001,2018,1961
"生活関連サービス業,娯楽業",4742,4934,5108,5029,4897,1369,1217,1124,1187
"教育,学習支援業",890,1046,2130,2363,2487,338,699,457,993
"医療,福祉",19938,22204,22765,23141,25409,5621,6537,6545,6706
複合サービス事業,295,349,342,474,439,143,124,80,92
サービス業(他に分類されないもの),9648,11230,12396,12886,11457,2851,3029,2638,2939
公務・その他,2131,2228,2303,1979,2291,536,464,459,832
