西暦,和暦,年月等,適用事業所数(事業所),被保険者数(人),資格取得者数(人),資格喪失者数(人),離職票交付枚数(枚),受給資格決定件数(件),初回受給者数(人),受給者実人員(人),給付延日数(日),支給金額(千円)
2011年度,平成23年度,年度次,41723,689762,135037,127531,83611,40454,34318,12526,3822412,18417873
2012年度,平成24年度,年度次,41947,693461,134690,131322,86140,40172,34289,12884,3902149,18869397
2013年度,平成25年度,年度次,42067,700148,137554,129781,82462,36363,30554,11401,3433934,16401587
2014年度,平成26年度,年度次,42476,708039,139789,130628,81151,34681,28857,10330,3101178,14724964
2015年度,平成27年度,年度次,42568,716880,138580,127916,79296,32604,26793,9469,2858142,13688277
2015年度,平成27年度,4月,42612,710628,28157,24456,14730,4605,2321,8899,231975,1099373
2015年度,平成27年度,5月,42675,718180,17391,10006,6165,3450,3342,9522,220268,1042054
2015年度,平成27年度,6月,42735,720119,11468,9440,5664,2803,2239,10301,263501,1254717
2015年度,平成27年度,7月,42810,720701,10539,10095,6396,2787,2349,10270,271508,1290181
2015年度,平成27年度,8月,42764,720000,8272,8892,5811,2332,2499,10512,250729,1201382
2015年度,平成27年度,9月,42280,718437,8547,10057,6084,2585,2253,10242,263136,1258894
2015年度,平成27年度,10月,42313,717912,10425,10629,6609,2970,1972,9813,247329,1185910
2015年度,平成27年度,11月,42351,719430,8888,7489,4775,2115,2132,9425,228735,1103199
2015年度,平成27年度,12月,42390,719848,8344,7919,4788,1797,1799,8813,202644,980442
2015年度,平成27年度,1月,42457,717387,7780,9976,6272,2428,1874,8849,245458,1187994
2015年度,平成27年度,2月,42554,717449,8909,8719,5460,2334,2041,8574,203890,983947
2015年度,平成27年度,3月,42568,716880,9860,10238,6542,2398,1972,8408,228969,1100185
