西暦,和暦,年月等,日雇労働被保険者手帳交付数(件),受給者実人員_総数(人),受給者実人員_第1級(人),受給者実人員_第2級(人),受給者実人員_第3級(人),支給金額(千円),受給延日数_総数(日),受給延日数_第1級(日),受給延日数_第2級(日),受給延日数_第3級(日)
2011年度,平成23年度,年度次,1975,1681,1101,203,379,1307348,201399,125949,25421,50029
2012年度,平成24年度,年度次,1901,1570,1034,200,338,1258504,192968,121497,25831,45640
2013年度,平成25年度,年度次,1814,1477,986,176,318,1151707,177031,111526,22234,43271
2014年度,平成26年度,年度次,1658,1366,924,131,312,1055529,163092,103162,17191,42739
2015年度,平成27年度,年度次,1374,1116,701,110,306,873904,138279,81747,13819,42713
2015年度,平成27年度,4月,145,1315,894,117,304,85015,13123,8392,1275,3456
2015年度,平成27年度,5月,137,1239,834,109,297,90994,13924,9231,1200,3493
2015年度,平成27年度,6月,160,1239,825,117,297,82670,12759,8168,1232,3359
2015年度,平成27年度,7月,195,1228,808,122,302,86164,13390,8339,1387,3664
2015年度,平成27年度,8月,160,1218,793,119,306,80331,12444,7863,1227,3354
2015年度,平成27年度,9月,101,1153,730,117,308,72582,11569,6676,1167,3726
2015年度,平成27年度,10月,94,1079,654,110,316,65599,10579,5898,1034,3647
2015年度,平成27年度,11月,63,1063,643,106,315,63753,10257,5707,1093,3457
2015年度,平成27年度,12月,84,1031,613,104,314,51984,8519,4436,940,3143
2015年度,平成27年度,1月,131,1067,648,106,314,93082,14651,8837,1413,4401
2015年度,平成27年度,2月,47,893,492,97,305,47899,8050,3863,838,3349
2015年度,平成27年度,3月,57,865,480,94,292,53831,9014,4337,1013,3664
