西暦,和暦,産業,総数(件),4月(件),5月(件),6月(件),7月(件),8月(件),9月(件),10月(件),11月(件),12月(件),1月(件),2月(件),3月(件)
2015年度,平成27年度,総数,32604,4605,3450,2803,2787,2332,2585,2970,2115,1797,2428,2334,2398
2015年度,平成27年度,"農業,林業",76,10,4,9,8,7,2,3,4,1,4,17,7
2015年度,平成27年度,漁業,9,-,-,-,-,1,1,1,-,-,2,1,3
2015年度,平成27年度,"鉱業,採石業,砂利採取業",12,3,-,-,-,1,1,-,1,2,3,1,-
2015年度,平成27年度,建設業,1197,125,112,130,103,103,94,96,77,66,95,91,105
2015年度,平成27年度,製造業,5552,676,523,453,511,412,429,600,335,315,449,417,432
2015年度,平成27年度,製造業_食料品製造業,928,146,97,81,93,60,70,77,51,49,60,79,65
2015年度,平成27年度,製造業_飲料・たばこ・飼料製造業,129,44,8,5,8,10,6,9,3,5,11,11,9
2015年度,平成27年度,製造業_繊維工業,518,61,53,45,48,27,59,45,27,39,47,35,32
2015年度,平成27年度,製造業_木材・木製品製造業,74,8,9,7,8,4,5,9,5,1,9,3,6
2015年度,平成27年度,製造業_家具・装備品製造業,54,3,7,4,5,4,3,4,1,2,5,8,8
2015年度,平成27年度,製造業_パルプ・紙・紙加工品製造業,126,10,10,13,7,10,11,9,13,6,9,19,9
2015年度,平成27年度,製造業_印刷・同関連業,432,46,37,47,29,37,28,43,25,31,42,27,40
2015年度,平成27年度,製造業_化学工業,291,29,24,27,29,22,24,19,20,14,31,26,26
2015年度,平成27年度,製造業_石油製品・石炭製品製造業,8,3,-,1,-,-,-,1,-,-,-,2,1
2015年度,平成27年度,製造業_プラスチック製品製造業,149,16,11,12,11,16,23,12,10,8,11,10,9
2015年度,平成27年度,製造業_ゴム製品製造業,34,4,3,3,5,1,3,6,1,3,2,2,1
2015年度,平成27年度,製造業_なめし革・同製品・毛皮製造業,25,3,-,3,1,3,4,1,1,2,3,2,2
2015年度,平成27年度,製造業_窯業・土石製品製造業,141,14,11,16,12,10,11,8,12,7,12,12,16
2015年度,平成27年度,製造業_鉄鋼業,37,1,2,2,6,2,4,3,6,2,3,4,2
2015年度,平成27年度,製造業_非鉄金属製造業,41,4,4,2,3,2,6,3,4,2,4,2,5
2015年度,平成27年度,製造業_金属製品製造業,354,29,29,31,34,34,28,40,31,12,24,29,33
2015年度,平成27年度,製造業_はん用機械器具製造業,313,32,22,23,34,20,25,40,27,19,27,19,25
2015年度,平成27年度,製造業_生産用機械器具製造業,99,10,11,5,6,2,8,16,7,10,10,7,7
2015年度,平成27年度,製造業_業務用機械器具製造業,225,25,28,13,23,17,17,25,12,10,22,12,21
2015年度,平成27年度,製造業_電子部品・デバイス・電子回路製造業,84,8,3,4,2,-,5,33,3,10,4,11,1
2015年度,平成27年度,製造業_電気機械器具製造業,834,103,77,61,74,72,53,136,41,41,64,47,65
2015年度,平成27年度,製造業_情報通信機械器具製造業,12,3,2,1,1,1,-,1,2,-,1,-,-
2015年度,平成27年度,製造業_輸送用機械器具製造業,410,51,44,37,38,43,26,35,19,20,31,32,34
2015年度,平成27年度,製造業_その他の製造業,234,23,31,10,34,15,10,25,14,22,17,18,15
2015年度,平成27年度,電気・ガス・熱供給・水道業,54,9,13,1,5,6,2,5,1,1,6,3,2
2015年度,平成27年度,情報通信業,797,85,81,67,72,62,60,65,64,54,60,69,58
2015年度,平成27年度,"運輸業,郵便業",1756,153,168,130,144,144,226,169,124,97,117,139,145
2015年度,平成27年度,"卸売業,小売業",6736,787,619,606,599,474,557,583,503,415,532,516,545
2015年度,平成27年度,"金融業,保険業",902,122,83,87,82,61,66,93,60,52,57,74,65
2015年度,平成27年度,"不動産業,物品賃貸業",686,83,58,71,50,47,63,66,50,51,52,50,45
2015年度,平成27年度,"学術研究,専門・技術サービス業",1470,191,133,162,114,100,120,143,103,79,116,92,117
2015年度,平成27年度,"宿泊業,飲食サービス業",1563,188,143,128,125,110,146,136,119,86,118,135,129
2015年度,平成27年度,"生活関連サービス業,娯楽業",1032,137,96,95,101,61,75,86,64,53,92,87,85
2015年度,平成27年度,"教育,学習支援業",1137,348,202,83,73,62,60,80,39,42,49,39,60
2015年度,平成27年度,"医療,福祉",4801,904,569,382,375,318,371,394,287,227,380,298,296
2015年度,平成27年度,複合サービス事業,297,49,52,24,30,10,16,23,26,14,10,27,16
2015年度,平成27年度,サービス業,3601,477,402,310,334,314,256,363,217,197,240,249,242
2015年度,平成27年度,公務,905,254,192,63,58,37,40,61,40,44,45,29,42
