西暦,和暦,種別,学校,科目,訓練期間,前年度からの繰越(人),定員(人),応募者数(人),入校者数(人),入校者の内訳_入校者の内訳_年齢別_19歳以下(人),入校者の内訳_年齢別_20〜29歳(人),入校者の内訳_年齢別_30〜44歳(人),入校者の内訳_年齢別_45〜59歳(人),入校者の内訳_年齢別_60歳以上(人),入校者の内訳_学歴別_中学卒(人),入校者の内訳_学歴別_高校卒(人),入校者の内訳_学歴別_短大卒(人),入校者の内訳_学歴別_大学卒(人),修了者数(人),修了者のうち就業した者_就業者(人),修了者のうち就業した者_他人雇用(人),修了者のうち就業した者_自営・家族従事者(人),修了者のうち就業した者_未就業者(人),修了者のうち就業した者_進学・その他(人),次年度への繰越(人)
2011年度,平成23年度,公共職業訓練計,…,…,…,255,1051,1330,785,148,215,307,103,12,…,…,…,…,610,479,462,17,96,35,200
2012年度,平成24年度,公共職業訓練計,…,…,…,256,983,1314,813,155,202,313,128,15,…,…,…,…,632,508,500,8,86,38,242
2013年度,平成25年度,公共職業訓練計,…,…,…,249,983,1196,782,151,201,298,125,7,…,…,…,…,582,469,447,22,92,21,243
2014年度,平成26年度,公共職業訓練計,…,…,…,240,988,1095,798,131,232,294,131,10,…,…,…,…,580,460,446,14,104,16,229
2015年度,平成27年度,公共職業訓練計,…,…,…,229,953,1204,854,145,238,322,136,13,…,…,…,…,600,511,500,11,77,12,260
2015年度,平成27年度,普通課程,…,…,1年制,-,70,73,64,14,27,21,2,-,…,…,…,…,58,49,48,1,2,7,-
2015年度,平成27年度,普通課程,…,…,2年制,65,80,132,78,40,30,8,-,-,…,…,…,…,55,54,49,5,-,1,71
2015年度,平成27年度,専門課程,…,…,2年制,17,55,38,33,30,2,1,-,-,…,…,…,…,16,16,16,-,-,-,29
2015年度,平成27年度,短期課程,…,…,1年制,-,95,111,79,55,16,7,-,1,…,…,…,…,51,43,42,1,4,4,-
2015年度,平成27年度,短期課程,…,…,6か月,147,653,850,600,6,163,285,134,12,…,…,…,…,420,349,345,4,71,-,160
2015年度,平成27年度,…,府立校計,…,…,65,275,342,242,109,77,44,10,2,9,178,5,50,184,160,153,7,12,12,71
2015年度,平成27年度,…,府立京都高等技術専門校,…,…,38,90,115,82,43,28,10,1,-,3,67,-,12,56,52,52,-,-,4,43
2015年度,平成27年度,普通課程,府立京都高等技術専門校,システム設計科,2年,17,20,33,19,12,6,1,-,-,-,18,-,1,11,11,11,-,-,-,16
2015年度,平成27年度,普通課程,府立京都高等技術専門校,メカトロニクス科,2年,15,20,24,19,12,6,1,-,-,-,17,-,2,14,13,13,-,-,1,18
2015年度,平成27年度,普通課程,府立京都高等技術専門校,機械加工システム科,1年,-,10,5,4,1,3,-,-,-,-,2,-,2,4,4,4,-,-,-,-
2015年度,平成27年度,普通課程,府立京都高等技術専門校,機械加工システム科,2年,6,10,12,10,6,2,2,-,-,-,9,-,1,5,5,5,-,-,-,9
