西暦,和暦,施設,種別,施設数(施設),常勤換算従事者(人),定員(人),在所者(人)
2010年,平成22年,合計,合計,1042,15604,57806,56671
2011年,平成23年,合計,合計,1055,16429,61156,61294
2012年,平成24年,合計,合計,946,16506,59379,60077
2013年,平成25年,合計,合計,958,16443,59826,61008
2014年,平成26年,合計,合計,1007,16935,61971,62774
2014年,平成26年,保護施設,合計,2,37,130,127
2014年,平成26年,保護施設,救護施設,1,28,100,95
2014年,平成26年,保護施設,更生施設,1,9,30,32
2014年,平成26年,保護施設,医療保護施設,-,…,…,…
2014年,平成26年,保護施設,授産施設,-,-,-,-
2014年,平成26年,保護施設,宿所提供施設,-,-,-,-
2014年,平成26年,老人福祉施設,合計,119,799,3210,3014
2014年,平成26年,老人福祉施設,養護老人ホーム(一般),14,225,936,893
2014年,平成26年,老人福祉施設,養護老人ホーム(盲),1,13,50,50
2014年,平成26年,老人福祉施設,軽費老人ホームＡ型,4,41,200,192
2014年,平成26年,老人福祉施設,軽費老人ホームＢ型,-,-,-,-
2014年,平成26年,老人福祉施設,軽費老人ホーム(ケアハウス),56,409,2024,1879
2014年,平成26年,老人福祉施設,都市型軽費老人ホーム,-,-,-,-
2014年,平成26年,老人福祉施設,老人福祉センター(特Ａ型),3,9,…,…
2014年,平成26年,老人福祉施設,老人福祉センター(Ａ型),27,69,…,…
2014年,平成26年,老人福祉施設,老人福祉センター(Ｂ型),14,32,…,…
2014年,平成26年,障害者支援施設等,合計,76,1635,2683,2533
2014年,平成26年,障害者支援施設等,障害者支援施設,45,1544,2260,2484
2014年,平成26年,障害者支援施設等,地域活動支援センター,28,87,357,…
2014年,平成26年,障害者支援施設等,福祉ホーム,3,3,66,49
2014年,平成26年,身体障害者社会参加支援施設,合計,15,117,-,…
2014年,平成26年,身体障害者社会参加支援施設,身体障害者福祉センター（Ａ型）,2,30,…,…
2014年,平成26年,身体障害者社会参加支援施設,身体障害者福祉センター（Ｂ型）,6,20,…,…
2014年,平成26年,身体障害者社会参加支援施設,障害者更生センター,-,-,-,…
2014年,平成26年,身体障害者社会参加支援施設,補装具製作施設,1,2,…,…
2014年,平成26年,身体障害者社会参加支援施設,盲導犬訓練施設,1,19,…,…
2014年,平成26年,身体障害者社会参加支援施設,点字図書館,2,17,…,…
2014年,平成26年,身体障害者社会参加支援施設,点字出版施設,2,10,…,…
2014年,平成26年,身体障害者社会参加支援施設,聴覚障害者情報提供施設,1,19,…,…
2014年,平成26年,婦人保護施設,合計,1,1,30,1
2014年,平成26年,児童福祉施設,合計,660,12580,50699,52937
2014年,平成26年,児童福祉施設,助産施設,-,…,…,…
2014年,平成26年,児童福祉施設,乳児院,4,116,83,69
2014年,平成26年,児童福祉施設,母子生活支援施設,4,58,90,218
2014年,平成26年,児童福祉施設,保育所,448,10839,48853,50883
2014年,平成26年,児童福祉施設,児童養護施設,12,324,698,595
2014年,平成26年,児童福祉施設,障害児入所施設（福祉型）,4,73,140,94
2014年,平成26年,児童福祉施設,障害児入所施設（医療型）,5,167,455,205
2014年,平成26年,児童福祉施設,児童発達支援センター（福祉型）,9,149,305,993
2014年,平成26年,児童福祉施設,児童発達支援センター（医療型）,1,6,30,18
2014年,平成26年,児童福祉施設,情緒障害児短期治療施設,2,44,80,46
2014年,平成26年,児童福祉施設,児童自立支援施設,1,29,55,34
2014年,平成26年,児童福祉施設,児童家庭支援センター,2,7,…,…
2014年,平成26年,児童福祉施設,小型児童館,148,708,…,…
2014年,平成26年,児童福祉施設,児童センター,18,56,…,…
2014年,平成26年,児童福祉施設,大型児童館Ａ型,-,-,…,…
2014年,平成26年,児童福祉施設,大型児童館Ｂ型,-,-,…,…
2014年,平成26年,児童福祉施設,大型児童館Ｃ型,-,-,…,…
2014年,平成26年,児童福祉施設,その他の児童館,2,4,…,…
2014年,平成26年,児童福祉施設,児童遊園,-,…,…,…
2014年,平成26年,母子福祉施設,合計,1,5,…,…
2014年,平成26年,母子福祉施設,母子福祉センター,1,5,…,…
2014年,平成26年,母子福祉施設,母子休養ホーム,-,-,…,…
2014年,平成26年,その他の社会福祉施設等,合計,133,1762,5219,4162
2014年,平成26年,その他の社会福祉施設等,授産施設,-,-,-,-
2014年,平成26年,その他の社会福祉施設等,宿所提供施設,1,3,15,12
2014年,平成26年,その他の社会福祉施設等,盲人ホーム,1,3,20,…
2014年,平成26年,その他の社会福祉施設等,無料低額診療施設,-,…,…,…
2014年,平成26年,その他の社会福祉施設等,隣保館,36,96,…,…
2014年,平成26年,その他の社会福祉施設等,へき地保健福祉館,-,-,…,…
2014年,平成26年,その他の社会福祉施設等,へき地保育所,-,-,-,-
2014年,平成26年,その他の社会福祉施設等,有料老人ホーム,95,1660,5184,4150
