西暦,和暦,年月等,被保護世帯数(世帯),被保護実人員(人)
2011年度,平成23年度,年度次,40597,59960
2012年度,平成24年度,年度次,41937,61448
2013年度,平成25年度,年度次,42560,61758
2014年度,平成26年度,年度次,42741,61388
2015年度,平成27年度,年度次,42869,60742
2015年度,平成27年度,4月,42856,61094
2015年度,平成27年度,5月,42816,60922
2015年度,平成27年度,6月,42863,60898
2015年度,平成27年度,7月,42882,60867
2015年度,平成27年度,8月,42818,60702
2015年度,平成27年度,9月,42838,60698
2015年度,平成27年度,10月,42918,60741
2015年度,平成27年度,11月,42861,60648
2015年度,平成27年度,12月,42872,60615
2015年度,平成27年度,1月,42879,60586
2015年度,平成27年度,2月,42877,60486
2015年度,平成27年度,3月,42941,60663
