西暦,和暦,地域,現に保護を受けた世帯総数(世帯),世帯主が働いている世帯_常用勤労者(世帯),世帯主が働いている世帯_日雇労働者(世帯),世帯主が働いている世帯_内職者(世帯),世帯主が働いている世帯_その他の就業者(世帯),世帯主は働いていないが世帯員が働いている世帯(世帯),働いている者のいない世帯(世帯)
2011年度,平成23年度,合計,487185,48966,17131,3095,4428,15022,398543
2012年度,平成24年度,合計,503220,54174,18496,3318,4984,15721,406527
2013年度,平成25年度,合計,510728,59015,18797,3367,5381,16149,408019
2014年度,平成26年度,合計,512886,60100,18795,3519,6094,16622,407756
2015年度,平成27年度,合計,514427,60142,19750,3400,6623,16360,408152
2015年度,平成27年度,京都市,391902,44990,15872,2480,4946,12084,311530
2015年度,平成27年度,福知山市,9524,1129,834,45,124,265,7127
2015年度,平成27年度,舞鶴市,9684,730,134,21,14,241,8544
2015年度,平成27年度,綾部市,2258,355,8,45,51,9,1790
2015年度,平成27年度,宇治市,24177,3609,150,107,126,906,19279
2015年度,平成27年度,宮津市,1470,89,129,-,43,14,1195
2015年度,平成27年度,亀岡市,8515,1304,58,124,254,312,6463
2015年度,平成27年度,城陽市,8056,1124,9,-,241,297,6385
2015年度,平成27年度,向日市,5053,670,19,2,32,184,4146
2015年度,平成27年度,長岡京市,7950,977,33,12,200,245,6483
2015年度,平成27年度,八幡市,12671,1877,53,2,39,473,10227
2015年度,平成27年度,京田辺市,6634,77,1627,43,81,205,4601
2015年度,平成27年度,京丹後市,4744,366,257,434,109,205,3373
2015年度,平成27年度,南丹市,3137,508,32,35,20,94,2448
2015年度,平成27年度,木津川市,4423,1046,15,3,76,230,3053
2015年度,平成27年度,山城広域振興局,11136,1216,180,4,231,489,9016
2015年度,平成27年度,南丹広域振興局,1320,52,117,19,2,36,1094
2015年度,平成27年度,丹後広域振興局,1773,23,223,24,34,71,1398
