西暦,和暦,年月等,総額(千円),扶助総数_延人員(人),扶助総数_金額(千円),生活扶助_人員(人),生活扶助_金額(千円),住宅扶助_人員(人),住宅扶助_金額(千円),教育扶助_人員(人),教育扶助_金額(千円),医療扶助_人員(人),医療扶助_金額(千円),出産扶助_人員(人),出産扶助_金額(千円),生業扶助_人員(人),生業扶助_金額(千円),葬祭扶助_人員(人),葬祭扶助_金額(千円),介護扶助_人員(人),介護扶助_金額(千円),施設事務費及び委託事務費(千円),就労自立給付金(千円)
2011年度,平成23年度,年度次,96540583,2007813,96198547,649815,33740164,621536,16016047,75865,800614,548769,43317756,9,1853,26789,460352,1086,270908,83944,1590853,342035,・
2012年度,平成24年度,年度次,99034671,2060505,98703955,665260,34539596,640021,16637621,74144,784567,561897,44344260,12,1807,28356,482863,1099,270000,89716,1643241,330714,・
2013年度,平成25年度,年度次,99101829,2068704,98777269,663958,33665141,644484,16939905,71907,759650,564754,44990029,19,1368,27659,475379,1111,274164,94812,1671633,324560,・
2014年度,平成26年度,年度次,99498056,2070694,99134057,659853,33680631,646674,17152299,69031,747722,566999,45108569,14,2231,26504,484639,878,261211,100741,1696755,360536,3463
2015年度,平成27年度,年度次,99589290,2050069,99205428,646608,32353558,636329,17244729,65990,726361,568900,46432267,19,3268,25374,467134,722,236383,106127,1741728,360179,23683
2015年度,平成27年度,4月,7950615,171042,7932569,54200,2569811,53298,1396367,5540,59530,47519,3737785,1,298,1780,48082,65,1353,8639,119344,17101,945
2015年度,平成27年度,5月,8084795,170447,8060578,53979,2595839,53144,1428718,5490,61373,47107,3760610,2,-,2007,55312,53,19176,8665,139550,21395,2823
2015年度,平成27年度,6月,8139281,171328,8108702,53982,2598107,53166,1432035,5489,69851,47814,3806267,1,525,2071,36647,61,21308,8744,143961,28991,1589
2015年度,平成27年度,7月,8337954,171112,8307371,53878,2604902,53109,1456785,5496,66155,47628,3984818,2,208,2127,32170,55,16125,8817,146209,28114,2469
2015年度,平成27年度,8月,8249293,170096,8218699,53544,2589145,52910,1449718,5483,45238,47128,3934231,1,49,2174,30954,61,17289,8795,152075,28744,1850
2015年度,平成27年度,9月,8160987,169761,8129964,53475,2600741,52921,1440907,5480,61861,46852,3830791,1,459,2140,33782,56,16097,8836,145325,28786,2237
2015年度,平成27年度,10月,8072613,170902,8044805,53781,2596182,53085,1447225,5482,61400,47500,3734308,2,120,2141,38670,60,22250,8851,144648,26252,1556
2015年度,平成27年度,11月,8440489,171168,8407190,54159,2715575,53081,1453203,5474,62351,47420,3973478,3,894,2115,34020,49,19283,8867,148386,32159,1140
2015年度,平成27年度,12月,9036577,171365,9006378,54025,3306596,53120,1440482,5478,60914,47605,4006904,2,201,2144,28303,43,18250,8948,144729,29033,1166
2015年度,平成27年度,1月,8286316,170081,8255261,53856,2699471,52843,1414505,5488,60710,46765,3886116,1,125,2080,30961,72,16078,8976,147296,28661,2395
2015年度,平成27年度,2月,8290433,170718,8257452,53814,2682256,52743,1406301,5484,59300,47392,3909379,2,-23,2198,29203,84,25541,9001,145494,31303,1679
2015年度,平成27年度,3月,8539936,172049,8476460,53915,2794932,52909,1478481,5606,57679,48170,3867580,1,413,2397,69030,63,43633,8988,164711,59642,3834
