西暦,和暦,種別,障害者総合支援法_件数(件),障害者総合支援法_医療費_公費負担(千円),障害者総合支援法_医療費_自己負担(千円),戦傷病者特別援護法_療養費_入院件数(件),戦傷病者特別援護法_療養費_入院金額(千円),戦傷病者特別援護法_療養費_通院件数(件),戦傷病者特別援護法_療養費_通院金額(千円)
2011年度,平成23年度,合計,11446,4663741,473065,13,11519,192,3347
2012年度,平成24年度,合計,12008,4866135,486380,12,11473,202,3522
2013年度,平成25年度,合計,12946,5083969,504411,8,7535,131,3303
2014年度,平成26年度,合計,12605,5037815,516555,-,-,60,2708
2015年度,平成27年度,合計,13732,5233614,513756,-,-,60,2010
2015年度,平成27年度,視覚障害,2,4945,21,…,…,…,…
2015年度,平成27年度,聴覚・平衡機能障害,4,192,58,…,…,…,…
2015年度,平成27年度,音声・言語・そしゃく機能障害,14,311,199,…,…,…,…
2015年度,平成27年度,肢体不自由,2602,219659,93643,…,…,…,…
2015年度,平成27年度,内臓障害_合計,10666,4799709,405197,…,…,…,…
2015年度,平成27年度,内臓障害_心臓,3095,427833,99920,…,…,…,…
2015年度,平成27年度,内臓障害_腎臓,7489,4342328,301389,…,…,…,…
2015年度,平成27年度,内臓障害_小腸,-,-,-,…,…,…,…
2015年度,平成27年度,内臓障害_肝臓,82,29548,3888,…,…,…,…
2015年度,平成27年度,免疫機能障害,437,207724,14628,…,…,…,…
2015年度,平成27年度,訪問看護,7,1075,10,…,…,…,…
