西暦,和暦,地域等,被保険者数(年度末現在)(人),収入(千円),収入_保険料(税)(千円),収入_国庫支出金(千円),収入_その他(千円),支出(千円),支出_保険給付費_療養諸費・高額療養費(千円),支出_保険給付費_その他(千円),支出_その他(千円),収入・支出の差額(-印は赤字)(千円)
2010年度,平成22年度,合計,745297,274565346,64344263,72477545,137743538,277503156,182185898,3160344,92156914,-2937810
2011年度,平成23年度,合計,743633,286201761,66810155,73535022,145856584,285873039,188604211,2991701,94277128,328721
2012年度,平成24年度,合計,734582,294530081,67155996,70124276,157249809,290582799,190997648,2920159,96664987,3947282
2013年度,平成25年度,合計,725028,301522826,66959213,72498743,162064870,297093049,196295041,2846416,97951592,4429778
2014年度,平成26年度,合計,712897,303296679,65825558,74503695,162967426,298584447,198876351,2602272,97105824,4712232
2014年度,平成26年度,京都市,350898,151222728,30266113,36592602,84364013,149818305,100368664,1053832,48395810,1404423
2014年度,平成26年度,福知山市,17439,8245306,1508798,2028872,4707637,8023916,5563356,51098,2409462,221390
2014年度,平成26年度,舞鶴市,21350,9261018,1831264,2262344,5167410,9129704,6208630,64501,2856573,131314
2014年度,平成26年度,綾部市,9309,3964572,711632,733291,2519648,3963165,2728245,23995,1210924,1407
2014年度,平成26年度,宇治市,46644,20954379,4109745,4281984,12562649,20470981,13910886,152246,6407848,483398
2014年度,平成26年度,宮津市,5663,2559166,555087,611715,1392364,2557963,1707516,16715,833732,1203
2014年度,平成26年度,亀岡市,23228,9699937,1932167,2370391,5397379,9662166,6565781,69634,3026751,37771
2014年度,平成26年度,城陽市,21722,10053294,2091046,1869959,6092289,9954462,6859695,60981,3033786,98832
2014年度,平成26年度,向日市,13355,5989564,1088957,1369060,3531547,5980208,4196753,36748,1746708,9356
2014年度,平成26年度,長岡京市,17848,8742661,1789686,1511885,5441090,8347084,5694018,52797,2600269,395576
2014年度,平成26年度,八幡市,20559,8749997,1915727,2049008,4785261,8980534,5866198,75804,3038533,-230538
2014年度,平成26年度,京田辺市,14881,6588796,1345018,1191093,4052685,6583792,4605812,39163,1938818,5004
2014年度,平成26年度,京丹後市,17408,7150289,1416792,1791494,3942002,7083631,4688370,43718,2351543,66658
2014年度,平成26年度,南丹市,8534,3944043,713308,878979,2351756,3843006,2556705,24863,1261438,101036
2014年度,平成26年度,木津川市,16498,6949715,1608621,1331931,4009162,6925331,4676981,45191,2203159,24383
2014年度,平成26年度,市計,605336,264075464,52883961,60874611,150316892,261324248,176197608,1811285,83315356,2751216
2014年度,平成26年度,大山崎町,3615,1721346,338725,282948,1099673,1622622,1128370,11914,482338,98723
2014年度,平成26年度,久御山町,5070,2123648,468124,453761,1201763,2142639,1441208,21104,680326,-18991
2014年度,平成26年度,井手町,2271,1108480,189940,297382,621159,1126310,771596,6634,348080,-17829
2014年度,平成26年度,宇治田原町,2590,1074488,255026,229005,590457,1140804,717666,9851,413287,-66317
2014年度,平成26年度,笠置町,461,293008,38806,64242,189960,230063,152305,547,77211,62945
2014年度,平成26年度,和束町,1707,769296,162055,169290,437952,793697,541422,4696,247578,-24401
2014年度,平成26年度,精華町,7553,3362855,794792,613029,1955034,3318498,2258585,21712,1038201,44358
2014年度,平成26年度,南山城村,1004,519251,85586,89377,344289,463644,287953,1804,173887,55608
2014年度,平成26年度,伊根町,691,327620,41404,111814,174402,327327,203269,1988,122070,293
2014年度,平成26年度,京丹波町,4507,1996291,378245,479661,1138385,1976298,1330998,11889,633412,19993
2014年度,平成26年度,与謝野町,6646,2793233,550310,710973,1531950,2785497,1809648,19025,956824,7736
2014年度,平成26年度,町村計,36115,16089516,3303013,3501481,9285022,15927398,10643019,111165,5173214,162118
2014年度,平成26年度,芸術家,4379,1415974,468680,625670,321624,1239834,697760,17446,524628,176140
2014年度,平成26年度,料理飲食,7448,2195964,931927,1034948,229089,2119045,1112315,38726,968004,76919
2014年度,平成26年度,酒販,1198,844471,106546,266900,471025,480030,288747,2935,188348,364441
2014年度,平成26年度,中央市場,810,360569,74085,132906,153579,241994,113800,2575,125620,118575
2014年度,平成26年度,医師,8204,2291916,1669057,552399,70460,2150118,1048339,69522,1032257,141798
2014年度,平成26年度,薬剤師,1006,337540,141589,91422,104529,306895,178865,3121,124910,30645
2014年度,平成26年度,食品衛生,2075,993695,208352,386130,399213,713134,401778,5974,305382,280562
2014年度,平成26年度,衣料,2480,1327848,296111,441610,590128,1042412,592464,6469,443478,285437
2014年度,平成26年度,花街,480,223251,43492,74474,105285,157833,85481,1008,71344,65418
2014年度,平成26年度,建設職別,6647,2043413,695491,870503,477419,1899103,1048619,29559,820925,144310
2014年度,平成26年度,建築,36719,11097056,5003254,5650643,443159,10982403,6467555,502488,4012360,114653
2014年度,平成26年度,組合計,71446,23131699,9638583,10127604,3365512,21332801,12035724,679823,8617254,1798898
