西暦,和暦,地域コード,地域,被保険者数(人),被保険者数_強制加入者(人),被保険者数_任意加入者(人),付加保険料被保険者数(人),付加保険料被保険者数_強制加入者(人),付加保険料被保険者数_任意加入者(人),免除者数(人),免除者数_法定免除者(人),免除者数_申請免除者(全額)(人),免除者数_申請免除者(3/4)(人),免除者数_申請免除者(半額)(人),免除者数_申請免除者(1/4)(人),免除者数_学生納付特例(人),免除者数_納付猶予(人)
2011年度,平成23年度,26000,京都府,398381,389680,8701,19143,138,19005,148557,30241,59191,5764,2980,1221,40353,8807
2012年度,平成24年度,26000,京都府,394398,386773,7625,17759,138,17621,155735,31059,61524,5693,3134,1382,44071,8872
2013年度,平成25年度,26000,京都府,386040,379406,6634,16742,136,16606,167303,30788,66497,7609,4493,2236,45618,10062
2014年度,平成26年度,26000,京都府,377127,371290,5837,16572,139,16433,162903,31092,64457,6853,3999,1851,45341,9310
2015年度,平成27年度,26000,京都府,365046,359629,5417,16346,120,16226,152803,31276,59184,5780,3279,1495,43753,8036
2015年度,平成27年度,26100,京都市,222960,219576,3384,9063,8,9055,95516,19486,38675,3554,1951,905,26313,4632
2015年度,平成27年度,26201,福知山市,8104,7990,114,434,-,434,3486,985,1229,131,105,46,828,162
2015年度,平成27年度,26202,舞鶴市,9343,9227,116,312,6,306,3628,853,1498,167,97,55,808,150
2015年度,平成27年度,26203,綾部市,3541,3505,36,159,13,146,1307,269,564,43,50,10,289,82
2015年度,平成27年度,26204,宇治市,24337,23935,402,1375,-,1375,10028,1899,3642,435,248,91,3078,635
2015年度,平成27年度,26205,宮津市,2255,2217,38,90,-,90,738,186,267,37,16,13,196,23
2015年度,平成27年度,26206,亀岡市,12048,11894,154,594,4,590,4981,940,1773,192,114,66,1584,312
2015年度,平成27年度,26207,城陽市,9793,9640,153,513,6,507,4043,973,1418,166,90,42,1079,275
2015年度,平成27年度,26208,向日市,6892,6792,100,370,1,369,2981,475,1191,112,89,33,868,213
2015年度,平成27年度,26209,長岡京市,9443,9279,164,676,3,673,3427,720,1044,109,62,31,1276,185
2015年度,平成27年度,26210,八幡市,10078,9923,155,561,3,558,4428,861,1994,164,88,35,1003,283
2015年度,平成27年度,26211,京田辺市,8099,7981,118,403,4,399,3491,573,1018,95,49,30,1547,179
2015年度,平成27年度,26212,京丹後市,7452,7384,68,318,22,296,2513,669,836,128,65,17,696,102
2015年度,平成27年度,26213,南丹市,4583,4541,42,129,5,124,2016,508,578,52,29,11,743,95
2015年度,平成27年度,26214,木津川市,8687,8545,142,518,2,516,3450,574,1192,116,68,34,1224,242
2015年度,平成27年度,26303,大山崎町,1844,1806,38,84,-,84,625,107,204,26,15,12,211,50
2015年度,平成27年度,26322,久御山町,2466,2445,21,93,10,83,879,182,349,36,27,12,199,74
2015年度,平成27年度,26343,井手町,1255,1246,9,51,-,51,532,134,214,23,13,3,121,24
2015年度,平成27年度,26344,宇治田原町,1351,1334,17,60,11,49,428,58,123,18,7,2,186,34
2015年度,平成27年度,26364,笠置町,198,195,3,6,-,6,70,19,23,2,-,-,24,2
2015年度,平成27年度,26365,和束町,673,670,3,47,2,45,189,39,86,12,4,2,34,12
2015年度,平成27年度,26366,精華町,4407,4316,91,238,2,236,2142,284,647,69,43,23,918,158
2015年度,平成27年度,26367,南山城村,368,364,4,22,2,20,97,24,34,1,3,-,31,4
2015年度,平成27年度,26407,京丹波町,1880,1866,14,80,4,76,688,187,234,29,14,6,182,36
2015年度,平成27年度,26463,伊根町,244,241,3,17,9,8,64,17,16,6,1,1,20,3
2015年度,平成27年度,26465,与謝野町,2745,2717,28,133,3,130,1056,254,335,57,31,15,295,69
