西暦,和暦,地域コード,地域,総数_件数(件),総数_金額(千円),老齢基礎年金_件数(件),老齢基礎年金_金額(千円),老齢年金_件数(件),老齢年金_金額(千円),通算老齢年金_件数(件),通算老齢年金_金額(千円),5年年金_件数(件),5年年金_金額(千円),障害基礎年金_件数(件),障害基礎年金_金額(千円),障害年金_件数(件),障害年金_金額(千円),遺族基礎年金_件数(件),遺族基礎年金_金額(千円),母子年金_件数(件),母子年金_金額(千円),遺児年金_件数(件),遺児年金_金額(千円),寡婦年金_件数(件),寡婦年金_金額(千円)
2011年度,平成23年度,26000,京都府,618356,400875798,522242,341941139,28667,14908356,22049,5109681,556,226792,37980,33382855,1703,1486467,4556,3552209,-,-,-,-,603,268298
2012年度,平成24年度,26000,京都府,645565,420083031,554714,363169180,25028,13041535,19971,4639944,463,188302,38839,33974219,1579,1373015,4454,3467869,-,-,-,-,517,229964
2013年度,平成25年度,26000,京都府,670368,438482325,584538,383429439,21694,11353084,17882,4186546,385,155386,39583,34498874,1456,1261808,4377,3397567,-,-,-,-,453,199617
2014年度,平成26年度,26000,京都府,668576,427917639,610139,395239252,18761,9702264,15830,3662383,344,137462,17469,14579288,1355,1154756,4301,3280241,-,-,-,-,377,161993
2015年度,平成27年度,26000,京都府,707065,464578347,629860,412747757,16041,8408910,13903,3269460,308,124247,41105,35520515,1247,1073015,4275,3292683,-,-,-,-,326,141760
2015年度,平成27年度,26100,京都市,375553,241460074,333530,213057650,8504,4406615,7228,1712671,213,85924,23070,19863231,659,571026,2195,1697142,-,-,-,-,154,65817
2015年度,平成27年度,26201,福知山市,23127,15750729,19941,13668051,734,407502,711,171622,8,3227,1508,1328433,49,41930,164,124569,-,-,-,-,12,5395
2015年度,平成27年度,26202,舞鶴市,25633,17275301,22726,15399956,608,330711,679,157972,3,1210,1387,1208862,49,42320,166,128052,-,-,-,-,15,6218
2015年度,平成27年度,26203,綾部市,12592,8759687,10999,7838656,423,241776,508,119210,3,1210,570,493276,22,19112,57,42032,-,-,-,-,10,4415
2015年度,平成27年度,26204,宇治市,51120,33603873,46459,30322835,574,292916,783,176735,12,4841,2880,2491656,64,55581,333,252602,-,-,-,-,15,6707
2015年度,平成27年度,26205,宮津市,7610,5282715,6629,4688221,308,168529,228,53313,5,2017,378,324323,17,14237,39,29315,-,-,-,-,6,2760
2015年度,平成27年度,26206,亀岡市,24775,16609745,22073,14732414,559,294228,415,98004,5,2017,1496,1309879,50,42320,167,126492,-,-,-,-,10,4391
2015年度,平成27年度,26207,城陽市,24805,16595300,22531,14965639,261,124423,360,81698,9,3631,1475,1288194,24,19892,136,107875,-,-,-,-,9,3948
2015年度,平成27年度,26208,向日市,14556,9682177,13301,8820812,195,100270,222,48443,6,2420,714,620803,12,10531,102,77040,-,-,-,-,4,1858
2015年度,平成27年度,26209,長岡京市,20844,14086600,19024,12822172,258,143464,339,82393,1,403,1075,923872,27,23988,111,86341,-,-,-,-,9,3967
2015年度,平成27年度,26210,八幡市,20354,13277692,18607,12089758,287,141231,293,64163,17,6858,1021,880232,16,13652,108,79470,-,-,-,-,5,2328
2015年度,平成27年度,26211,京田辺市,16274,10900699,14836,9926138,223,109602,263,60814,3,1210,790,681544,22,19502,125,96711,-,-,-,-,12,5178
2015年度,平成27年度,26212,京丹後市,20188,13913923,17350,12152436,1042,536634,472,111850,4,1614,1073,925504,55,46026,166,128160,-,-,-,-,26,11699
2015年度,平成27年度,26213,南丹市,11222,7775584,9581,6665571,481,273420,270,70117,4,1614,786,686209,47,39980,43,33771,-,-,-,-,10,4902
2015年度,平成27年度,26214,木津川市,17271,11683593,15656,10605422,293,144823,320,72566,6,2420,849,740892,25,20673,119,95639,-,-,-,-,3,1158
2015年度,平成27年度,26303,大山崎町,4259,2896489,3936,2685114,53,28312,82,21345,-,-,171,147807,1,780,15,12717,-,-,-,-,1,414
2015年度,平成27年度,26322,久御山町,4665,3043297,4222,2751690,103,53103,73,15255,-,-,224,190964,10,8581,32,23181,-,-,-,-,1,523
2015年度,平成27年度,26343,井手町,2439,1551754,2186,1375468,52,29258,34,6527,1,403,142,121434,6,4681,15,13273,-,-,-,-,3,710
2015年度,平成27年度,26344,宇治田原町,2694,1818039,2420,1645157,77,37877,48,9657,-,-,120,103315,10,8386,17,12835,-,-,-,-,2,812
2015年度,平成27年度,26364,笠置町,662,434392,585,386851,27,15396,15,2998,-,-,30,25353,2,1560,3,2234,-,-,-,-,-,-
2015年度,平成27年度,26365,和束町,1755,1185814,1570,1066763,70,35771,21,6027,1,403,79,66454,6,4876,5,4018,-,-,-,-,3,1502
2015年度,平成27年度,26366,精華町,8340,5667071,7541,5136268,135,67058,157,34473,3,1210,418,364189,4,3705,81,59773,-,-,-,-,1,395
2015年度,平成27年度,26367,南山城村,1209,808083,1090,728857,26,13966,25,5651,-,-,62,55008,5,4096,-,-,-,-,-,-,1,505
2015年度,平成27年度,26407,京丹波町,6053,4206408,5233,3677162,280,167682,168,43372,-,-,320,275830,29,24963,21,16554,-,-,-,-,2,845
2015年度,平成27年度,26463,伊根町,1051,750894,894,656539,69,35155,26,5255,-,-,50,43520,5,4291,7,6134,-,-,-,-,-,-
2015年度,平成27年度,26465,与謝野町,8012,5556917,6940,4882157,398,208674,163,37328,4,1614,416,358747,31,26328,48,36753,-,-,-,-,12,5316
