地域コード,地域,収納対象月数(月),収納実施月数(月),収納率(%)
26000,京都府計,2655809,1730264,65.2
26100,京都市,1586965,995146,62.7
26201,福知山市,59758,43807,73.3
26202,舞鶴市,72370,47765,66
26203,綾部市,28146,21372,75.9
26204,宇治市,180357,115391,64
26205,宮津市,19245,14691,76.3
26206,亀岡市,88853,56442,63.5
26207,城陽市,73364,50200,68.4
26208,向日市,49528,33744,68.1
26209,長岡京市,74483,52398,70.3
26210,八幡市,70815,44547,62.9
26211,京田辺市,56680,41762,73.7
26212,京丹後市,62478,47378,75.8
26213,南丹市,32182,22091,68.6
26214,木津川市,65031,47936,73.7
26303,大山崎町,15368,10930,71.1
26322,久御山町,19753,12724,64.4
26343,井手町,9131,5453,59.7
26344,宇治田原町,11533,7592,65.8
26364,笠置町,1520,815,53.6
26365,和束町,6129,4561,74.4
26366,精華町,29004,22600,77.9
26367,南山城村,3492,2502,71.6
26407,京丹波町,15136,9965,65.8
26463,伊根町,2305,1779,77.2
26465,与謝野町,22183,16673,75.2
