西暦,和暦,地域コード,地域,老齢福祉年金_受給者数(人),老齢福祉年金_金額(千円)
2011年度,平成23年度,26000,京都府,90,33773
2012年度,平成24年度,26000,京都府,52,19354
2013年度,平成25年度,26000,京都府,26,9798
2014年度,平成26年度,26000,京都府,17,6483
2015年度,平成27年度,26000,京都府,7,2542
2015年度,平成27年度,26100,京都市,5,1742
2015年度,平成27年度,26201,福知山市,1,399
2015年度,平成27年度,26202,舞鶴市,-,-
2015年度,平成27年度,26203,綾部市,-,-
2015年度,平成27年度,26204,宇治市,-,-
2015年度,平成27年度,26205,宮津市,-,-
2015年度,平成27年度,26206,亀岡市,-,-
2015年度,平成27年度,26207,城陽市,-,-
2015年度,平成27年度,26208,向日市,-,-
2015年度,平成27年度,26209,長岡京市,-,-
2015年度,平成27年度,26210,八幡市,1,399
2015年度,平成27年度,26211,京田辺市,-,-
2015年度,平成27年度,26212,京丹後市,-,-
2015年度,平成27年度,26213,南丹市,-,-
2015年度,平成27年度,26214,木津川市,-,-
2015年度,平成27年度,26303,大山崎町,-,-
2015年度,平成27年度,26322,久御山町,-,-
2015年度,平成27年度,26343,井手町,-,-
2015年度,平成27年度,26344,宇治田原町,-,-
2015年度,平成27年度,26364,笠置町,-,-
2015年度,平成27年度,26365,和束町,-,-
2015年度,平成27年度,26366,精華町,-,-
2015年度,平成27年度,26367,南山城村,-,-
2015年度,平成27年度,26407,京丹波町,-,-
2015年度,平成27年度,26463,伊根町,-,-
2015年度,平成27年度,26465,与謝野町,-,-
