西暦,和暦,地域,定数(人),配置数(人),配置数_男(人),配置数_女(人)
2011年,平成23年,合計,5487,5464,1846,3618
2012年,平成24年,合計,5487,5464,1840,3624
2013年,平成25年,合計,5528,5495,1880,3615
2014年,平成26年,合計,5528,5502,1880,3622
2015年,平成27年,合計,5528,5496,1872,3624
2015年,平成27年,京都市,2728,2717,803,1914
2015年,平成27年,福知山市,259,259,93,166
2015年,平成27年,舞鶴市,281,281,115,166
2015年,平成27年,綾部市,144,144,66,78
2015年,平成27年,宇治市,307,307,126,181
2015年,平成27年,宮津市,84,84,36,48
2015年,平成27年,亀岡市,197,196,88,108
2015年,平成27年,城陽市,161,158,73,85
2015年,平成27年,向日市,84,84,19,65
2015年,平成27年,長岡京市,138,137,36,101
2015年,平成27年,八幡市,153,149,33,116
2015年,平成27年,京田辺市,138,133,40,93
2015年,平成27年,京丹後市,199,197,91,106
2015年,平成27年,南丹市,121,121,56,65
2015年,平成27年,木津川市,138,136,43,93
2015年,平成27年,町村,396,393,154,239
