西暦,和暦,地域等,目標額(円),実績額(円),1世帯当たり募金額(円)
2011年度,平成23年度,合計,274284000,257915736,228
2012年度,平成24年度,合計,265195000,259732729,228
2013年度,平成25年度,合計,255028000,248851344,217
2014年度,平成26年度,合計,251630000,251305531,218
2015年度,平成27年度,合計,244105000,253559367,220
2015年度,平成27年度,京都市,126732000,122070672,173
2015年度,平成27年度,福知山市,10014000,10364032,322
2015年度,平成27年度,舞鶴市,10887000,10437284,299
2015年度,平成27年度,綾部市,5610000,5526918,402
2015年度,平成27年度,宇治市,12547000,12951733,176
2015年度,平成27年度,宮津市,2433000,2307547,298
2015年度,平成27年度,亀岡市,8375000,8411332,248
2015年度,平成27年度,城陽市,6863000,6752047,226
2015年度,平成27年度,向日市,2962000,2847903,133
2015年度,平成27年度,長岡京市,6256000,6098243,188
2015年度,平成27年度,八幡市,3663000,3528245,121
2015年度,平成27年度,京田辺市,4858000,4654495,156
2015年度,平成27年度,京丹後市,9169000,9311523,454
2015年度,平成27年度,南丹市,4425000,4484204,351
2015年度,平成27年度,木津川市,5171000,5186421,194
2015年度,平成27年度,乙訓郡,1351000,1284336,214
2015年度,平成27年度,久世郡,2784000,2661387,430
2015年度,平成27年度,綴喜郡,2103000,2072591,332
2015年度,平成27年度,相楽郡,3747000,4069237,256
2015年度,平成27年度,船井郡,3173000,3191668,587
2015年度,平成27年度,与謝郡,3782000,3731562,415
2015年度,平成27年度,事務局扱い,7200000,21615987,・
