項目,募金額(円),割合(%)
収入総額,263719367,100
募金収入,253559367,96.1
募金収入_戸別募金,196815503,74.6
募金収入_街頭募金,2779249,1
募金収入_法人募金,27100695,10.3
募金収入_学校募金,1199486,0.4
募金収入_職域募金,9383303,3.6
募金収入_イベント募金,3351931,1.3
募金収入_個人募金,7473238,2.8
募金収入_物品,1345610,0.5
募金収入_その他,4110352,1.6
取崩金等,10160000,3.9
取崩金等_過年度配分戻入額,160000,0.1
取崩金等_災害等準備金取崩,10000000,3.8
支出総額,263719367,100
配分金,192174399,72.9
配分金_高齢者事業費,49978782,19
配分金_障がい児・者事業費,9790192,3.7
配分金_児童・青少年事業費,12392149,4.7
配分金_課題のある人事業費,7815000,3
配分金_その他住民全般事業費,70481009,26.7
配分金_広域福祉事業事業費,13000000,4.9
配分金_障がい者施設等整備費,7982610,3
配分金_更生保護施設事業費,300000,0.1
配分金_児童・青少年施設等整備費,5798000,2.2
配分金_その他施設・団体整備費,700000,0.3
配分金_災害対応配分,3500000,1.3
配分金_災害等準備金,10436657,4
経費,71544968,27.1
経費_中央共同募金会分担金,2238000,0.8
経費_地区募金活動費,18496030,7
経費_特別資材製作費,1057677,0.4
経費_次年度活動準備金他,49753261,18.9
