西暦,和暦,地域コード,地域,保健所,病院_施設数(施設),病院_病床数(床),病院_病床数_精神病床(床),病院_病床数_感染症病床(床),病院_病床数_結核病床(床),病院_病床数_療養病床(床),病院_病床数_一般病床(床),一般診療所_施設数(施設),一般診療所_病床数(床),歯科診療所(施設)
2010年,平成22年,26000,京都府,-,175,36389,6480,36,348,6306,23219,2532,1243,1320
2011年,平成23年,26000,京都府,-,175,36187,6480,36,348,6225,23098,2481,1142,1313
2012年,平成24年,26000,京都府,-,173,36047,6431,36,306,6235,23039,2484,1128,1319
2013年,平成25年,26000,京都府,-,173,35959,6421,36,306,6304,22892,2472,1087,1317
2014年,平成26年,26000,京都府,-,174,35883,6386,36,306,6332,22823,2459,892,1309
2014年,平成26年,26100,京都市計,-,106,23139,3873,8,165,4373,14720,1592,492,831
2014年,平成26年,26101,京都市北区,-,10,1464,186,-,-,305,973,149,43,77
2014年,平成26年,26102,京都市上京区,-,7,2580,118,-,54,60,2348,100,53,61
2014年,平成26年,26103,京都市左京区,-,15,3541,1435,-,15,366,1725,208,51,103
2014年,平成26年,26104,京都市中京区,-,10,1554,-,8,12,69,1465,217,41,112
2014年,平成26年,26105,京都市東山区,-,5,1182,50,-,4,318,810,53,13,26
2014年,平成26年,26110,京都市山科区,-,7,2944,777,-,-,1068,1099,110,25,61
2014年,平成26年,26106,京都市下京区,-,9,1507,-,-,-,252,1255,171,62,73
2014年,平成26年,26107,京都市南区,-,7,613,-,-,-,29,584,80,17,41
2014年,平成26年,26108,京都市右京区,-,11,2151,1006,-,-,388,757,167,63,88
2014年,平成26年,26109,京都市伏見区,-,18,4064,301,-,20,1477,2266,226,108,120
2014年,平成26年,26111,京都市西京区,-,7,1539,-,-,60,41,1438,111,16,69
2014年,平成26年,-,その他の市町村計,-,68,12744,2513,28,141,1959,8103,867,400,478
2014年,平成26年,26208,向日市,乙訓保健所,1,210,-,-,-,100,110,44,3,27
2014年,平成26年,26209,長岡京市,乙訓保健所,6,1334,728,-,-,9,597,77,44,41
2014年,平成26年,26303,大山崎町,乙訓保健所,-,-,-,-,-,-,-,7,-,7
2014年,平成26年,26204,宇治市,山城北保健所,11,2772,702,-,6,406,1658,139,55,83
2014年,平成26年,26207,城陽市,山城北保健所,6,1000,146,6,100,101,647,60,16,31
2014年,平成26年,26210,八幡市,山城北保健所,4,585,-,-,-,112,473,39,28,29
2014年,平成26年,26211,京田辺市,山城北保健所,3,599,182,-,-,229,188,50,23,27
2014年,平成26年,26322,久御山町,山城北保健所,1,61,-,-,-,-,61,7,-,6
2014年,平成26年,26343,井手町,山城北保健所,-,-,-,-,-,-,-,4,-,1
2014年,平成26年,26344,宇治田原町,山城北保健所,-,-,-,-,-,-,-,4,-,3
2014年,平成26年,26214,木津川市,山城南保健所,1,321,-,10,-,-,311,58,15,24
2014年,平成26年,26364,笠置町,山城南保健所,-,-,-,-,-,-,-,1,-,1
2014年,平成26年,26365,和束町,山城南保健所,-,-,-,-,-,-,-,4,3,1
2014年,平成26年,26366,精華町,山城南保健所,2,250,-,-,-,50,200,27,9,19
2014年,平成26年,26367,南山城村,山城南保健所,-,-,-,-,-,-,-,1,-,2
2014年,平成26年,26206,亀岡市,南丹保健所,5,625,-,-,-,225,400,59,33,35
2014年,平成26年,26213,南丹市,南丹保健所,3,638,-,4,10,-,624,38,19,12
2014年,平成26年,26407,京丹波町,南丹保健所,2,132,-,-,-,85,47,6,-,7
2014年,平成26年,26201,福知山市,中丹西保健所,6,1170,380,4,10,189,587,81,25,37
2014年,平成26年,26202,舞鶴市,中丹東保健所,8,1480,375,-,-,188,917,61,86,33
2014年,平成26年,26203,綾部市,中丹東保健所,3,391,-,-,-,47,344,25,9,16
2014年,平成26年,26205,宮津市,丹後保健所,1,65,-,-,-,-,65,22,9,8
2014年,平成26年,26212,京丹後市,丹後保健所,4,816,-,-,-,218,598,33,10,19
2014年,平成26年,26463,伊根町,丹後保健所,-,-,-,-,-,-,-,3,-,1
2014年,平成26年,26465,与謝野町,丹後保健所,1,295,-,4,15,-,276,17,13,8
