西暦,和暦,病床規模,病院数(病院),構成割合(%),京都市地域(病院),その他の地域(病院),その他の地域_乙訓地域(病院),その他の地域_山城北地域(病院),その他の地域_山城南地域(病院),その他の地域_南丹地域(病院),その他の地域_中丹地域(病院),その他の地域_丹後地域(病院)
2010年,平成22年,合計,175,・,109,66,7,23,3,10,17,6
2011年,平成23年,合計,175,・,109,66,7,23,3,10,17,6
2012年,平成24年,合計,173,・,107,66,7,23,3,10,17,6
2013年,平成25年,合計,173,・,107,66,7,23,3,10,17,6
2014年,平成26年,合計,174,・,106,68,7,25,3,10,17,6
2014年,平成26年,20〜29床,4,2.3,2,2,-,2,-,-,-,-
2014年,平成26年,30〜39床,4,2.3,4,-,-,-,-,-,-,-
2014年,平成26年,40〜49床,7,4.0,5,2,-,-,-,1,1,-
2014年,平成26年,50〜99床,47,27.0,28,19,3,4,1,3,7,1
2014年,平成26年,100〜149床,25,14.4,17,8,-,4,-,3,1,-
2014年,平成26年,150〜199床,30,17.2,18,12,-,6,-,2,2,2
2014年,平成26年,200〜299床,20,11.5,8,12,2,4,1,-,2,3
2014年,平成26年,300〜399床,15,8.6,9,6,1,1,1,-,3,-
2014年,平成26年,400〜499床,8,4.6,2,6,1,3,-,1,1,-
2014年,平成26年,500床以上,14,8.0,13,1,-,1,-,-,-,-
