西暦,和暦,医療圏,種別,病床数(10月1日現在)(床),在院患者延べ数_年間延べ数(人),在院患者延べ数_1日当たり平均数(人),新入院患者数(人),退院患者数(人),外来患者延べ数_年間延べ数(人),外来患者延べ数_1日当たり平均数(人),病床利用率(%)
2010年,平成22年,合計,総数,36389,10822817,29652,327584,327480,12061487,33045,81.5
2010年,平成22年,合計,一般,23219,6491882,17786,315188,310801,・,・,76.7
2011年,平成23年,合計,総数,36187,10776112,29524,331354,331760,12036411,32976,81.4
2011年,平成23年,合計,一般,23098,6501728,17813,319686,315568,・,・,77
2012年,平成24年,合計,総数,36047,10547305,28818,333228,333528,11862846,32412,79.9
2012年,平成24年,合計,一般,23039,6373430,17414,321572,317631,・,・,75.6
2013年,平成25年,合計,総数,35959,10519633,28821,336908,337313,11729393,32135,80.2
2013年,平成25年,合計,一般,22892,6367460,17445,324644,320671,・,・,76.2
2014年,平成26年,合計,総数,35883,10375120,28425,343094,343057,11579492,31725,79.2
2014年,平成26年,合計,一般,22823,6281694,17210,330875,326132,・,・,75.3
2014年,平成26年,京都市,総数,23139,6756143,18510,227859,228095,7379126,20217,79.9
2014年,平成26年,京都市,一般,14720,4130790,11317,221257,218715,・,・,76.9
2014年,平成26年,その他の市町村,総数,12744,3618977,9916,115235,114962,4200366,11508,76.3
2014年,平成26年,その他の市町村,一般,8103,2150904,5893,109618,107417,・,・,71.2
2014年,平成26年,京都・乙訓医療圏,総数,24683,7208255,19749,237514,237743,7725465,21166,80
2014年,平成26年,京都・乙訓医療圏,一般,15427,4308224,11803,229792,227237,・,・,76.5
2014年,平成26年,乙訓地域(再掲),総数,1544,452112,1239,9655,9648,346339,949,78.7
2014年,平成26年,乙訓地域(再掲),一般,707,177434,486,8535,8522,・,・,67.5
2014年,平成26年,山城北医療圏,総数,5017,1448193,3968,40927,40845,1479701,4054,79.4
2014年,平成26年,山城北医療圏,一般,3027,847451,2322,37866,36859,・,・,77.3
2014年,平成26年,山城南医療圏,総数,571,135040,370,7280,7255,231452,634,64.8
2014年,平成26年,山城南医療圏,一般,511,119772,328,7280,6969,・,・,64.2
2014年,平成26年,南丹医療圏,総数,1395,383079,1050,12720,12718,549640,1506,74.7
2014年,平成26年,南丹医療圏,一般,1071,273291,749,12510,12357,・,・,69.2
2014年,平成26年,中丹医療圏,総数,3041,855163,2343,29562,29449,1057837,2898,76.4
2014年,平成26年,中丹医療圏,一般,1848,462612,1267,28422,28121,・,・,67.3
2014年,平成26年,丹後医療圏,総数,1176,345390,946,15091,15047,535397,1467,80.9
2014年,平成26年,丹後医療圏,一般,939,270344,741,15005,14589,・,・,79.4
