西暦,和暦,開設者,病院_施設数(施設),病院_病床数(床),病院_病床数_精神病床(床),病院_病床数_感染症病床(床),病院_病床数_結核病床(床),病院_病床数_療養病床(床),病院_病床数_一般病床(床),一般診療所_施設数(施設),一般診療所_病床数(床),歯科診療所(施設)
2010年,平成22年,合計,175,36389,6480,36,348,6306,23219,2532,1243,1320
2011年,平成23年,合計,175,36187,6480,36,348,6225,23098,2481,1142,1313
2012年,平成24年,合計,173,36047,6431,36,306,6235,23039,2484,1128,1319
2013年,平成25年,合計,173,35959,6421,36,306,6304,22892,2472,1087,1317
2014年,平成26年,合計,174,35883,6386,36,306,6332,22823,2459,892,1309
2014年,平成26年,厚生労働省,-,-,-,-,-,-,-,-,-,-
2014年,平成26年,独立行政法人国立病院機構,4,1837,120,-,100,-,1617,-,-,-
2014年,平成26年,国立大学法人,1,1121,60,-,15,-,1046,6,-,-
2014年,平成26年,国その他,3,482,46,-,6,-,430,12,64,-
2014年,平成26年,京都府,3,341,256,-,-,-,85,6,-,-
2014年,平成26年,市町村,13,2224,-,18,40,244,1922,38,10,4
2014年,平成26年,地方独立行政法人,4,1946,118,12,81,-,1735,4,-,-
2014年,平成26年,日赤,3,1544,-,-,4,48,1492,5,-,-
2014年,平成26年,済生会,1,350,-,-,-,-,350,-,-,-
2014年,平成26年,健康保険組合及びその連合会,-,-,-,-,-,-,-,7,-,-
2014年,平成26年,共済組合及びその連合会,2,453,-,-,-,-,453,2,-,-
2014年,平成26年,公益法人,9,2009,728,-,-,207,1074,30,15,2
2014年,平成26年,医療法人,104,19278,4564,6,-,5057,9651,790,475,181
2014年,平成26年,学校法人,1,114,-,-,-,-,114,14,-,-
2014年,平成26年,社会福祉法人,7,1922,186,-,60,205,1471,193,-,-
2014年,平成26年,医療生協,-,-,-,-,-,-,-,7,-,-
2014年,平成26年,会社,3,361,-,-,-,-,361,39,2,-
2014年,平成26年,その他の法人,9,1258,162,-,-,375,721,15,9,2
2014年,平成26年,個人,7,643,146,-,-,196,301,1291,317,1120
