西暦,和暦,職種,総数(人),総数_京都市(人),総数_その他(人),病院(人),病院_京都市(人),病院_その他(人),一般診療所(人),一般診療所_京都市(人),一般診療所_その他(人),歯科診療所(人),歯科診療所_京都市(人),歯科診療所_その他(人)
2008年,平成20年,合計,59898.2,38805.2,21093,40103.3,26729.1,13374.2,14026.5,8623.9,5402.6,5768.4,3452.2,2316.2
2011年,平成23年,合計,64323.1,41496.6,22826.5,43280.3,28679.1,14601.2,15143.7,9316.5,5827.2,5899.1,3501,2398.1
2014年,平成26年,合計,65150.5,42341,22809.5,46116.3,30286.3,15830,13061,8486.4,4574.6,5973.2,3568.3,2404.9
2014年,平成26年,医師(常勤),6525,4638,1887,4117,3027,1090,2408,1611,797,-,-,-
2014年,平成26年,医師(非常勤),1913.5,1403.8,509.7,1313.2,1010.4,302.8,597.7,393.4,204.3,2.6,-,2.6
2014年,平成26年,歯科医師(常勤),1711,1073,638,102,68,34,28,18,10,1581,987,594
2014年,平成26年,歯科医師(非常勤),241,171,70,34.6,28.9,5.7,9.9,3.5,6.4,196.5,138.6,57.9
2014年,平成26年,薬剤師,1265.8,860.5,405.3,1144.1,777.5,366.6,114.7,78.4,36.3,7,4.6,2.4
2014年,平成26年,保健師,208.7,157.3,51.4,117.9,99.9,18,90.8,57.4,33.4,…,…,…
2014年,平成26年,助産師,672.1,454,218.1,533.2,362.1,171.1,138.9,91.9,47,…,…,…
2014年,平成26年,看護師,19167,12700.3,6466.7,17236.7,11455.9,5780.8,1927.1,1241.6,685.5,3.2,2.8,0.4
2014年,平成26年,准看護師,3508.2,1953.3,1554.9,2641.9,1519.7,1122.2,863.8,433.1,430.7,2.5,0.5,2
2014年,平成26年,看護業務補助者,4593.6,2827.9,1765.7,4296.4,2644.4,1652,297.2,183.5,113.7,…,…,…
2014年,平成26年,歯科業務補助者,1709.4,971,738.4,…,…,…,…,…,…,1709.4,971,738.4
2014年,平成26年,理学療法士(PT),1603.1,1005,598.1,1460.6,901,559.6,142.5,104,38.5,…,…,…
2014年,平成26年,作業療法士(OT),765.7,467.7,298,704.7,418.8,285.9,61,48.9,12.1,…,…,…
2014年,平成26年,視能訓練士,164.6,105.1,59.5,103.7,64,39.7,60.9,41.1,19.8,…,…,…
2014年,平成26年,言語聴覚士,257.4,164.6,92.8,242,153,89,15.4,11.6,3.8,…,…,…
2014年,平成26年,義肢装具士,2.1,2,0.1,-,-,-,2.1,2,0.1,…,…,…
2014年,平成26年,歯科衛生士,1722.9,1030.1,692.8,115.6,77.7,37.9,26.7,19.4,7.3,1580.6,933,647.6
2014年,平成26年,歯科技工士,225.6,144.6,81,28.6,18.6,10,10.7,9,1.7,186.3,117,69.3
2014年,平成26年,社会福祉士,220.3,138.8,81.5,200.5,131.8,68.7,19.8,7,12.8,…,…,…
2014年,平成26年,介護福祉士,1008.6,596,412.6,796.8,509.8,287,211.8,86.2,125.6,…,…,…
2014年,平成26年,診療放射線技師,1113.2,766.7,346.5,961.4,639.1,322.3,151.8,127.6,24.2,…,…,…
2014年,平成26年,診療X線技師,30.8,22.3,8.5,7.1,4.5,2.6,23.7,17.8,5.9,…,…,…
2014年,平成26年,臨床検査技師,1209.9,887,322.9,1028.2,721.6,306.6,181.7,165.4,16.3,…,…,…
2014年,平成26年,衛生検査技師,7.1,6.6,0.5,1.5,1.1,0.4,5.6,5.5,0.1,…,…,…
2014年,平成26年,臨床工学技士,666.6,459.3,207.3,592.6,405.2,187.4,74,54.1,19.9,…,…,…
2014年,平成26年,あん摩マッサージ指圧師,173.1,121.6,51.5,75.9,58.6,17.3,97.2,63,34.2,…,…,…
2014年,平成26年,柔道整復師,70.1,57.8,12.3,11,9.5,1.5,59.1,48.3,10.8,…,…,…
2014年,平成26年,管理栄養士,513.8,323.9,189.9,468.5,297.6,170.9,45.3,26.3,19,…,…,…
2014年,平成26年,栄養士,116.9,71,45.9,90.8,51.7,39.1,26.1,19.3,6.8,…,…,…
2014年,平成26年,精神保健福祉士,178.5,103.7,74.8,125.9,61.9,64,52.6,41.8,10.8,…,…,…
2014年,平成26年,保育士,13.9,5,8.9,…,…,…,13.9,5,8.9,…,…,…
2014年,平成26年,その他の技術員,584.8,372,212.8,429.2,276.5,152.7,155.6,95.5,60.1,…,…,…
2014年,平成26年,医療社会事業従事者,302.8,197.4,105.4,267.7,182.1,85.6,35.1,15.3,19.8,…,…,…
2014年,平成26年,事務職員,10131.3,6492,3639.3,5266.4,3337,1929.4,4312.2,2835.5,1476.7,552.7,319.5,233.2
2014年,平成26年,その他の職員,2552.1,1590.7,961.4,1600.6,971.4,629.2,800.1,525,275.1,151.4,94.3,57.1
