職種,2010年(人),2011年(人),2012年(人),2013年(人),2014年(人),2014年_京都市地域(人),2014年_その他の地域(人),2014年_乙訓地域(人),2014年_山城北地域(人),2014年_山城南地域(人),2014年_南丹地域(人),2014年_中丹地域(人),2014年_丹後地域(人)
医師(常勤),3836,3940,3988,4013,4117,3027,1090,96,404,62,133,279,116
医師(非常勤),1244.2,1263.4,1255,1331.3,1313.2,1010.4,302.8,33.4,137.5,18.4,40.1,48.7,24.7
歯科医師(常勤),93,100,91,100,102,68,34,-,13,1,4,8,8
歯科医師(非常勤),30.1,33.3,36.6,33.9,34.6,28.9,5.7,0.3,1.5,0.4,1.4,1.9,0.2
薬剤師,1049.6,1025.4,1080.2,1111.4,1144.1,777.5,366.6,36.9,152.2,20.6,41.7,84,31.2
保健師,79.1,102.9,76.7,96,117.9,99.9,18,-,5.3,-,-,12,0.7
助産師,455.6,461.1,465.9,509.4,533.2,362.1,171.1,16.4,33.7,25.4,6.1,63.8,25.7
看護師,15576.1,15833.5,16347,16840.8,17236.7,11455.9,5780.8,556.9,2189.1,307.1,654.3,1515.5,557.9
准看護師,3148.1,2994.8,2857.6,2732.6,2641.9,1519.7,1122.2,144.4,468.3,22.8,107.2,246.1,133.4
看護業務補助者,4491.6,4526.3,4433.7,4382.2,4296.4,2644.4,1652,185.7,648.4,70.5,267.3,333.1,147
理学療法士(PT),1060.7,1134.3,1260.4,1368.2,1460.6,901,559.6,44.7,285.9,29,47.2,92.5,60.3
作業療法士(OT),599.7,592.1,656.3,650.5,704.7,418.8,285.9,40.6,127.1,10,25.1,58,25.1
視能訓練士,77.1,82.9,92.3,92.3,103.7,64,39.7,1,11.3,4,4.4,13,6
言語聴覚士,165.6,183.1,203.5,220.4,242,153,89,8.2,40,4,11.4,16,9.4
義肢装具士,2,2,2,2,-,-,-,-,-,-,-,-,-
歯科衛生士,92.4,92.1,96.4,111.8,115.6,77.7,37.9,1.1,8.8,1.8,9.4,9.3,7.5
歯科技工士,23.6,23.6,22.6,23.6,28.6,18.6,10,-,2,-,1,4,3
診療放射線技師,906.6,912.4,906.8,938.4,961.4,639.1,322.3,31.1,121.2,18.3,40.2,78,33.5
診療X線技師,9.3,11.2,20.1,8,7.1,4.5,2.6,-,2,-,0.6,-,-
臨床検査技師,953.2,961.8,996.9,1000.9,1028.2,721.6,306.6,18,126.3,19.6,31.8,80.2,30.7
衛生検査技師,0.5,0.5,0.1,1.5,1.5,1.1,0.4,-,-,-,0.4,-,-
臨床工学技士,459.8,482.6,504.7,539,592.6,405.2,187.4,7,90.2,15.2,24,36,15
あん摩マッサージ指圧師,101.8,89.9,82.6,78.4,75.9,58.6,17.3,1,11.5,-,4.8,-,-
柔道整復師,6.2,10.8,11.8,14.7,11,9.5,1.5,-,1.5,-,-,-,-
管理栄養士,402.9,406.2,412.1,436.4,468.5,297.6,170.9,22.6,73.7,8,15,38.6,13
栄養士,86.3,77.4,100.4,94.4,90.8,51.7,39.1,1,16.1,4,2,11,5
精神保健福祉士,103.9,104.9,115.1,122,125.9,61.9,64,16,31,-,1,15,1
社会福祉士,98.4,136.2,158,197.2,200.5,131.8,68.7,7.2,30.7,7,7,14.8,2
介護福祉士,511.1,575.3,664.5,742.8,796.8,509.8,287,29.1,123.9,-,36.5,68.8,28.7
その他の技術員,296.5,397.4,445.3,442.8,429.2,276.5,152.7,25.5,73.4,0.9,3.9,34.4,14.6
医療社会事業従事者,267.9,266.8,250.1,245.4,267.7,182.1,85.6,10,26.6,2,18.7,21.8,6.5
事務職員,4504.3,4695.6,4936.1,5138,5266.4,3337,1929.4,203.7,818,102.3,186.9,418.2,200.3
その他の職員,1827.7,1760.5,1686.3,1535.9,1600.6,971.4,629.2,48.7,212.6,15.5,95.6,146.1,110.7
