西暦,和暦,地域コード,地域,保健所,総数(人),医療施設の従事者(人),医療施設の従事者_病院の開設者又は法人の代表者(人),医療施設の従事者_病院の勤務者(人),医療施設の従事者_医育機関附属の病院の勤務者(人),医療施設の従事者_医育機関附属の病院の勤務者_臨床系の教官又は教員(人),医療施設の従事者_医育機関附属の病院の勤務者_臨床系の大学院生(人),医療施設の従事者_医育機関附属の病院の勤務者_臨床系のその他の勤務者(人),医療施設の従事者_診療所の開設者又は法人の代表者(人),医療施設の従事者_診療所の勤務者(人),介護老人保健施設の従事者(人),介護老人保健施設の従事者_介護老人保健施設の開設者又は法人の代表者(人),介護老人保健施設の従事者_介護老人保健施設の勤務者(人),医療施設・介護老人保健施設以外の従事者(人),医療施設・介護老人保健施設以外の従事者_医育機関の臨床系以外の大学院生(人),医療施設・介護老人保健施設以外の従事者_医育機関の臨床系以外の勤務者(人),医療施設・介護老人保健施設以外の従事者_医育機関以外の教育機関又は研究機関の勤務者(人),医療施設・介護老人保健施設以外の従事者_行政機関・保健衛生業務の従事者(人),医療施設・介護老人保健施設以外の従事者_行政機関・保健衛生業務の従事者_行政機関(人),医療施設・介護老人保健施設以外の従事者_行政機関・保健衛生業務の従事者_産業医(人),医療施設・介護老人保健施設以外の従事者_行政機関・保健衛生業務の従事者_保健衛生業務(人),その他(人),その他_その他の業務の従事者(人),その他_無職の者(人)
2006年,平成18年,26000,京都府,-,7719,7212,95,3005,1646,559,1087,※「臨床系の大学院生」に含む,1891,575,69,4,65,381,258,※「医育機関の臨床系以外の大学院生」に含む,43,80,46,16,18,57,9,48
2008年,平成20年,26000,京都府,-,7756,7340,85,3283,1532,585,947,※「臨床系の大学院生」に含む,1863,577,71,7,64,297,166,※「医育機関の臨床系以外の大学院生」に含む,46,85,45,17,23,48,11,37
2010年,平成22年,26000,京都府,-,7968,7545,97,3397,1539,591,948,※「臨床系の大学院生」に含む,1880,632,59,10,49,311,162,※「医育機関の臨床系以外の大学院生」に含む,54,95,49,19,27,53,12,41
2012年,平成24年,26000,京都府,-,8195,7789,93,3526,1661,624,453,584,1851,658,66,6,60,284,41,108,45,90,44,19,27,55,13,42
2014年,平成26年,26000,京都府,-,8516,8037,78,3663,1798,663,545,590,1800,698,76,4,72,344,66,139,50,89,41,18,30,59,14,45
2014年,平成26年,26100,京都市計,-,6427,6020,45,2473,1798,663,545,590,1191,513,54,3,51,310,66,138,34,72,32,12,28,43,10,33
2014年,平成26年,-,その他の市町村計,-,2089,2017,33,1190,-,-,-,-,609,185,22,1,21,34,-,1,16,17,9,6,2,16,4,12
2014年,平成26年,26208,向日市,乙訓保健所,60,56,1,8,-,-,-,-,36,11,2,-,2,1,-,-,-,1,1,-,-,1,-,1
2014年,平成26年,26209,長岡京市,乙訓保健所,175,166,4,89,-,-,-,-,57,16,3,-,3,4,-,-,-,4,-,4,-,2,1,1
2014年,平成26年,26303,大山崎町,乙訓保健所,7,7,-,-,-,-,-,-,4,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2014年,平成26年,26204,宇治市,山城北保健所,462,448,5,305,-,-,-,-,106,32,6,-,6,4,-,1,2,1,1,-,-,4,2,2
2014年,平成26年,26207,城陽市,山城北保健所,129,128,2,70,-,-,-,-,41,15,1,-,1,-,-,-,-,-,-,-,-,-,-,-
2014年,平成26年,26210,八幡市,山城北保健所,89,88,2,48,-,-,-,-,31,7,1,-,1,-,-,-,-,-,-,-,-,-,-,-
2014年,平成26年,26211,京田辺市,山城北保健所,122,113,3,54,-,-,-,-,30,26,1,-,1,6,-,-,5,1,-,1,-,2,-,2
2014年,平成26年,26322,久御山町,山城北保健所,12,10,1,2,-,-,-,-,6,1,1,-,1,-,-,-,-,-,-,-,-,1,-,1
2014年,平成26年,26343,井手町,山城北保健所,2,2,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2014年,平成26年,26344,宇治田原町,山城北保健所,3,3,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2014年,平成26年,26214,木津川市,山城南保健所,107,105,-,48,-,-,-,-,51,6,-,-,-,1,-,-,-,1,1,-,-,1,-,1
2014年,平成26年,26364,笠置町,山城南保健所,1,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2014年,平成26年,26365,和束町,山城南保健所,3,3,-,-,-,-,-,-,2,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2014年,平成26年,26366,精華町,山城南保健所,45,43,-,16,-,-,-,-,24,3,-,-,-,2,-,-,2,-,-,-,-,-,-,-
2014年,平成26年,26367,南山城村,山城南保健所,1,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2014年,平成26年,26206,亀岡市,南丹保健所,109,107,3,40,-,-,-,-,47,17,1,-,1,1,-,-,-,1,-,1,-,-,-,-
2014年,平成26年,26213,南丹市,南丹保健所,138,124,1,95,-,-,-,-,22,6,3,1,2,9,-,-,7,2,2,-,-,2,-,2
2014年,平成26年,26407,京丹波町,南丹保健所,15,14,1,10,-,-,-,-,1,2,1,-,1,-,-,-,-,-,-,-,-,-,-,-
2014年,平成26年,26201,福知山市,中丹西保健所,192,189,6,120,-,-,-,-,49,14,-,-,-,3,-,-,-,3,1,-,2,-,-,-
2014年,平成26年,26202,舞鶴市,中丹東保健所,178,175,1,123,-,-,-,-,43,8,-,-,-,2,-,-,-,2,2,-,-,1,-,1
2014年,平成26年,26203,綾部市,中丹東保健所,68,67,1,47,-,-,-,-,16,3,-,-,-,-,-,-,-,-,-,-,-,1,-,1
2014年,平成26年,26205,宮津市,丹後保健所,27,25,-,7,-,-,-,-,14,4,1,-,1,-,-,-,-,-,-,-,-,1,1,-
2014年,平成26年,26212,京丹後市,丹後保健所,75,73,2,52,-,-,-,-,11,8,1,-,1,1,-,-,-,1,1,-,-,-,-,-
2014年,平成26年,26463,伊根町,丹後保健所,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2014年,平成26年,26465,与謝野町,丹後保健所,69,69,-,56,-,-,-,-,11,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-
