西暦,和暦,地域コード,地域,保健所,総数(人),医療施設の従事者(人),医療施設の従事者_病院の開設者又は法人の代表者(人),医療施設の従事者_病院の勤務者(人),医療施設の従事者_医育機関附属の病院の勤務者(人),医療施設の従事者_医育機関附属の病院の勤務者_臨床系の教官又は教員(人),医療施設の従事者_医育機関附属の病院の勤務者_臨床系の大学院生(人),医療施設の従事者_医育機関附属の病院の勤務者_臨床系のその他の勤務者(人),医療施設の従事者_診療所の開設者又は法人の代表者(人),医療施設の従事者_診療所の勤務者(人),介護老人保健施設の従事者(人),医療施設・介護老人保健施設以外の従事者(人),医療施設・介護老人保健施設以外の従事者_医育機関の臨床系以外の大学院生(人),医療施設・介護老人保健施設以外の従事者_医育機関の臨床系以外の勤務者(人),医療施設・介護老人保健施設以外の従事者_医育機関以外の教育機関又は研究機関の勤務者(人),医療施設・介護老人保健施設以外の従事者_行政機関・保健衛生業務の従事者(人),医療施設・介護老人保健施設以外の従事者_行政機関・保健衛生業務の従事者_行政機関(人),医療施設・介護老人保健施設以外の従事者_行政機関・保健衛生業務の従事者_保健衛生業務(人),その他(人),その他_その他の業務の従事者(人),その他_無職の者(人)
2006年,平成18年,26000,京都府,-,1763,1729,-,69,45,12,33,※「臨床系の大学院生」に含む,1192,423,-,6,5,※「医育機関の臨床系以外の大学院生」に含む,-,1,1,-,28,5,23
2008年,平成20年,26000,京都府,-,1803,1769,-,80,55,15,40,※「臨床系の大学院生」に含む,1177,457,1,6,3,※「医育機関の臨床系以外の大学院生」に含む,-,3,2,1,27,8,19
2010年,平成22年,26000,京都府,-,1830,1800,-,75,60,14,46,※「臨床系の大学院生」に含む,1198,467,-,12,8,※「医育機関の臨床系以外の大学院生」に含む,1,3,2,1,17,5,12
2012年,平成24年,26000,京都府,-,1861,1834,-,80,54,14,4,36,1178,522,1,12,2,1,3,6,5,1,14,5,9
2014年,平成26年,26000,京都府,-,1898,1856,-,75,58,12,8,38,1156,567,1,20,2,11,-,7,7,-,21,8,13
2014年,平成26年,26100,京都市計,-,1228,1196,-,40,58,12,8,38,717,381,-,18,2,11,-,5,5,-,14,6,8
2014年,平成26年,-,その他の市町村計,-,670,660,-,35,-,-,-,-,439,186,1,2,-,-,-,2,2,-,7,2,5
2014年,平成26年,26208,向日市,乙訓保健所,36,36,-,-,-,-,-,-,25,11,-,-,-,-,-,-,-,-,-,-,-
2014年,平成26年,26209,長岡京市,乙訓保健所,65,65,-,-,-,-,-,-,38,27,-,-,-,-,-,-,-,-,-,-,-
2014年,平成26年,26303,大山崎町,乙訓保健所,9,9,-,-,-,-,-,-,7,2,-,-,-,-,-,-,-,-,-,-,-
2014年,平成26年,26204,宇治市,山城北保健所,118,115,-,12,-,-,-,-,72,31,1,-,-,-,-,-,-,-,2,1,1
2014年,平成26年,26207,城陽市,山城北保健所,31,31,-,1,-,-,-,-,27,3,-,-,-,-,-,-,-,-,-,-,-
2014年,平成26年,26210,八幡市,山城北保健所,40,40,-,-,-,-,-,-,25,15,-,-,-,-,-,-,-,-,-,-,-
2014年,平成26年,26211,京田辺市,山城北保健所,41,40,-,-,-,-,-,-,23,17,-,-,-,-,-,-,-,-,1,-,1
2014年,平成26年,26322,久御山町,山城北保健所,13,13,-,-,-,-,-,-,6,7,-,-,-,-,-,-,-,-,-,-,-
2014年,平成26年,26343,井手町,山城北保健所,1,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-
2014年,平成26年,26344,宇治田原町,山城北保健所,5,5,-,-,-,-,-,-,3,2,-,-,-,-,-,-,-,-,-,-,-
2014年,平成26年,26214,木津川市,山城南保健所,36,36,-,-,-,-,-,-,24,12,-,-,-,-,-,-,-,-,-,-,-
2014年,平成26年,26364,笠置町,山城南保健所,1,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-
2014年,平成26年,26365,和束町,山城南保健所,1,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-
2014年,平成26年,26366,精華町,山城南保健所,28,28,-,1,-,-,-,-,19,8,-,-,-,-,-,-,-,-,-,-,-
2014年,平成26年,26367,南山城村,山城南保健所,2,2,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-
2014年,平成26年,26206,亀岡市,南丹保健所,47,46,-,-,-,-,-,-,33,13,-,-,-,-,-,-,-,-,1,-,1
2014年,平成26年,26213,南丹市,南丹保健所,20,20,-,4,-,-,-,-,12,4,-,-,-,-,-,-,-,-,-,-,-
2014年,平成26年,26407,京丹波町,南丹保健所,9,9,-,-,-,-,-,-,4,5,-,-,-,-,-,-,-,-,-,-,-
2014年,平成26年,26201,福知山市,中丹西保健所,44,40,-,1,-,-,-,-,34,5,-,2,-,-,-,2,2,-,2,1,1
2014年,平成26年,26202,舞鶴市,中丹東保健所,53,52,-,8,-,-,-,-,33,11,-,-,-,-,-,-,-,-,1,-,1
2014年,平成26年,26203,綾部市,中丹東保健所,21,21,-,-,-,-,-,-,15,6,-,-,-,-,-,-,-,-,-,-,-
2014年,平成26年,26205,宮津市,丹後保健所,9,9,-,-,-,-,-,-,7,2,-,-,-,-,-,-,-,-,-,-,-
2014年,平成26年,26212,京丹後市,丹後保健所,30,30,-,8,-,-,-,-,18,4,-,-,-,-,-,-,-,-,-,-,-
2014年,平成26年,26463,伊根町,丹後保健所,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2014年,平成26年,26465,与謝野町,丹後保健所,10,10,-,-,-,-,-,-,9,1,-,-,-,-,-,-,-,-,-,-,-
