西暦,和暦,保健所等,総数(人),薬局・医療施設の従事者(人),薬局・医療施設の従事者_薬局の開設者又は法人の代表者(人),薬局・医療施設の従事者_薬局の勤務者(人),薬局・医療施設の従事者_病院・診療所の業務に従事する者_調剤(人),薬局・医療施設の従事者_病院・診療所の業務に従事する者_検査(人),薬局・医療施設の従事者_病院・診療所の業務に従事する者_その他(人),薬局・医療施設以外の従事者(人),薬局・医療施設以外の従事者_大学の勤務者(研究・教育)(人),薬局・医療施設以外の従事者_大学院生又は研究生(人),薬局・医療施設以外の従事者_医薬品製造販売業・製造業(研究・開発、営業、その他)(人),薬局・医療施設以外の従事者_医薬品販売業(薬種商を含む)(人),薬局・医療施設以外の従事者_衛生行政機関又は保健衛生施設の従事者(人),その他(人),その他_その他の業務の従事者(人),その他_無職の者(人)
2006年,平成18年,合計,5524,3225,333,1710,1110,9,63,1801,202,417,685,250,247,498,117,381
2008年,平成20年,合計,5823,3484,324,1914,1184,4,58,1845,211,381,669,318,266,492,141,351
2010年,平成22年,合計,5873,3757,320,2154,1221,5,57,1657,211,266,706,225,249,457,128,329
2012年,平成24年,合計,5726,3859,307,2277,1222,2,51,1459,222,58,699,231,249,408,120,288
2014年,平成26年,合計,5894,4132,279,2498,1299,…,56,1388,238,50,694,141,265,374,142,232
2014年,平成26年,京都市,4043,2661,152,1581,884,…,44,1125,191,47,603,79,205,257,106,151
2014年,平成26年,府保健所計,1851,1471,127,917,415,…,12,263,47,3,91,62,60,117,36,81
2014年,平成26年,乙訓保健所,249,185,16,126,42,…,1,31,-,-,17,8,6,33,8,25
2014年,平成26年,山城北保健所,749,592,36,379,170,…,7,106,44,3,17,25,17,51,14,37
2014年,平成26年,山城南保健所,200,160,14,121,25,…,-,26,-,-,12,8,6,14,5,9
2014年,平成26年,南丹保健所,186,165,11,102,51,…,1,14,3,-,4,3,4,7,3,4
2014年,平成26年,中丹西保健所,150,94,10,55,29,…,-,54,-,-,36,7,11,2,2,-
2014年,平成26年,中丹東保健所,205,180,23,89,65,…,3,21,-,-,4,10,7,4,2,2
2014年,平成26年,丹後保健所,112,95,17,45,33,…,-,11,-,-,1,1,9,6,2,4
