西暦,和暦,保健所等,性別,看護師_総数(人),看護師_病院(人),看護師_診療所(人),看護師_訪問看護ステーション(人),看護師_介護保険施設(人),看護師_社会福祉施設(人),看護師_保健所又は市町村(人),看護師_事業所(人),看護師_看護師等学校・養成所又は研究機関(人),看護師_学校(人),看護師_派出看護師(人),看護師_その他(人),准看護師_総数(人),准看護師_病院(人),准看護師_診療所(人),准看護師_訪問看護ステーション(人),准看護師_介護保険施設(人),准看護師_社会福祉施設(人),准看護師_保健所又は市町村(人),准看護師_事業所(人),准看護師_看護師等学校・養成所又は研究機関(人),准看護師_学校(人),准看護師_派出看護師(人),准看護師_その他(人)
2006年,平成18年,合計,男女計,19217,14484,2148,669,1131,164,125,102,269,…,…,125,6624,3814,1609,53,944,124,35,23,-,…,…,22
2006年,平成18年,合計,男,926,836,26,12,36,6,-,-,9,-,-,1,437,344,39,-,34,9,-,10,-,-,-,1
2008年,平成20年,合計,男女計,20713,15552,2308,688,1302,174,116,104,314,…,…,155,6615,3724,1569,55,1028,127,44,41,-,…,…,27
2008年,平成20年,合計,男,1024,940,19,18,30,2,-,-,12,-,-,3,395,300,25,1,36,11,-,21,-,-,-,1
2010年,平成22年,合計,男女計,22278,16570,2400,809,1546,238,121,116,322,…,…,156,6473,3526,1486,63,1116,156,37,33,-,…,…,56
2010年,平成22年,合計,男,1377,1249,23,26,54,4,-,-,18,-,-,3,436,326,26,4,49,10,-,14,-,-,-,7
2012年,平成24年,合計,男女計,23541,17586,2645,806,1464,248,94,117,355,…,…,226,5902,3244,1427,46,947,138,36,17,1,…,…,46
2012年,平成24年,合計,男,1499,1370,32,19,48,4,1,1,21,-,-,3,393,304,43,2,34,8,-,2,-,-,-,-
2014年,平成26年,合計,男女計,24637,18036,2827,951,1623,337,134,124,362,…,…,243,5659,2944,1441,47,974,156,40,17,-,…,…,40
2014年,平成26年,合計,男,1795,1607,34,41,70,7,1,3,27,-,-,5,432,308,56,2,47,14,-,2,-,-,-,3
2014年,平成26年,京都市,男女計,16174,12035,1845,610,935,146,42,85,292,…,…,184,3169,1762,809,23,475,62,6,9,-,…,…,23
2014年,平成26年,京都市,男,1190,1058,28,28,48,-,-,2,22,-,-,4,258,193,30,-,31,3,-,-,-,-,-,1
2014年,平成26年,府保健所計,男女計,8463,6001,982,341,688,191,92,39,70,…,…,59,2490,1182,632,24,499,94,34,8,-,…,…,17
2014年,平成26年,府保健所計,男,605,549,6,13,22,7,1,1,5,-,-,1,174,115,26,2,16,11,-,2,-,-,-,2
2014年,平成26年,乙訓保健所,男女計,913,586,135,56,90,26,6,4,-,…,…,10,295,163,76,1,44,7,2,-,-,…,…,2
2014年,平成26年,乙訓保健所,男,77,74,1,1,1,-,-,-,-,-,-,-,37,35,2,-,-,-,-,-,-,-,-,-
2014年,平成26年,山城北保健所,男女計,3093,2293,373,126,181,34,48,17,1,…,…,20,845,497,167,12,145,13,6,-,-,…,…,5
2014年,平成26年,山城北保健所,男,279,258,5,5,9,-,1,1,-,-,-,-,63,43,6,2,10,-,-,-,-,-,-,2
2014年,平成26年,山城南保健所,男女計,605,331,118,33,73,34,5,2,-,…,…,9,116,23,50,2,28,10,-,-,-,…,…,3
2014年,平成26年,山城南保健所,男,21,13,-,5,3,-,-,-,-,-,-,-,2,-,-,-,1,1,-,-,-,-,-,-
2014年,平成26年,南丹保健所,男女計,981,635,120,18,78,73,8,3,37,…,…,9,262,86,65,-,61,40,7,1,-,…,…,2
2014年,平成26年,南丹保健所,男,43,31,-,-,1,6,-,-,4,-,-,1,14,4,2,-,1,7,-,-,-,-,-,-
2014年,平成26年,中丹西保健所,男女計,737,514,63,31,73,13,13,8,16,…,…,6,318,134,69,2,90,13,5,3,-,…,…,2
2014年,平成26年,中丹西保健所,男,62,58,-,1,2,1,-,-,-,-,-,-,22,16,-,-,2,3,-,1,-,-,-,-
2014年,平成26年,中丹東保健所,男女計,1312,1075,109,31,69,5,9,5,6,…,…,3,310,133,134,-,33,-,7,3,-,…,…,-
2014年,平成26年,中丹東保健所,男,83,82,-,-,1,-,-,-,-,-,-,-,32,15,16,-,-,-,-,1,-,-,-,-
2014年,平成26年,丹後保健所,男女計,822,567,64,46,124,6,3,-,10,…,…,2,344,146,71,7,98,11,7,1,-,…,…,3
2014年,平成26年,丹後保健所,男,40,33,-,1,5,-,-,-,1,-,-,-,4,2,-,-,2,-,-,-,-,-,-,-
