西暦,和暦,保健所等,性別,保健師_総数(人),保健師_病院(人),保健師_診療所(人),保健師_訪問看護ステーション(人),保健師_介護保険施設(人),保健師_社会福祉施設(人),保健師_保健所(人),保健師_市町村(人),保健師_事業所(人),保健師_看護師等学校・養成所又は研究機関(人),保健師_その他(人),助産師_総数(人),助産師_病院(人),助産師_診療所(人),助産師_助産所_開設者(人),助産師_助産所_従事者(人),助産師_助産所_出張のみによる者(人),助産師_訪問看護ステーション(人),助産師_社会福祉施設(人),助産師_保健所又は市町村(人),助産師_事業所(人),助産師_助産師等学校・養成所又は研究機関(人),助産師_その他(人)
2006年,平成18年,合計,男女計,867,44,29,9,9,6,254,418,38,19,41,658,469,112,19,7,12,-,-,13,-,25,1
2006年,平成18年,合計,男,6,-,-,1,-,-,-,4,-,1,-,…,…,…,…,…,…,…,…,…,…,…,…
2008年,平成20年,合計,男女計,925,53,27,9,10,2,246,466,55,25,32,747,499,156,16,7,14,-,-,12,2,40,1
2008年,平成20年,合計,男,8,1,1,1,-,-,1,3,-,1,-,…,…,…,…,…,…,…,…,…,…,…,…
2010年,平成22年,合計,男女計,967,48,33,7,6,3,277,453,69,28,43,749,518,140,16,8,16,-,-,10,-,41,-
2010年,平成22年,合計,男,8,2,1,-,-,-,1,2,-,1,1,…,…,…,…,…,…,…,…,…,…,…,…
2012年,平成24年,合計,男女計,1028,63,20,4,5,1,268,527,48,22,70,815,580,133,16,5,10,-,-,18,-,53,-
2012年,平成24年,合計,男,13,1,1,-,1,-,3,5,-,-,2,…,…,…,…,…,…,…,…,…,…,…,…
2014年,平成26年,合計,男女計,1087,48,23,7,2,1,222,607,62,25,90,903,634,153,18,5,16,-,-,29,-,48,-
2014年,平成26年,合計,男,16,2,1,-,-,-,4,6,-,1,2,…,…,…,…,…,…,…,…,…,…,…,…
2014年,平成26年,京都市,男女計,506,29,17,5,1,1,144,180,48,22,59,634,439,106,10,4,10,-,-,20,-,45,-
2014年,平成26年,京都市,男,6,2,1,-,-,-,1,-,-,1,1,…,…,…,…,…,…,…,…,…,…,…,…
2014年,平成26年,府保健所計,男女計,581,19,6,2,1,-,78,427,14,3,31,269,195,47,8,1,6,-,-,9,-,3,-
2014年,平成26年,府保健所計,男,10,-,-,-,-,-,3,6,-,-,1,…,…,…,…,…,…,…,…,…,…,…,…
2014年,平成26年,乙訓保健所,男女計,67,1,-,-,-,-,9,44,9,-,4,28,16,9,1,-,1,-,-,1,-,-,-
2014年,平成26年,乙訓保健所,男,1,-,-,-,-,-,1,-,-,-,-,…,…,…,…,…,…,…,…,…,…,…,…
2014年,平成26年,山城北保健所,男女計,200,8,5,2,1,-,20,152,2,-,10,70,46,15,1,-,4,-,-,3,-,1,-
2014年,平成26年,山城北保健所,男,4,-,-,-,-,-,1,3,-,-,-,…,…,…,…,…,…,…,…,…,…,…,…
2014年,平成26年,山城南保健所,男女計,60,-,-,-,-,-,9,50,1,-,-,40,32,4,2,1,-,-,-,1,-,-,-
2014年,平成26年,山城南保健所,男,-,-,-,-,-,-,-,-,-,-,-,…,…,…,…,…,…,…,…,…,…,…,…
2014年,平成26年,南丹保健所,男女計,76,2,1,-,-,-,12,53,1,3,4,24,10,10,1,-,-,-,-,1,-,2,-
2014年,平成26年,南丹保健所,男,-,-,-,-,-,-,-,-,-,-,-,…,…,…,…,…,…,…,…,…,…,…,…
2014年,平成26年,中丹西保健所,男女計,53,-,-,-,-,-,9,40,1,-,3,25,19,1,2,-,-,-,-,3,-,-,-
2014年,平成26年,中丹西保健所,男,1,-,-,-,-,-,-,1,-,-,-,…,…,…,…,…,…,…,…,…,…,…,…
2014年,平成26年,中丹東保健所,男女計,53,7,-,-,-,-,9,35,-,-,2,55,46,8,-,-,1,-,-,-,-,-,-
2014年,平成26年,中丹東保健所,男,1,-,-,-,-,-,-,1,-,-,-,…,…,…,…,…,…,…,…,…,…,…,…
2014年,平成26年,丹後保健所,男女計,72,1,-,-,-,-,10,53,-,-,8,27,26,-,1,-,-,-,-,-,-,-,-
2014年,平成26年,丹後保健所,男,3,-,-,-,-,-,1,1,-,-,1,…,…,…,…,…,…,…,…,…,…,…,…
