西暦,和暦,地域コード,保健所,地域等,助産所_施設総数(所),助産所_有床施設数(所),助産所_許可病床数(所),歯科技工所(所),施術所_あん摩、マッサージ及び指圧(所),施術所_はり及びきゅう(所),施術所_あん摩、マッサージ及び指圧、はり並びにきゅう(所),施術所_その他(所),施術所_柔道整復(所)
2006年,平成18年,26000,-,京都府,198,34,76,367,628,771,893,204,860
2008年,平成20年,26000,-,京都府,196,31,69,387,668,893,946,219,977
2010年,平成22年,26000,-,京都府,200,31,69,390,681,1009,989,220,1156
2012年,平成24年,26000,-,京都府,207,31,72,403,682,1091,993,249,1276
2014年,平成26年,26000,-,京都府,208,33,76,395,658,1169,987,189,1381
2014年,平成26年,26100,-,京都市計,173,29,66,245,495,757,786,101,957
2014年,平成26年,26101,-,京都市北区,13,1,2,18,54,75,76,9,100
2014年,平成26年,26102,-,京都市上京区,26,4,9,13,42,58,77,13,82
2014年,平成26年,26103,-,京都市左京区,18,4,5,26,61,74,81,7,94
2014年,平成26年,26104,-,京都市中京区,20,4,16,24,46,106,97,10,105
2014年,平成26年,26105,-,京都市東山区,9,1,1,6,40,26,65,6,31
2014年,平成26年,26110,-,京都市山科区,10,1,3,21,39,30,50,5,71
2014年,平成26年,26106,-,京都市下京区,7,-,-,12,38,78,81,16,74
2014年,平成26年,26107,-,京都市南区,13,7,14,21,26,50,52,7,62
2014年,平成26年,26108,-,京都市右京区,12,3,6,43,48,93,72,11,126
2014年,平成26年,26111,-,京都市西京区,5,-,-,18,27,52,40,4,73
2014年,平成26年,26109,-,京都市伏見区,40,4,10,43,74,115,95,13,139
2014年,平成26年,-,-,府保健所計,35,4,10,150,163,412,201,88,424
2014年,平成26年,26208,乙訓保健所,向日市,3,-,-,6,6,31,22,1,36
2014年,平成26年,26209,乙訓保健所,長岡京市,4,-,-,13,16,34,29,4,36
2014年,平成26年,26303,乙訓保健所,大山崎町,-,-,-,1,1,10,1,-,2
2014年,平成26年,26204,山城北保健所,宇治市,12,1,2,17,24,72,39,29,105
2014年,平成26年,26207,山城北保健所,城陽市,1,-,-,16,17,34,10,14,49
2014年,平成26年,26210,山城北保健所,八幡市,1,-,-,8,11,17,11,2,25
2014年,平成26年,26211,山城北保健所,京田辺市,1,-,-,6,4,27,6,4,28
2014年,平成26年,26322,山城北保健所,久御山町,-,-,-,7,2,6,-,3,7
2014年,平成26年,26343,山城北保健所,井手町,-,-,-,-,1,4,-,-,4
2014年,平成26年,26344,山城北保健所,宇治田原町,-,-,-,1,2,2,1,1,4
2014年,平成26年,26214,山城南保健所,木津川市,2,1,3,9,6,20,4,5,14
2014年,平成26年,26364,山城南保健所,笠置町,-,-,-,-,-,1,-,1,1
2014年,平成26年,26365,山城南保健所,和束町,-,-,-,-,1,1,-,-,-
2014年,平成26年,26366,山城南保健所,精華町,1,1,2,4,2,15,4,2,13
2014年,平成26年,26367,山城南保健所,南山城村,-,-,-,-,1,2,-,2,-
2014年,平成26年,26206,南丹保健所,亀岡市,3,-,-,12,14,47,23,1,22
2014年,平成26年,26213,南丹保健所,南丹市,-,-,-,9,4,18,9,-,6
2014年,平成26年,26407,南丹保健所,京丹波町,-,-,-,2,4,4,2,-,4
2014年,平成26年,26201,中丹西保健所,福知山市,3,-,-,13,12,26,22,1,25
2014年,平成26年,26202,中丹東保健所,舞鶴市,1,1,3,10,5,10,7,15,18
2014年,平成26年,26203,中丹東保健所,綾部市,-,-,-,4,-,8,4,2,8
2014年,平成26年,26205,丹後保健所,宮津市,-,-,-,2,6,4,1,-,2
2014年,平成26年,26212,丹後保健所,京丹後市,2,-,-,4,17,17,6,1,11
2014年,平成26年,26463,丹後保健所,伊根町,-,-,-,-,-,-,-,-,-
2014年,平成26年,26465,丹後保健所,与謝野町,1,-,-,6,7,2,-,-,4
