種別,感染症名称,2011年(人),2012年(人),2013年(人),2014年(人),2015年(人)
一類感染症,エボラ出血熱,-,-,-,-,-
一類感染症,クリミア・コンゴ出血熱,-,-,-,-,-
一類感染症,ペスト,-,-,-,-,-
一類感染症,マールブルグ病,-,-,-,-,-
一類感染症,ラッサ熱,-,-,-,-,-
二類感染症,急性灰白髄炎(ポリオ),-,-,-,-,-
二類感染症,ジフテリア,-,-,-,-,-
三類感染症,コレラ,-,-,-,-,-
三類感染症,細菌性赤痢,3,2,4,1,3
三類感染症,腸管出血性大腸菌感染症,78,54,61,72,45
三類感染症,腸チフス,-,-,3,2,1
三類感染症,パラチフス,-,2,2,1,-
四類感染症（全数把握）,E型肝炎,-,-,1,1,-
四類感染症（全数把握）,A型肝炎,2,4,2,6,1
四類感染症（全数把握）,オウム病,1,1,-,-,-
四類感染症（全数把握）,デング熱,3,7,11,5,11
四類感染症（全数把握）,日本紅斑熱,1,-,-,1,1
四類感染症（全数把握）,マラリア,1,2,1,3,-
四類感染症（全数把握）,ライム病,-,1,-,-,-
四類感染症（全数把握）,チクングニア熱,-,-,-,1,-
四類感染症（全数把握）,レジオネラ症,16,17,13,27,36
四類感染症（全数把握）,ツツガムシ病,-,1,1,-,-
五類感染症（全数把握）,アメーバ赤痢,25,21,19,20,26
五類感染症（全数把握）,ウイルス性肝炎,8,6,10,4,1
五類感染症（全数把握）,カルバペネム耐性腸内細菌感染症,-,-,-,9,44
五類感染症（全数把握）,急性脳炎(日本脳炎を除く),13,8,3,4,6
五類感染症（全数把握）,クロイツフェルト・ヤコブ病,5,7,2,3,4
五類感染症（全数把握）,劇症型溶血性レンサ球菌感染症,4,9,-,5,4
五類感染症（全数把握）,後天性免疫不全症候群,14,11,23,18,17
五類感染症（全数把握）,ジアルジア症,2,1,1,2,-
五類感染症（全数把握）,※髄膜炎菌性髄膜炎,-,1,・,・,・
五類感染症（全数把握）,侵襲性インフルエンザ菌感染症,・,・,3,3,7
五類感染症（全数把握）,侵襲性髄膜炎菌感染症,・,・,-,-,1
五類感染症（全数把握）,侵襲性肺炎球菌感染症,・,・,18,50,63
五類感染症（全数把握）,水痘（入院例に限る）,-,-,-,2,2
五類感染症（全数把握）,梅毒,11,12,11,13,44
五類感染症（全数把握）,破傷風,-,3,2,3,2
五類感染症（全数把握）,バイコマイシン耐性腸球菌感染症,3,5,-,1,1
五類感染症（全数把握）,麻しん,3,2,10,25,1
五類感染症（全数把握）,風しん,1,36,322,2,1
五類感染症（定点把握）,インフルエンザ,20923,35513,23950,39887,22095
五類感染症（定点把握）,メチシリン耐性黄色ブドウ球菌感染症,102,154,189,126,138
