西暦,和暦,保健所等,年中新登録患者数_活動性結核_総数(人),年中新登録患者数_活動性結核_肺結核活動性_喀痰塗抹陽性_初回治療(人),年中新登録患者数_活動性結核_肺結核活動性_喀痰塗抹陽性_再治療(人),年中新登録患者数_活動性結核_肺結核活動性_その他の結核菌陽性(人),年中新登録患者数_活動性結核_肺結核活動性_菌陰性その他(人),年中新登録患者数_活動性結核_肺外結核活動性(人),年末登録患者数_総数(人),年末登録患者数_活動性結核_肺結核活動性_喀痰塗抹陽性_初回治療(人),年末登録患者数_活動性結核_肺結核活動性_喀痰塗抹陽性_再治療(人),年末登録患者数_活動性結核_肺結核活動性_登録時その他の結核菌陽性(人),年末登録患者数_活動性結核_肺結核活動性_登録時菌陰性その他(人),年末登録患者数_活動性結核_肺外結核活動性(人),年末登録患者数_不活動性結核(人),年末登録患者数_活動性不明(人)
2011年,平成23年,合計,489,175,18,140,34,122,1144,116,17,101,28,95,677,110
2012年,平成24年,合計,474,171,12,111,48,132,1062,104,8,98,45,108,537,162
2013年,平成25年,合計,456,181,11,107,38,119,1007,140,7,78,21,74,568,119
2014年,平成26年,合計,498,183,8,126,48,133,1046,132,5,91,33,105,563,117
2015年,平成27年,合計,376,147,2,102,33,92,936,91,3,72,22,73,534,141
2015年,平成27年,京都市,239,88,2,69,21,59,616,60,2,48,14,47,342,103
2015年,平成27年,府保健所計,137,59,-,33,12,33,320,31,1,24,8,26,192,38
2015年,平成27年,乙訓保健所,20,10,-,6,2,2,40,5,1,5,1,2,19,7
2015年,平成27年,山城北保健所,52,21,-,15,3,13,145,12,-,13,2,10,101,7
2015年,平成27年,山城南保健所,9,4,-,3,-,2,26,3,-,2,-,2,18,1
2015年,平成27年,南丹保健所,20,7,-,4,4,5,46,4,-,2,4,6,9,21
2015年,平成27年,中丹西保健所,15,6,-,2,2,5,19,4,-,1,-,3,9,2
2015年,平成27年,中丹東保健所,11,6,-,2,-,3,14,2,-,-,-,2,10,-
2015年,平成27年,丹後保健所,10,5,-,1,1,3,30,1,-,1,1,1,26,-
