西暦,和暦,保健所等,総数,薬局,店舗販売業,卸売販売業,薬種商販売業,特例販売業,配置販売業
2011年度,平成23年度,合計,1843,893,458,214,17,52,209
2012年度,平成24年度,合計,1886,915,498,230,15,19,209
2013年度,平成25年度,合計,1946,960,508,243,1,12,222
2014年度,平成26年度,合計,1931,983,512,232,1,11,192
2015年度,平成27年度,合計,1954,1000,512,244,1,10,187
2015年度,平成27年度,京都市,1129,618,321,184,-,6,…
2015年度,平成27年度,府保健所計,638,382,191,60,1,4,…
2015年度,平成27年度,乙訓保健所,74,52,19,2,1,-,…
2015年度,平成27年度,山城北保健所,233,139,68,26,-,-,…
2015年度,平成27年度,山城南保健所,59,41,18,-,-,-,…
2015年度,平成27年度,南丹保健所,75,44,27,2,-,2,…
2015年度,平成27年度,中丹西保健所,57,27,16,14,-,-,…
2015年度,平成27年度,中丹東保健所,83,49,21,13,-,-,…
2015年度,平成27年度,丹後保健所,57,30,22,3,-,2,…
