西暦,和暦,保健所等,ホテル営業_施設数(施設),ホテル営業_客室数(室),旅館営業_施設数(施設),旅館営業_客室数(室),簡易宿所営業施設数(施設),下宿営業施設数(施設),営業許可件数(件),営業廃止件数(件)
2011年度,平成23年度,合計,200,21210,746,10835,765,80,88,39
2012年度,平成24年度,合計,200,22254,736,10268,795,80,70,47
2013年度,平成25年度,合計,207,22820,712,10208,821,80,79,71
2014年度,平成26年度,合計,216,23650,693,9946,884,79,123,73
2015年度,平成27年度,合計,219,23935,680,9660,1131,79,288,50
2015年度,平成27年度,京都市,163,20830,369,5467,696,78,255,29
2015年度,平成27年度,府保健所計,56,3105,311,4193,435,1,33,21
2015年度,平成27年度,乙訓保健所,1,14,5,97,2,-,1,-
2015年度,平成27年度,山城北保健所,5,193,26,342,17,-,2,-
2015年度,平成27年度,山城南保健所,1,68,17,262,16,-,1,1
2015年度,平成27年度,南丹保健所,3,157,32,429,74,1,9,4
2015年度,平成27年度,中丹西保健所,8,622,33,526,22,-,2,2
2015年度,平成27年度,中丹東保健所,29,1176,36,358,61,-,5,3
2015年度,平成27年度,丹後保健所,9,875,162,2179,243,-,13,11
