西暦,和暦,保健所等,施設数_公営(施設),施設数_私営(施設),施設数_特殊(再掲)_個室付浴場(施設),施設数_特殊(再掲)_ヘルスセンター(施設),施設数_特殊(再掲)_サウナ風呂(施設),施設数_特殊(再掲)_スポーツ施設(施設),施設数_特殊(再掲)_その他(施設),営業許可件数(件),営業廃止件数(件)
2011年度,平成23年度,合計,44,446,-,18,18,56,139,12,22
2012年度,平成24年度,合計,47,431,-,20,19,57,132,8,19
2013年度,平成25年度,合計,55,422,-,15,26,63,123,17,24
2014年度,平成26年度,合計,53,405,-,14,16,46,145,28,39
2015年度,平成27年度,合計,52,391,-,14,17,46,142,7,22
2015年度,平成27年度,京都市,5,251,-,4,7,12,73,4,18
2015年度,平成27年度,府保健所計,47,140,-,10,10,34,69,3,4
2015年度,平成27年度,乙訓保健所,4,12,-,-,-,4,5,-,1
2015年度,平成27年度,山城北保健所,22,30,-,6,2,10,4,-,-
2015年度,平成27年度,山城南保健所,8,12,-,-,-,7,5,-,-
2015年度,平成27年度,南丹保健所,2,23,-,1,1,10,10,1,1
2015年度,平成27年度,中丹西保健所,-,17,-,3,3,2,8,-,2
2015年度,平成27年度,中丹東保健所,1,9,-,-,3,1,1,1,-
2015年度,平成27年度,丹後保健所,10,37,-,-,1,-,36,1,-
