西暦,和暦,保健所等,理容_施設数(施設),理容_従業者数(人),美容_施設数(施設),美容_従業者数(人),クリーニング_免許交付件数(件),クリーニング_施設数(施設),クリーニング_従業者数(人)
2011年度,平成23年度,合計,2126,4473,4611,10867,41,2137,1402
2012年度,平成24年度,合計,2120,4200,4668,10230,28,2115,1339
2013年度,平成25年度,合計,2110,4315,4770,10753,25,2118,1294
2014年度,平成26年度,合計,2080,3840,4863,10013,42,2049,1174
2015年度,平成27年度,合計,2081,3807,4967,10267,36,2024,1076
2015年度,平成27年度,京都市,1111,2177,3007,6811,-,1082,689
2015年度,平成27年度,府保健所計,970,1630,1960,3456,36,942,387
2015年度,平成27年度,乙訓保健所,105,189,245,504,-,134,38
2015年度,平成27年度,山城北保健所,269,462,640,1204,-,320,167
2015年度,平成27年度,山城南保健所,80,127,153,261,-,96,10
2015年度,平成27年度,南丹保健所,117,201,225,369,-,140,38
2015年度,平成27年度,中丹西保健所,82,121,172,282,-,69,25
2015年度,平成27年度,中丹東保健所,163,267,285,444,-,111,48
2015年度,平成27年度,丹後保健所,154,263,240,392,-,72,61
