年齢,1990年_男(年),1990年_女(年),1995年_男(年),1995年_女(年),2000年_男(年),2000年_女(年),2005年_男(年),2005年_女(年),2010年_男(年),2010年_女(年)
0歳,76.39,82.07,77.14,83.44,78.15,84.81,79.34,85.92,80.21,86.65
5歳,71.92,77.5,72.67,78.82,73.52,80.17,74.65,81.19,75.51,81.91
10歳,66.99,72.56,67.74,73.88,68.56,75.23,69.7,76.22,70.55,76.94
15歳,62.04,67.6,62.78,68.91,63.61,70.24,64.74,71.25,65.56,71.96
20歳,57.21,62.67,57.92,63.96,58.73,65.3,59.83,66.3,60.65,66.99
25歳,52.41,57.75,53.09,59.03,53.9,60.38,54.96,61.39,55.82,62.06
30歳,47.59,52.85,48.25,54.12,49.07,55.47,50.11,56.48,50.99,57.14
35歳,42.76,47.95,43.42,49.21,44.25,50.6,45.29,51.59,46.16,52.24
40歳,37.95,43.09,38.62,44.36,39.48,45.75,40.5,46.73,41.33,47.39
45歳,33.26,38.3,33.92,39.55,34.76,40.94,35.78,41.91,36.63,42.58
50歳,28.69,33.58,29.34,34.83,30.21,36.22,31.19,37.16,32.01,37.79
55歳,24.31,28.98,24.92,30.18,25.83,31.58,26.78,32.51,27.55,33.08
60歳,20.21,24.5,20.74,25.64,21.67,27.04,22.54,27.94,23.29,28.51
65歳,16.32,20.14,16.88,21.25,17.74,22.63,18.47,23.46,19.2,23.98
70歳,12.73,15.99,13.3,17.08,14.16,18.39,14.7,19.17,15.33,19.59
75歳,9.61,12.16,10.13,13.2,10.89,14.42,11.34,15.12,11.75,15.41
80歳,7.04,8.84,7.47,9.75,8.01,10.86,8.45,11.39,8.64,11.58
85歳,4.91,6.19,5.43,6.99,5.86,7.92,6.07,8.27,6.19,8.25
90歳,3.48,4.31,3.92,4.89,4.26,5.72,4.28,5.88,4.36,5.66
95歳,2.41,3.04,2.85,3.59,3.33,4.38,3.13,4.2,2.96,3.85
100歳,…,…,…,…,…,…,…,…,1.94,2.76
