死因,性別,総数(人),京都市(人),その他の市町村(人),乙訓保健所(人),山城北保健所(人),山城南保健所(人),南丹保健所(人),中丹西保健所(人),中丹東保健所(人),丹後保健所(人),福知山市(人),舞鶴市(人),綾部市(人),宇治市(人),宮津市(人),亀岡市(人),城陽市(人),向日市(人),長岡京市(人),八幡市(人),京田辺市(人),京丹後市(人),南丹市(人),木津川市(人),大山崎町(人),久御山町(人),井手町(人),宇治田原町(人),笠置町(人),和束町(人),精華町(人),南山城村(人),京丹波町(人),伊根町(人),与謝野町(人)
総数,男女計,25495,13768,11727,1170,3909,912,1560,1044,1569,1563,1044,1048,521,1688,338,812,756,414,584,665,485,832,509,526,172,143,87,85,30,65,243,48,239,52,341
総数,男,12905,6925,5980,602,2024,464,787,528,809,766,528,542,267,885,150,422,405,216,301,332,246,428,250,268,85,78,51,27,14,32,123,27,115,25,163
総数,女,12590,6843,5747,568,1885,448,773,516,760,797,516,506,254,803,188,390,351,198,283,333,239,404,259,258,87,65,36,58,16,33,120,21,124,27,178
感染症及び寄生虫症,男,273,153,120,13,44,11,19,7,13,13,7,10,3,19,4,5,10,2,9,5,4,5,8,7,2,-,4,2,1,1,2,-,6,1,3
感染症及び寄生虫症,女,256,153,103,12,39,2,17,7,12,14,7,10,2,22,4,11,5,1,9,7,4,8,6,1,2,1,-,-,-,-,1,-,-,-,2
感染症及び寄生虫症_腸管感染症,男,20,13,7,2,2,-,1,1,-,1,1,-,-,1,1,-,-,-,-,-,1,-,1,-,2,-,-,-,-,-,-,-,-,-,-
感染症及び寄生虫症_腸管感染症,女,21,9,12,4,4,-,1,-,1,2,-,1,-,2,-,-,1,-,3,-,1,2,1,-,1,-,-,-,-,-,-,-,-,-,-
感染症及び寄生虫症_結核,男,32,14,18,4,4,-,3,1,4,2,1,3,1,2,1,-,1,1,3,1,-,-,2,-,-,-,-,-,-,-,-,-,1,-,1
感染症及び寄生虫症_結核,女,20,10,10,2,4,-,2,-,1,1,-,1,-,2,-,2,2,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
感染症及び寄生虫症_結核_呼吸器結核,男,27,12,15,3,4,-,2,-,4,2,-,3,1,2,1,-,1,1,2,1,-,-,1,-,-,-,-,-,-,-,-,-,1,-,1
感染症及び寄生虫症_結核_呼吸器結核,女,18,10,8,2,3,-,1,-,1,1,-,1,-,1,-,1,2,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
