死因,性別,2011年(人),2012年(人),2013年(人),2014年(人),2015年(人),2015年_0歳(人),2015年_1歳(人),2015年_2歳(人),2015年_3歳(人),2015年_4歳(人),2015年_0〜4歳(人),2015年_5〜9歳(人),2015年_10〜14歳(人),2015年_15〜19歳(人),2015年_20〜24歳(人),2015年_25〜29歳(人),2015年_30〜34歳(人),2015年_35〜39歳(人),2015年_40〜44歳(人),2015年_45〜49歳(人),2015年_50〜54歳(人),2015年_55〜59歳(人),2015年_60〜64歳(人),2015年_65〜69歳(人),2015年_70〜74歳(人),2015年_75〜79歳(人),2015年_80〜84歳(人),2015年_85〜89歳(人),2015年_90〜94歳(人),2015年_95〜99歳(人),2015年_100歳以上(人),2015年_不詳(人)
総数,男女計,24733,25416,25332,25507,25495,50,7,5,3,-,65,12,8,22,38,54,63,76,172,269,342,445,886,1792,2283,3055,4479,5008,3890,1942,594,-
総数,男,12540,12828,12822,12872,12905,20,3,4,2,-,29,9,4,15,30,42,43,45,116,166,201,281,610,1221,1532,1899,2540,2408,1208,416,90,-
総数,女,12193,12588,12510,12635,12590,30,4,1,1,-,36,3,4,7,8,12,20,31,56,103,141,164,276,571,751,1156,1939,2600,2682,1526,504,-
感染症及び寄生虫症,男,240,284,243,256,273,-,-,1,-,-,1,-,-,-,-,-,-,-,1,3,4,8,5,25,43,45,60,48,21,8,1,-
感染症及び寄生虫症,女,298,310,276,278,256,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,1,4,9,17,34,54,68,43,20,4,-
感染症及び寄生虫症_腸管感染症,男,18,31,23,23,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,5,4,4,3,-,-,-
感染症及び寄生虫症_腸管感染症,女,33,30,39,24,21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,5,3,7,2,1,-
感染症及び寄生虫症_結核,男,26,29,19,34,32,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,3,6,4,3,6,4,4,1,-
感染症及び寄生虫症_結核,女,26,16,20,24,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,4,6,5,4,-,-
感染症及び寄生虫症_結核_呼吸器結核,男,24,26,18,25,27,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,4,4,3,6,3,4,1,-
感染症及び寄生虫症_結核_呼吸器結核,女,17,12,18,18,18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,6,4,4,-,-
感染症及び寄生虫症_結核_その他の結核,男,2,3,1,9,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,2,-,-,-,1,-,-,-
感染症及び寄生虫症_結核_その他の結核,女,9,4,2,6,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-
感染症及び寄生虫症_敗血症,男,109,124,101,118,126,-,-,1,-,-,1,-,-,-,-,-,-,-,-,1,3,3,2,9,18,23,29,25,9,3,-,-
感染症及び寄生虫症_敗血症,女,134,138,110,139,124,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,1,2,1,6,10,22,42,22,13,3,-
感染症及び寄生虫症_ウイルス肝炎,男,48,55,43,36,38,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,4,2,5,8,5,8,3,2,-,-,-
感染症及び寄生虫症_ウイルス肝炎,女,49,58,61,34,47,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,4,7,12,13,6,3,-,-,-
感染症及び寄生虫症_ウイルス肝炎_B型ウイルス肝炎,男,3,12,5,2,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,1,-,-,1,-,-,-
感染症及び寄生虫症_ウイルス肝炎_B型ウイルス肝炎,女,2,1,2,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
感染症及び寄生虫症_ウイルス肝炎_C型ウイルス肝炎,男,43,42,35,32,32,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,3,2,2,8,4,8,3,1,-,-,-
感染症及び寄生虫症_ウイルス肝炎_C型ウイルス肝炎,女,44,50,56,31,45,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,3,7,12,12,6,3,-,-,-
感染症及び寄生虫症_ウイルス肝炎_その他のウイルス肝炎,男,2,1,3,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-
感染症及び寄生虫症_ウイルス肝炎_その他のウイルス肝炎,女,3,7,3,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-
感染症及び寄生虫症_ヒト免疫不全ウイルス(HIV)病,男,-,1,-,2,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-
感染症及び寄生虫症_ヒト免疫不全ウイルス(HIV)病,女,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
感染症及び寄生虫症_その他の感染症及び寄生虫症,男,39,44,57,43,56,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,1,-,4,11,8,16,10,3,1,-,-
感染症及び寄生虫症_その他の感染症及び寄生虫症,女,56,68,46,57,44,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,3,9,10,11,6,1,-,-
新生物,男,4438,4463,4614,4626,4487,1,-,-,-,-,1,1,-,1,-,6,7,8,27,35,61,124,303,618,725,767,867,636,251,49,-,-
新生物,女,3193,3320,3263,3330,3300,1,-,-,1,-,2,1,-,-,-,1,7,8,23,43,73,93,160,321,400,475,604,546,388,132,23,-
新生物_悪性新生物,男,4334,4345,4515,4523,4384,-,-,-,-,-,-,1,-,1,-,6,7,7,25,34,59,121,298,604,712,755,840,626,240,48,-,-
新生物_悪性新生物,女,3087,3225,3134,3211,3190,-,-,-,-,-,-,1,-,-,-,1,7,8,23,42,73,91,157,319,391,460,579,521,370,126,21,-
新生物_悪性新生物_口唇，口腔及び咽頭,男,108,92,90,104,85,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,2,4,6,9,22,13,13,5,7,2,-,-
新生物_悪性新生物_口唇，口腔及び咽頭,女,43,38,36,35,51,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,2,1,1,7,6,6,9,11,4,2,-,-
新生物_悪性新生物_食道,男,192,202,178,184,188,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,9,21,27,39,39,32,17,2,-,-,-
新生物_悪性新生物_食道,女,38,44,51,38,43,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,2,4,14,5,2,4,3,8,-,-,-
新生物_悪性新生物_胃,男,675,655,640,614,584,-,-,-,-,-,-,-,-,-,-,-,1,1,3,3,8,19,45,83,94,93,114,74,40,6,-,-
新生物_悪性新生物_胃,女,355,376,342,371,362,-,-,-,-,-,-,-,-,-,-,-,2,1,3,3,4,7,14,26,42,57,69,67,45,20,2,-
新生物_悪性新生物_結腸,男,312,343,338,347,340,-,-,-,-,-,-,-,-,-,-,1,2,-,3,4,6,9,22,51,53,64,45,55,19,6,-,-
新生物_悪性新生物_結腸,女,341,369,375,364,359,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,8,7,17,32,39,51,58,57,56,23,7,-
新生物_悪性新生物_直腸S状結腸移行部及び直腸,男,190,176,182,176,193,-,-,-,-,-,-,-,-,-,-,-,-,-,1,4,5,5,19,41,36,33,27,17,3,2,-,-
