西暦,和暦,妊娠期間,総数(件),20歳未満(件),20〜24歳(件),25〜29歳(件),30〜34歳(件),35〜39歳(件),40〜44歳(件),45〜49歳(件),50歳以上(件),不詳歳(件)
2011年度,平成23年度,合計,3792,416,912,766,656,707,311,24,-,-
2012年度,平成24年度,合計,3689,453,853,694,661,657,351,18,1,1
2013年度,平成25年度,合計,3869,443,828,761,698,699,421,16,1,2
2014年度,平成26年度,合計,3667,385,880,672,681,658,370,20,-,1
2015年度,平成27年度,合計,2465,264,578,466,471,434,228,22,1,1
2015年度,平成27年度,満7週以前,1332,126,315,251,256,246,123,14,1,-
2015年度,平成27年度,満8週〜11週,1034,127,243,193,200,171,94,5,-,1
2015年度,平成27年度,満12週〜15週,48,4,10,15,5,9,4,1,-,-
2015年度,平成27年度,満16週〜19週,33,3,10,4,5,5,4,2,-,-
2015年度,平成27年度,満20週〜21週,18,4,-,3,5,3,3,-,-,-
2015年度,平成27年度,不詳,-,-,-,-,-,-,-,-,-,-
