学校,年齢,性別,身長_2011年(cm),身長_2012年(cm),身長_2013年(cm),身長_2014年(cm),身長_2015年(cm),体重_2011年(kg),体重_2012年(kg),体重_2013年(kg),体重_2014年(kg),体重_2015年(kg),座高_2011年(cm),座高_2012年(cm),座高_2013年(cm),座高_2014年(cm),座高_2015年(cm)
幼稚園,5歳,男,110.4,110.8,110.7,110.8,110.8,18.6,18.7,18.7,18.8,18.9,61.7,61.1,61.9,62.3,61.8
小学校,6歳,男,116.5,116.7,116.6,116.6,116.5,21,21.2,21.1,21.1,21,64.8,64.8,64.8,65,64.9
小学校,7歳,男,122.4,122.7,122.8,122.8,122.5,23.4,23.7,23.8,23.8,23.8,67.5,67.9,67.9,67.8,67.7
小学校,8歳,男,128.4,128.2,128.3,127.5,128.2,27,26.7,26.8,26.3,26.7,70.2,70.2,70.3,70,70.1
小学校,9歳,男,133.8,133.8,134,133.6,133.6,29.8,30.3,30.6,30.1,29.7,72.6,72.6,72.9,72.7,72.5
小学校,10歳,男,139.3,139,139.8,139.3,138.9,33.7,33.5,34.4,33.3,33.3,75.1,74.9,75,74.7,74.7
小学校,11歳,男,144.7,144.8,145.3,145.2,145.1,37.4,37.9,37.5,37.9,37.3,77.4,77.3,77.5,77.5,77.4
中学校,12歳,男,151.7,152.1,152.2,152,152.7,42.9,43.2,43.3,43.1,43.4,81,81.3,81.2,81.2,81.4
中学校,13歳,男,159.5,159.5,159.6,159.7,159.5,48.2,47.8,48.7,48.4,48.2,84.8,85,85.1,84.9,85
中学校,14歳,男,165.1,165.5,164.9,165.9,165.7,53.6,53.3,53.9,53.6,53.9,87.8,88.3,88.2,88.6,88.6
高等学校,15歳,男,168.4,168.9,168.9,168.2,168.9,58.8,58.6,59.6,57.7,58.7,90.2,90.5,90.9,90.6,90.9
高等学校,16歳,男,170.5,170.2,170.2,170.2,170.2,60.8,61.4,60.8,61.4,60.6,91.7,91.7,91.9,92,91.7
高等学校,17歳,男,171,171.5,171.2,171,171.1,62.4,63.2,62.9,62.3,61.9,92.3,92.5,92.4,92.3,92.5
幼稚園,5歳,女,109.8,109.9,109.7,109.5,109.6,18.4,18.3,18.1,18.3,18.5,61.4,61.1,61.3,61.6,61.3
小学校,6歳,女,115.8,115.5,115.8,115.3,115.5,20.7,20.5,20.6,20.4,20.5,64.3,64.4,64.4,64.3,64.4
小学校,7歳,女,121.5,121.3,122.1,121.7,121.4,23.2,23.3,23.6,23.2,23.2,67.2,67.2,67.5,67.4,67.1
小学校,8歳,女,127,127.4,127.8,126.9,126.9,26,26.1,26.4,25.7,25.9,69.7,70,69.9,69.6,69.6
小学校,9歳,女,133.5,133.2,134.3,133.4,133.2,29.3,29.3,29.9,29.4,29,72.7,72.5,73.1,72.6,72.5
小学校,10歳,女,139.7,139.8,140.1,139.4,140.1,33.1,33.2,33.5,33.3,33.6,75.6,75.7,75.6,75.5,75.6
小学校,11歳,女,147,146.9,147.1,147.2,146.6,39,38.5,38.5,38.8,38.5,79.3,79.2,79.1,79.4,79.1
中学校,12歳,女,152,151.8,151.9,151.5,151.7,43.2,43.1,43.1,41.7,42.8,82.3,82.2,82.4,82.1,82
中学校,13歳,女,155.5,155.5,155,155.2,155.1,47.1,47.1,46.7,46.1,47.2,84.1,84.4,84.1,84.2,84
中学校,14歳,女,156.8,157.1,156.7,157,156.7,49.5,49.6,49.4,49.3,49.1,85.1,85.2,85.1,85.4,84.9
高等学校,15歳,女,158.1,156.4,157.6,157.5,157.8,50.7,50.6,50.6,51,51.6,85.9,85.2,86.1,85.5,85.8
高等学校,16歳,女,158.3,157.5,157.9,158,158.2,52.2,52.3,53,52.7,52.4,86.1,85.8,86,86.1,86.1
高等学校,17歳,女,158.4,158.3,157.5,157.9,158.6,52,52.7,52.3,52.7,52.8,86.2,86.3,85.9,86.2,86.5
