西暦,和暦,性別,学年,握力(kg),上体起こし(回),長座体前屈(cm),反復横とび(点),20ｍシャトルラン(回),50ｍ走(秒),立ち幅とび(cm),ボール投げ(m)
2011年度,平成23年度,男,小学校5年,16.64,20.69,31.46,42.96,60.39,9.17,155.58,26.59
2012年度,平成24年度,男,小学校5年,16.71,20.5,31.43,42.55,58.67,9.18,155.25,25.73
2013年度,平成25年度,男,小学校5年,16.36,20.76,31.42,42.73,58.47,9.21,154.93,25.15
2014年度,平成26年度,男,小学校5年,16.26,20.92,31.45,42.77,59.93,9.17,154.64,24.57
2015年度,平成27年度,男,小学校5年,16.4,20.57,31.44,42.44,58.93,9.17,154.57,24.11
2011年度,平成23年度,男,中学校2年,30.18,27.5,43.01,51.99,90.81,7.87,195.79,21.63
2012年度,平成24年度,男,中学校2年,29.6,27.9,42.08,52.13,90.2,7.9,196.04,21.14
2013年度,平成25年度,男,中学校2年,29.76,28.13,42.32,52.18,89.43,7.9,193.67,20.87
2014年度,平成26年度,男,中学校2年,28.88,28.12,42.48,52.84,89.32,7.93,194.75,20.51
2015年度,平成27年度,男,中学校2年,29.46,27.73,42.14,52.82,89.68,7.85,195.88,20.97
2011年度,平成23年度,男,高等学校2年,41.79,31.67,50.48,56.6,99.68,7.32,225.64,27.23
2012年度,平成24年度,男,高等学校2年,41.39,31.75,49.1,56.81,96.97,7.27,225.61,26.92
2013年度,平成25年度,男,高等学校2年,40.66,31.78,49.44,56.62,96.13,7.29,223.27,26.72
2014年度,平成26年度,男,高等学校2年,40.43,31.62,48.6,56.62,98.42,7.3,222.75,26.49
2015年度,平成27年度,男,高等学校2年,40.71,31.4,49.7,56.72,96.8,7.3,222.81,26.14
2011年度,平成23年度,女,小学校5年,16.1,19.09,34.7,40.85,47.1,9.49,148.24,15.94
2012年度,平成24年度,女,小学校5年,16.18,18.73,35.06,40.57,45.68,9.48,147.63,15.51
2013年度,平成25年度,女,小学校5年,16,19.12,35.12,40.95,46.96,9.47,146.91,15.21
2014年度,平成26年度,女,小学校5年,15.78,19.11,35.85,40.4,47,9.65,146.22,15.22
2015年度,平成27年度,女,小学校5年,15.53,19.33,35.76,40.35,46.08,9.52,146.48,14.91
2011年度,平成23年度,女,中学校2年,23.45,23.24,43.78,45.23,61.38,8.75,167.87,13.7
2012年度,平成24年度,女,中学校2年,24.18,23.43,43.79,46.54,64.1,8.62,170.96,14.03
2013年度,平成25年度,女,中学校2年,23.35,23.43,43.3,46.26,63.64,8.74,166.18,13.33
2014年度,平成26年度,女,中学校2年,23.77,24.21,43.35,46.9,61.65,8.72,167.23,13.28
2015年度,平成27年度,女,中学校2年,24.16,24.29,43.61,47.03,63.27,8.66,169.64,13.4
2011年度,平成23年度,女,高等学校2年,27.05,24.47,46.55,46.97,58.51,8.8,172.57,15.41
2012年度,平成24年度,女,高等学校2年,26.63,24.39,46.82,46.98,59.55,8.81,172.88,15.4
2013年度,平成25年度,女,高等学校2年,26.06,24.41,47.02,46.2,57.71,8.84,169.54,15.33
2014年度,平成26年度,女,高等学校2年,26.45,24.99,46.6,46.6,59.13,8.78,170.96,15.04
2015年度,平成27年度,女,高等学校2年,26.74,24.51,46.83,47.66,58.77,8.8,171.61,15.05
