西暦,和暦,地域等,種別,収集運搬(業者),収集運搬(積替え含む)(業者),中間処理(業者),最終処分(業者),収集運搬及び中間処理(業者),収集運搬及び最終処分(業者),収集運搬中間処理及び最終処分(業者),中間処理及び最終処分(業者),計(業者)
2011年,平成23年,合計,産業廃棄物,5655,80,34,1,118,2,1,-,5891
2012年,平成24年,合計,産業廃棄物,5376,83,32,1,123,2,1,-,5618
2013年,平成25年,合計,産業廃棄物,4201,54,32,1,121,2,1,-,4412
2014年,平成26年,合計,産業廃棄物,4235,52,38,1,116,1,1,-,4444
2015年,平成27年,合計,産業廃棄物,4269,50,41,1,114,2,1,-,4478
2015年,平成27年,京都府,産業廃棄物,3979,16,26,1,77,2,1,-,4102
2015年,平成27年,京都市,産業廃棄物,290,34,15,-,37,-,-,-,376
2011年,平成23年,合計,特別管理産業廃棄物,655,4,1,-,5,1,-,-,666
2012年,平成24年,合計,特別管理産業廃棄物,579,5,1,-,6,1,-,-,592
2013年,平成25年,合計,特別管理産業廃棄物,522,4,2,-,6,1,-,-,535
2014年,平成26年,合計,特別管理産業廃棄物,481,4,3,-,5,1,-,-,494
2015年,平成27年,合計,特別管理産業廃棄物,458,4,3,-,5,1,-,-,471
2015年,平成27年,京都府,特別管理産業廃棄物,380,2,1,-,3,1,-,-,387
2015年,平成27年,京都市,特別管理産業廃棄物,78,2,2,-,2,-,-,-,84
