施設,2011年(施設),2012年(施設),2013年(施設),2014年(施設),2015年(施設),2015年_京都府(施設),2015年_京都市(施設)
計,196,185,186,188,197,129,68
汚泥の脱水施設,15,14,15,16,16,11,5
汚泥の乾燥施設(機械),3,3,3,3,3,3,-
汚泥の乾燥施設(天日),-,-,-,-,-,-,-
汚泥の焼却施設,5,5,4,4,4,2,2
廃油の油水分離施設,2,2,2,2,2,2,-
廃油の焼却施設,7,6,5,4,4,2,2
廃酸・廃アルカリの中和施設,-,-,1,1,1,-,1
廃プラスチック類の破砕施設,19,20,21,22,26,16,10
廃プラスチック類の焼却施設,9,9,8,8,8,5,3
木くず又はがれき類の破砕施設,112,102,104,107,113,74,39
汚泥のコンクリート固形化施設,-,-,-,-,-,-,-
水銀を含む汚泥のばい焼施設,-,-,-,-,-,-,-
シアン化合物の分解施設,1,1,2,2,2,-,2
廃PCB等の焼却施設,-,-,-,-,-,-,-
廃PCB等の分解施設,-,-,-,-,-,-,-
PCB汚染物質の洗浄施設,-,-,-,-,-,-,-
産業廃棄物の焼却施設,9,9,7,6,6,4,2
最終処分場(しゃ断型),-,-,-,-,-,-,-
最終処分場(安定型),3,3,3,2,1,1,-
最終処分場(管理型),11,11,11,11,11,9,2
