西暦,和暦,地域コード,地域,保健所,計画処理区域内人口(人),計画処理区域内人口_計画収集人口(人),計画処理区域内人口_自家処理人口(人),総排出量(t),総排出量_計画収集量(t),総排出量_直接搬入量(t),総排出量_自家処理量(t),廃棄物処理施設の処理状況_焼却(t),廃棄物処理施設の処理状況_埋立(t),廃棄物処理施設の処理状況_資源化(t)
2010年度,平成22年度,26000,京都府,-,2645283,2642440,2843,844700,729280,114529,891,703412,22072,60792
2011年度,平成23年度,26000,京都府,-,2640999,2637080,3919,838682,727042,110922,718,696375,14316,59224
2012年度,平成24年度,26000,京都府,-,2643034,2639070,3964,834512,718693,115069,750,683161,13996,61632
2013年度,平成25年度,26000,京都府,-,2636347,2632372,3975,824545,715210,108579,756,673602,15534,67011
2014年度,平成26年度,26000,京都府,-,2629677,2625675,4002,808539,703911,103913,715,666155,13633,67243
2014年度,平成26年度,26100,京都市,-,1469253,1469253,-,476725,434913,41812,-,412392,2748,35970
2014年度,平成26年度,-,府保健所計,府保健所計,1160424,1156422,4002,331814,268998,62101,715,253763,10885,31273
2014年度,平成26年度,26208,向日市,乙訓保健所,54297,54297,-,14574,13796,778,-,13419,62,642
2014年度,平成26年度,26209,長岡京市,乙訓保健所,80224,80224,-,21783,20681,1102,-,19263,44,1325
2014年度,平成26年度,26303,大山崎町,乙訓保健所,15431,15431,-,3863,3667,196,-,3428,-,233
2014年度,平成26年度,26204,宇治市,山城北保健所,190967,190967,-,49655,37843,11812,-,36998,632,3267
2014年度,平成26年度,26207,城陽市,山城北保健所,78736,78736,-,21744,16870,4874,-,16851,688,1272
2014年度,平成26年度,26322,久御山町,山城北保健所,16369,16369,-,7402,4129,3273,-,5919,307,515
2014年度,平成26年度,26210,八幡市,山城北保健所,73177,73177,-,19763,19063,700,-,14763,507,1105
2014年度,平成26年度,26211,京田辺市,山城北保健所,66605,66605,-,18522,13846,4676,-,15497,284,908
2014年度,平成26年度,26343,井手町,山城北保健所,7911,7911,-,2643,2227,416,-,1938,179,196
2014年度,平成26年度,26344,宇治田原町,山城北保健所,9779,9779,-,3157,2414,743,-,2363,103,151
2014年度,平成26年度,26214,木津川市,山城南保健所,72747,69914,2833,19337,17440,1431,466,15224,-,2426
2014年度,平成26年度,26364,笠置町,山城南保健所,1547,1547,-,540,450,90,-,330,-,97
2014年度,平成26年度,26365,和束町,山城南保健所,4378,4378,-,1099,920,179,-,543,-,144
2014年度,平成26年度,26366,精華町,山城南保健所,37429,37429,-,8722,8659,63,-,6944,-,1240
2014年度,平成26年度,26367,南山城村,山城南保健所,2994,2994,-,859,534,325,-,619,-,99
2014年度,平成26年度,26206,亀岡市,南丹保健所,91755,91755,-,23948,23257,691,-,20443,1783,1195
2014年度,平成26年度,26213,南丹市,南丹保健所,33531,33531,-,7653,7015,638,-,6332,78,1238
2014年度,平成26年度,26407,京丹波町,南丹保健所,15640,15640,-,2869,2648,221,-,2286,43,531
2014年度,平成26年度,26201,福知山市,中丹西保健所,80781,80781,-,25940,14214,11726,-,17328,787,2589
2014年度,平成26年度,26202,舞鶴市,中丹東保健所,86957,86957,-,27883,20507,7376,-,23413,-,2583
2014年度,平成26年度,26203,綾部市,中丹東保健所,35472,34303,1169,10616,9288,1079,249,-,880,5205
2014年度,平成26年度,26205,宮津市,丹後保健所,19530,19530,-,7940,6277,1663,-,6300,-,1332
2014年度,平成26年度,26212,京丹後市,丹後保健所,58648,58648,-,23531,16350,7181,-,18070,3584,1871
2014年度,平成26年度,26463,伊根町,丹後保健所,2353,2353,-,772,590,182,-,457,-,69
2014年度,平成26年度,26465,与謝野町,丹後保健所,23166,23166,-,6999,6313,686,-,5035,924,1040
