西暦,和暦,地域コード,地域,保健所,計画処理区域内人口(人),計画処理区域内人口_水洗化人口(人),計画処理区域内人口_水洗化人口_公共下水道人口(人),計画処理区域内人口_水洗化人口_コミュニティプラント人口(人),計画処理区域内人口_水洗化人口_浄化槽人口(人),計画処理区域内人口_水洗化人口_合併処理浄化槽人口(人),計画処理区域内人口_非水洗化人口(人),計画処理区域内人口_非水洗化人口_計画収集人口(人),計画処理区域内人口_非水洗化人口_自家処理人口(人),総排出量(kl),総排出量_計画収集量(kl),総排出量_計画収集量(し尿+浄化槽汚泥)_し尿処理施設(kl),総排出量_計画収集量(し尿+浄化槽汚泥)_下水道投入(kl),総排出量_計画収集量(し尿+浄化槽汚泥)_海洋投入(kl),総排出量_計画収集量(し尿+浄化槽汚泥)_農地還元(kl),総排出量_自家処理量(kl)
2010年度,平成22年度,26000,京都府,-,2645283,2467565,2282490,999,184076,107433,177718,167512,10206,299285,295493,259009,36484,-,-,3792
2011年度,平成23年度,26000,京都府,-,2640999,2477232,2299221,957,177054,111909,163767,153240,10527,292336,288688,255157,33531,-,-,3648
2012年度,平成24年度,26000,京都府,-,2643034,2489740,2314757,747,174236,100603,153294,145290,8004,267305,264999,236752,28245,-,2,2306
2013年度,平成25年度,26000,京都府,-,2636347,2501758,2344413,7356,149989,94865,134589,132777,1812,253777,251937,227271,24666,-,-,1840
2014年度,平成26年度,26000,京都府,-,2629677,2504163,2339175,10214,154774,94241,125514,123853,1661,240831,239173,216154,23019,-,-,1658
2014年度,平成26年度,26100,京都市,-,1469253,1456059,1446704,482,8873,4513,13194,13194,-,21088,21088,-,21088,-,-,-
2014年度,平成26年度,-,府保健所計,府保健所計,1160424,1048104,892471,9732,145901,89728,112320,110659,1661,219743,218085,216154,1931,-,-,1658
2014年度,平成26年度,26208,向日市,乙訓保健所,54297,54081,53497,-,584,14,216,216,-,607,607,-,607,-,-,-
2014年度,平成26年度,26209,長岡京市,乙訓保健所,80224,79986,79012,-,974,83,238,238,-,1051,1051,-,1051,-,-,-
2014年度,平成26年度,26303,大山崎町,乙訓保健所,15431,15390,15342,-,48,3,41,41,-,273,273,-,273,-,-,-
2014年度,平成26年度,26204,宇治市,山城北保健所,190967,183939,137530,223,46186,26080,7028,7014,14,32833,32816,32816,-,-,-,17
2014年度,平成26年度,26207,城陽市,山城北保健所,78736,76551,71341,-,5210,1850,2185,2176,9,6899,6886,6886,-,-,-,13
2014年度,平成26年度,26322,久御山町,山城北保健所,16369,15742,13328,-,2414,787,627,625,2,2391,2387,2387,-,-,-,4
2014年度,平成26年度,26210,八幡市,山城北保健所,73177,72332,71777,-,555,210,845,845,-,1800,1800,1800,-,-,-,-
2014年度,平成26年度,26211,京田辺市,山城北保健所,66605,65105,62861,-,2244,1611,1500,1500,-,3172,3172,3172,-,-,-,-
2014年度,平成26年度,26343,井手町,山城北保健所,7911,7306,6748,-,558,197,605,605,-,1055,1055,1055,-,-,-,-
2014年度,平成26年度,26344,宇治田原町,山城北保健所,9779,8394,4678,-,3716,2890,1385,1385,-,4949,4949,4949,-,-,-,-
2014年度,平成26年度,26214,木津川市,山城南保健所,72747,68978,61721,-,7257,4762,3769,3749,20,9031,9010,9010,-,-,-,21
2014年度,平成26年度,26364,笠置町,山城南保健所,1547,795,-,-,795,537,752,745,7,1403,1401,1401,-,-,-,2
2014年度,平成26年度,26365,和束町,山城南保健所,4378,3009,1789,-,1220,318,1369,1369,-,2083,2083,2083,-,-,-,-
2014年度,平成26年度,26366,精華町,山城南保健所,37429,36461,35172,-,1289,290,968,950,18,1822,1809,1809,-,-,-,13
2014年度,平成26年度,26367,南山城村,山城南保健所,2994,2584,-,-,2584,2442,410,402,8,1561,1547,1547,-,-,-,14
2014年度,平成26年度,26206,亀岡市,南丹保健所,91755,81226,71428,-,9798,8839,10529,10529,-,12775,12775,12775,-,-,-,-
2014年度,平成26年度,26213,南丹市,南丹保健所,33531,28649,20780,-,7869,7819,4882,4882,-,8625,8625,8625,-,-,-,-
2014年度,平成26年度,26407,京丹波町,南丹保健所,15640,13690,4452,-,9238,9042,1950,1950,-,9038,9038,9038,-,-,-,-
2014年度,平成26年度,26201,福知山市,中丹西保健所,80781,77263,64729,9416,3118,3118,3518,3518,-,7459,7459,7459,-,-,-,-
2014年度,平成26年度,26202,舞鶴市,中丹東保健所,86957,72381,65825,-,6556,5896,14576,13768,808,22010,21234,21234,-,-,-,776
2014年度,平成26年度,26203,綾部市,中丹東保健所,35472,23153,10929,93,12131,269,12319,12129,190,26239,25959,25959,-,-,-,280
2014年度,平成26年度,26205,宮津市,丹後保健所,19530,12382,10164,-,2218,1784,7148,7148,-,11725,11725,11725,-,-,-,-
2014年度,平成26年度,26212,京丹後市,丹後保健所,58648,31127,14000,-,17127,9302,27521,27144,377,40274,39954,39954,-,-,-,320
2014年度,平成26年度,26463,伊根町,丹後保健所,2353,1543,-,-,1543,1217,810,674,136,2383,2273,2273,-,-,-,110
2014年度,平成26年度,26465,与謝野町,丹後保健所,23166,16037,15368,-,669,368,7129,7057,72,8285,8197,8197,-,-,-,88
