西暦,和暦,地域コード,地域,計画(認可)_計画人口(千人),計画(認可)_計画面積(ha),現況_処理人口(千人),現況_処理面積(ha),現況_水洗便所取付戸数(戸),現況_普及率(%)
2011年度,平成23年度,-,合計,2328.6,37396,2332.9,33413,889473,92
2012年度,平成24年度,-,合計,2405.7,37127,2387.8,33733,901856,92
2013年度,平成25年度,-,合計,2419.6,38361,2394.2,34122,912914,93
2014年度,平成26年度,-,合計,2413,38506,2401.1,34434,924274,93.3
2015年度,平成27年度,-,合計,2402,38684,2406.6,34683,934833,93.7
2015年度,平成27年度,26100,京都市,1360.2,16037,1411,15518,551893,99.5
2015年度,平成27年度,26201,福知山市,64.7,2590,65.8,2326,29078,82.7
2015年度,平成27年度,26202,舞鶴市,76.4,2342,75.7,1906,34371,88.9
2015年度,平成27年度,26203,綾部市,16.8,498,13.7,378,5143,39.5
2015年度,平成27年度,26204,宇治市,181,2410,171,1609,56796,90.4
2015年度,平成27年度,26205,宮津市,12.9,503,12.4,417,4549,65.5
2015年度,平成27年度,26206,亀岡市,76.7,1534,76.7,1268,29938,84.6
2015年度,平成27年度,26207,城陽市,74.6,1076,77.2,919,30987,99
2015年度,平成27年度,26208,向日市,53.8,661,55.2,647,23455,100
2015年度,平成27年度,26209,長岡京市,79.7,992,80.2,971,34835,99.7
2015年度,平成27年度,26210,八幡市,77.6,1310,72.4,1129,31668,99.9
2015年度,平成27年度,26211,京田辺市,67.9,1254,65.9,1176,25554,98.2
2015年度,平成27年度,26212,京丹後市,33,1147,27,1001,5505,47.1
2015年度,平成27年度,26213,南丹市,23.7,1120,23.5,935,8939,71.6
2015年度,平成27年度,26214,木津川市,80.3,1600,68,1442,24267,91.3
2015年度,平成27年度,26303,大山崎町,15,328,15.5,288,5719,99.9
2015年度,平成27年度,26322,久御山町,15.6,522,16.2,500,5577,99.2
2015年度,平成27年度,26343,井手町,7.8,248,7.7,201,2904,99.5
2015年度,平成27年度,26344,宇治田原町,9.2,247,6.3,157,1575,66.0
2015年度,平成27年度,26365,和束町,3,99,2.5,83,712,59.7
2015年度,平成27年度,26366,精華町,45.9,1021,36.8,775,13552,98.2
2015年度,平成27年度,26407,京丹波町,6.8,252,4.7,244,1656,31.3
2015年度,平成27年度,26465,与謝野町,19.4,893,21.4,793,6160,93.8
