西暦,和暦,項目,計画（認可）_計画人口(千人),計画（認可）_計画面積(ha),計画（認可）_幹線管渠延長(千m),現況_処理区域内人口(千人),現況_処理区域面積(ha),現況_幹線管渠延長(千m),関係市町
2011年度,平成23年度,合計,853.5,15059,113.1,833.2,12299,112.5,…
2012年度,平成24年度,合計,874,15038,113.1,847.3,12456,112.5,…
2013年度,平成25年度,合計,827.7,15419,113.1,852.3,12688,112.5,…
2014年度,平成26年度,合計,827.7,15419,113.1,859.1,12855,112.5,…
2015年度,平成27年度,合計,862.8,15496,113.1,864.9,12967,112.5,…
2015年度,平成27年度,桂川右岸,345.8,5156,16.8,355.6,4168,16.8,京都市、向日市、長岡京市、大山崎町
2015年度,平成27年度,木津川,375.9,6249,43.8,372,5156,43.8,京都市、宇治市、城陽市、八幡市、京田辺市、久御山町、井手町、木津川市
2015年度,平成27年度,宮津湾,32.3,1395,31.1,33.8,1215,31.1,宮津市、与謝野町
2015年度,平成27年度,木津川上流,89.6,2027,11.5,86.3,1812,10.9,木津川市、精華町
2015年度,平成27年度,桂川中流,19.2,669,9.9,17.221,616,9.9,南丹市
