施設,流入下水量_年間総量(m3),流入下水量_平均1日量(m3),高級処理量_年間総量(m3),高級処理量_平均1日量(m3)
京都市鳥羽水環境保全センター,236450410,646040,234351910,640310
京都市鳥羽水環境保全センター吉祥院支所,24469170,66860,19631300,53640
京都市伏見水環境保全センター,33523680,91590,30654370,83760
京都市石田水環境保全センター,37045450,101220,36995570,101080
京都市京北浄化センター,279192,763,279192,763
桂川右岸流域下水道洛西浄化センター,57417639,156877,57417639,156877
木津川流域下水道洛南浄化センター,44404710,121324,44404710,121324
宮津湾流域下水道宮津湾浄化センター,3323410,9079,3323410,9079
桂川中流流域下水道南丹浄化センター,2164259,5913,2164259,5913
木津川上流流域下水道木津川上流浄化センター,8108121,22153,8108121,22153
福知山市福知山終末処理場,17876491,48843,17876491,48843
福知山市三和浄化センター,167734,458,167734,458
福知山市大江中部浄化センター,290376,793,290376,793
舞鶴市東浄化センター,6009197,16419,6009197,16419
舞鶴市野原浄化センター,43165,118,43165,118
舞鶴市西浄化センター,3201788,8748,3201788,8748
舞鶴市丸山浄化センター,26805,73,26805,73
舞鶴市神崎浄化センター,47349,129,47349,129
綾部市綾部浄化センター,1161928,3174,1161928,3174
綾部市綾部第二浄化センター,125686,343,125686,343
宇治市東宇治浄化センター,6434406,17580,6434406,17580
亀岡市年谷浄化センター,8999060,24588,8999060,24588
亀岡市保津浄化センター,175282,484,17282,484
京丹後市橘浄化センター,268367,733,268367,733
京丹後市丹後浄化センター,162304,443,162304,443
京丹後市久美浜浄化センター,528875,1445,528875,1445
京丹後市峰山・大宮浄化センター,995871,2721,995871,2721
京丹後市網野浄化センター,77937,213,77937,213
南丹市西本梅浄化センター,138046,377,138046,377
南丹市西部浄化センター,138381,378,138381,378
南丹市川東浄化センター,136592,373,136592,373
南丹市胡麻浄化センター,346745,947,346745,947
南丹市殿田浄化センター,91523,250,91523,250
宇治田原町宇治田原浄化センター,517409,1337,517409,1337
木津川市加茂浄化センター,1163620,3179,1163620,3179
和束町和束中央浄化センター,217426,594,217426,594
京丹波町上豊田浄化センター,76780,210,76780,210
京丹波町水戸浄化センター,33938,93,33938,93
京丹波町下山浄化センター,144748,397,144748,397
京丹波町瑞穂浄化センター,186700,512,186700,512
