市町,測定局,用途地域,二酸化硫黄_2011年度(ppm),二酸化硫黄_2012年度(ppm),二酸化硫黄_2013年度(ppm),二酸化硫黄_2014年度(ppm),二酸化硫黄_2015年度(ppm),二酸化窒素_2011年度(ppm),二酸化窒素_2012年度(ppm),二酸化窒素_2013年度(ppm),二酸化窒素_2014年度(ppm),二酸化窒素_2015年度(ppm),浮遊粒子状物質_2011年度(mg/m3),浮遊粒子状物質_2012年度(mg/m3),浮遊粒子状物質_2013年度(mg/m3),浮遊粒子状物質_2014年度(mg/m3),浮遊粒子状物質_2015年度(mg/m3)
京都市,市役所,商業地域・近隣商業地域,0.004,…,…,…,…,0.013,0.012,0.012,0.011,0.011,0.018,0.017,0.019,0.016,0.014
京都市,壬生,準工業地域,0.004,0.004,0.004,0.003,0.003,0.013,0.013,0.013,0.012,0.011,0.021,0.016,0.017,0.014,0.014
京都市,南,準工業地域,0.004,…,…,…,…,0.017,…,…,…,…,0.016,…,…,…,…
京都市,伏見,準工業地域,0.004,0.004,0.005,0.004,0.004,0.018,0.017,0.016,0.016,0.015,0.018,…,…,…,…
京都市,山科,第一種・二種住居専用地域,0.004,0.004,0.004,0.003,0.003,0.014,0.013,0.014,0.013,0.012,0.017,0.017,0.02,0.017,0.016
京都市,左京,第一種・二種住居専用地域,0.004,…,…,…,…,0.009,0.01,0.009,0.008,0.008,0.014,0.015,0.016,0.015,0.014
京都市,西京,第一種・二種住居専用地域,0.003,0.003,0.004,0.003,0.003,0.013,0.012,0.012,0.01,0.009,0.017,0.016,0.016,0.016,0.014
京都市,久我,第一種・二種住居専用地域,0.004,…,…,…,…,0.017,0.016,0.015,0.014,0.014,0.018,0.018,0.019,0.017,0.016
京都市,北,商業地域・近隣商業地域,…,…,…,…,…,0.012,0.01,0.011,0.01,0.01,…,…,…,…,…
京都市,醍醐,第一種・二種住居専用地域,0.004,…,…,…,…,0.017,0.015,0.015,0.014,0.014,0.017,0.016,0.017,0.017,0.015
京都市,自排南,商業地域・近隣商業地域,…,…,…,…,…,0.028,0.027,0.026,0.025,0.025,0.022,0.021,0.023,0.022,0.021
京都市,自排大宮,商業地域・近隣商業地域,…,…,…,…,…,0.029,0.028,0.028,0.026,0.025,0.022,0.024,0.025,0.022,0.02
京都市,自排山科,商業地域・近隣商業地域,…,…,…,…,…,0.025,0.023,0.023,0.022,0.021,0.02,0.017,0.024,0.017,0.018
京都市,自排上京,第一種・二種住居専用地域,…,…,…,…,…,…,0.011,0.011,0.01,0.01,…,0.02,0.019,0.017,0.016
京都市,自排西ノ京,商業地域・近隣商業地域,…,…,…,…,…,0.017,0.017,0.016,0.015,0.015,0.019,0.021,0.023,0.017,0.017
京都市,自排桂,商業地域・近隣商業地域,0.003,…,…,…,…,0.012,…,…,…,…,0.018,…,…,…,…
向日市,向陽,第一種・二種住居専用地域,0.004,0.003,0.004,0.004,0.003,0.013,0.012,0.011,0.009,0.009,0.018,0.017,0.018,0.016,0.017
大山崎町,大山崎,第一種・二種住居専用地域,…,…,…,…,…,0.014,0.014,0.014,0.013,0.012,0.02,0.021,0.022,0.02,0.02
宇治市,宇治,第一種・二種住居専用地域,…,…,…,…,…,0.012,0.011,0.011,0.012,0.011,0.019,0.019,0.018,0.018,0.019
久御山町,久御山,未指定地域,0.004,0.003,0.004,0.003,0.002,0.016,0.014,0.015,0.014,0.014,0.017,0.016,0.021,0.019,0.023
城陽市,城陽,第一種・二種住居専用地域,…,…,…,…,…,0.011,…,0.01,0.009,0.008,0.019,…,0.023,0.02,0.019
八幡市,国設京都八幡,第一種・二種住居専用地域,…,…,…,…,…,0.014,0.013,0.013,…,…,0.02,0.021,0.022,…,…
京田辺市,田辺,第一種・二種住居専用地域,…,…,…,…,…,0.013,0.011,0.012,0.011,0.011,0.022,0.021,0.023,0.021,0.02
精華町,精華,未指定地域、商業地域・近隣商業地域,…,…,…,…,…,0.009,0.009,0.008,0.008,0.009,0.019,0.019,0.02,0.019,0.016
木津川市,木津,準工業地域,0.003,0.003,0.003,0.003,0.003,0.008,0.008,0.008,0.007,0.007,0.019,0.019,0.019,0.02,0.025
亀岡市,亀岡,未指定地域,0.004,0.002,0.002,0.002,0.002,0.008,0.008,0.007,0.006,0.006,0.017,0.02,0.02,0.019,0.023
南丹市,南丹,未指定地域,…,…,…,…,…,0.004,0.004,0.004,0.004,0.003,0.017,0.017,0.019,0.016,0.013
綾部市,綾部,第一種・二種住居専用地域,…,…,…,…,…,0.006,0.006,0.006,0.006,0.005,0.016,0.015,0.017,0.016,0.014
福知山市,福知山,商業地域・近隣商業地域,0.003,0.003,0.003,0.003,0.002,0.006,0.006,0.006,0.006,0.005,0.017,0.017,0.018,0.017,0.015
舞鶴市,東舞鶴,第一種・二種住居専用地域,0.003,0.001,0.001,0.001,0.002,0.008,0.006,0.006,0.007,0.006,0.02,0.021,0.022,0.017,0.024
宮津市,宮津,第一種・二種住居専用地域,…,…,…,…,…,0.004,0.004,0.003,0.003,0.003,0.018,0.019,0.02,0.019,0.017
京丹後市,京丹後,未指定地域,…,…,…,…,…,0.004,0.003,0.003,0.003,0.003,0.015,0.018,0.021,0.019,0.021
八幡市,国道１号(自排),未指定地域,…,…,…,…,…,0.023,0.022,0.022,0.02,0.02,0.016,0.017,0.02,0.023,0.021
大山崎町,国道171号(自排),工業地域,…,…,…,…,…,0.029,0.028,0.025,0.023,0.023,0.018,0.019,0.022,0.025,0.025
宇治市,国道24号(自排),準工業地域,…,…,…,…,…,0.023,0.022,(0.021),…,…,0.021,0.022,(0.023),…,…
