水域名,環境基準点名,類型,2011年度(mg/l),2012年度(mg/l),2013年度(mg/l),2014年度(mg/l),2015年度(mg/l)
宇治川(1),隠元橋,A,1.2,1.5,1.2,1,0.9
宇治川(2),淀川御幸橋,B,1.6,1.6,1.3,1,1.2
桂川上流,渡月橋,A,1,0.7,0.9,0.7,0.6
桂川下流(1),西大橋,A（B）,0.9,0.8,0.9,0.8,0.8
桂川下流(2),宮前橋,A（B）,1.2,1.1,1.1,1.1,1
鴨川上流(1),出町橋,A,0.5,0.8,0.8,0.5,0.7
鴨川上流(2),三条大橋,A,0.8,0.7,0.7,0.7,0.8
鴨川下流,京川橋,A（B）,1,1.1,0.9,0.9,1
木津川(2),笹瀬橋,A,1.5,1.4,1.5,1.6,1.2
木津川(3),恭仁大橋,A,1.1,1.2,1,1,0.9
木津川(3),玉水橋,A,1.1,1.2,1,1,0.9
木津川(3),木津川御幸橋,A,1.1,1.2,0.9,1,0.8
由良川上流,安野橋,AA,<0.5,<0.5,<0.5,<0.5,<0.5
由良川下流,山家橋,A,0.9,0.6,<0.5,0.6,<0.5
由良川下流,以久田橋,A,0.7,0.7,0.7,0.5,0.6
由良川下流,音無瀬橋,A,0.8,0.9,0.8,0.6,0.6
由良川下流,波美橋,A,0.6,0.8,0.6,0.6,0.6
由良川下流,由良川橋,A,0.9,1.7,1.1,2.1,0.7
野田川,六反田橋,A,0.7,0.7,0.6,0.5,<0.5
野田川,堂谷橋,A,0.9,0.8,1,0.7,0.9
竹野川,荒木野橋,B,0.8,0.9,0.8,0.9,0.8
小畑川上流,京都市・長岡京市境界点,A（C）,1,1,0.7,1.2,0.6
小畑川下流,小畑橋,A（C）,1.2,1.2,0.9,1,0.6
大谷川,二ノ橋,B（Ｅ）,2.2,2.1,2.2,2.1,1.8
高野川上流,三宅橋,AA,<0.5,0.5,0.5,<0.5,<0.5
高野川下流,河合橋,A,0.7,0.7,0.7,0.7,0.6
清滝川,落合橋,AA,<0.5,<0.5,<0.5,<0.5,<0.5
田原川,蛍橋,A,0.6,0.6,0.8,0.7,0.5
弓削川,寺田橋,A,<0.5,0.5,0.6,<0.5,<0.5
園部川,神田橋,A,0.8,0.8,0.9,0.5,0.6
犬飼川,並河橋,A（B）,1,0.9,1.1,0.9,0.6
有栖川,梅津新橋,A（B）,1.1,1.4,1.1,1.2,1
天神川,西京極橋,A（B）,1.2,1,0.8,0.8,0.6
和束川,菜切橋,A,0.5,0.5,0.5,0.5,<0.5
棚野川,和泉大橋,A,<0.5,<0.5,<0.5,<0.5,<0.5
高屋川,黒瀬橋,A,0.8,1,0.8,0.8,0.6
上林川,五郎橋,A,0.9,0.7,0.5,<0.5,<0.5
八田川,八田川橋,A,1.3,1.3,1.1,1,1.1
犀川,小貝橋,A,1.1,1,1,0.9,0.7
土師川,土師橋,A,0.7,0.8,0.8,0.6,0.6
牧川,天津橋,A,<0.5,0.5,0.6,<0.5,<0.5
宮川,宮川橋,A,<0.5,0.5,<0.5,<0.5,<0.5
伊佐津川,相生橋,A,0.8,0.8,0.7,0.6,<0.5
河辺川,第一河辺川橋,A,0.6,0.8,0.5,<0.5,<0.5
大手川,京口橋,A,1,1,<0.5,<0.5,<0.5
福田川,新川橋,A,0.9,0.8,0.9,0.9,0.7
宇川,宇川橋,A,0.6,<0.5,<0.5,<0.5,<0.5
佐濃谷川,高橋橋,A,0.6,0.6,0.8,0.5,0.7
