水域名,環境基準点名,類型,水素イオン濃度(pH)_最小,水素イオン濃度(pH)_最大,水素イオン濃度(pH)_環境基準超過検体数,水素イオン濃度(pH)_総検体数,生物化学的酸素要求量（BOD）_平均(mg/l),生物化学的酸素要求量（BOD）_最小(mg/l),生物化学的酸素要求量（BOD）_最大(mg/l),生物化学的酸素要求量（BOD）_環境基準に適合しない日数,生物化学的酸素要求量（BOD）_総測定日数,浮遊物質量(SS)_平均(mg/l),浮遊物質量(SS)_最小(mg/l),浮遊物質量(SS)_最大(mg/l),浮遊物質量(SS)_環境基準超過検体数,浮遊物質量(SS)_総検体数,溶存酸素量（DO）_平均(mg/l),溶存酸素量（DO）_最小(mg/l),溶存酸素量（DO）_最大(mg/l),溶存酸素量（DO）_環境基準超過検体数,溶存酸素量（DO）_総検体数,大腸菌群数_平均(MPN/100ml),大腸菌群数_最小(MPN/100ml),大腸菌群数_最大(MPN/100ml),大腸菌群数_環境基準超過検体数,大腸菌群数_総検体数
宇治川(1),隠元橋,A,7.6,8.7,1,12,0.7,0.5,1.1,0,12,3,<1,8,0,12,9.8,8.3,12,0,12,5.4E+03,2.4E+02,1.4E+04,9,12
宇治川(2),淀川御幸橋,B,7.6,8.4,0,12,1.1,0.6,3.3,1,12,8,3,16,0,12,9.6,8.2,12,0,12,2.7E+04,3.3E+02,2.2E+05,7,12
桂川上流,渡月橋,A,7.5,7.9,0,12,0.6,<0.5,1.1,0,12,5,<1,28,1,12,10,8.6,12,0,12,6.5E+03,2.4E+02,3.3E+04,8,12
桂川下流(1),西大橋,A,7.6,8.2,0,12,0.7,<0.5,1,0,12,6,2,27,1,12,10,8.5,12,0,12,2.0E+04,3.3E+01,1.7E+05,8,12
桂川下流(2),宮前橋,A,7.4,8,0,12,0.9,0.6,1.7,0,12,6,2,26,1,12,9.6,8.2,11,0,12,2.2E+04,2.2E+02,1.4E+05,10,12
鴨川上流(1),出町橋,A,7.3,8.1,0,12,0.6,<0.5,1,0,12,2,<1,5,0,12,10,8.1,14,0,12,7.0E+03,7.9E+02,3.5E+04,9,12
鴨川上流(2),三条大橋,A,7.7,9.2,3,12,0.7,<0.5,1.4,0,12,3,<1,9,0,12,11,9.1,13,0,12,6.9E+03,3.3E+02,3.5E+04,7,12
鴨川下流,京川橋,A,7.5,8.3,0,12,0.8,<0.5,1.2,0,12,4,<1,11,0,12,9.8,7.3,13,1,12,3.8E+04,7.9E+02,2.4E+05,10,12
木津川(2),笹瀬橋,A,7.6,7.9,0,12,1.1,0.6,1.8,0,12,6,2,19,0,12,10,8.2,13,0,12,2.6E+04,2.4E+03,1.7E+05,12,12
木津川(3),恭仁大橋,A,7.6,8,0,12,0.8,<0.5,1.3,0,12,3,1,11,0,12,10,8.4,13,0,12,8.5E+03,2.4E+02,3.3E+04,8,12
