水域名,環境基準点名,カドミウム_平均値(mg/l),カドミウム_環境基準超過検体数,カドミウム_総検体数,全シアン_最大値(mg/l),全シアン_環境基準超過検体数,全シアン_総検体数,鉛_平均値(mg/l),鉛_環境基準超過検体数,鉛_総検体数,六価クロム_平均値(mg/l),六価クロム_環境基準超過検体数,六価クロム_総検体数,砒素_平均値(mg/l),砒素_環境基準超過検体数,砒素_総検体数,総水銀_平均値(mg/l),総水銀_環境基準超過検体数,総水銀_総検体数,総水銀_day,PCB_平均値(mg/l),PCB_環境基準超過検体数,PCB_総検体数,ジクロロメタン_平均値(mg/l),ジクロロメタン_環境基準超過検体数,ジクロロメタン_総検体数,四塩化炭素_平均値(mg/l),四塩化炭素_環境基準超過検体数,四塩化炭素_総検体数,"1,2-ジクロロエタン_平均値(mg/l)","1,2-ジクロロエタン_環境基準超過検体数","1,2-ジクロロエタン_総検体数","1,1-ジクロロエチレン_平均値(mg/l)","1,1-ジクロロエチレン_環境基準超過検体数","1,1-ジクロロエチレン_総検体数","シス-1,2-ジクロロエチレン_平均値(mg/l)","シス-1,2-ジクロロエチレン_環境基準超過検体数","シス-1,2-ジクロロエチレン_総検体数","1,1,1-トリクロロエタン_平均値(mg/l)","1,1,1-トリクロロエタン_環境基準超過検体数","1,1,1-トリクロロエタン_総検体数","1,1,2-トリクロロエタン_平均値(mg/l)","1,1,2-トリクロロエタン_環境基準超過検体数","1,1,2-トリクロロエタン_総検体数",トリクロロエチレン_平均値(mg/l),トリクロロエチレン_環境基準超過検体数,トリクロロエチレン_総検体数,テトラクロロエチレン_平均値(mg/l),テトラクロロエチレン_環境基準超過検体数,テトラクロロエチレン_総検体数,"1,3-ジクロロプロペン_平均値(mg/l)","1,3-ジクロロプロペン_環境基準超過検体数","1,3-ジクロロプロペン_総検体数",チラウム_平均値(mg/l),チラウム_環境基準超過検体数,チラウム_総検体数,シマジン_平均値(mg/l),シマジン_環境基準超過検体数,シマジン_総検体数,チオベンカルブ_平均値(mg/l),チオベンカルブ_環境基準超過検体数,チオベンカルブ_総検体数,ベンゼン_平均値(mg/l),ベンゼン_環境基準超過検体数,ベンゼン_総検体数,セレン_平均値(mg/l),セレン_環境基準超過検体数,セレン_総検体数
宇治川(1),隠元橋,<0.0003,0,1,ND,0,1,<0.005,0,2,<0.02,0,1,<0.005,0,4,<0.0005,0,1,1,…,…,…,<0.002,0,4,<0.0002,0,1,<0.0004,0,1,<0.01,0,1,<0.004,0,1,<0.1,0,1,<0.0006,0,1,<0.001,0,1,<0.001,0,1,…,…,…,…,…,…,…,…,…,…,…,…,<0.001,0,1,<0.002,0,1
宇治川(2),淀川御幸橋,<0.0003,0,1,ND,0,1,<0.005,0,4,<0.02,0,1,<0.005,0,4,<0.0005,0,1,1,ND,0,1,<0.002,0,4,<0.0002,0,1,<0.0004,0,1,<0.01,0,1,<0.004,0,4,<0.1,0,1,<0.0006,0,1,<0.001,0,1,<0.001,0,2,<0.0002,0,1,<0.0006,0,1,<0.0003,0,1,<0.002,0,1,<0.001,0,1,<0.002,0,1
桂川上流,渡月橋,<0.0003,0,1,ND,0,1,<0.005,0,1,<0.02,0,1,<0.005,0,4,<0.0005,0,1,1,ND,0,1,<0.002,0,2,<0.0002,0,1,<0.0004,0,1,<0.01,0,1,<0.004,0,1,<0.1,0,1,<0.0006,0,1,<0.001,0,1,<0.001,0,1,<0.0002,0,1,<0.0006,0,1,<0.0003,0,1,<0.002,0,1,<0.001,0,1,<0.002,0,1
桂川下流(1),西大橋,<0.0003,0,1,ND,0,1,<0.005,0,1,<0.02,0,1,<0.005,0,4,<0.0005,0,1,1,ND,0,1,<0.002,0,2,<0.0002,0,1,<0.0004,0,1,<0.01,0,1,<0.004,0,4,<0.1,0,1,<0.0006,0,1,<0.001,0,1,<0.001,0,12,<0.0002,0,1,<0.0006,0,1,<0.0003,0,1,<0.002,0,1,<0.001,0,1,<0.002,0,1
桂川下流(2),宮前橋,<0.0003,0,1,ND,0,1,<0.005,0,4,<0.02,0,1,<0.005,0,4,<0.0005,0,1,1,ND,0,1,<0.002,0,4,<0.0002,0,1,<0.0004,0,1,<0.01,0,1,<0.004,0,1,<0.1,0,2,<0.0006,0,1,<0.001,0,1,<0.001,0,4,<0.0002,0,1,<0.0006,0,1,<0.0003,0,1,<0.002,0,1,<0.001,0,1,<0.002,0,1
鴨川上流(1),出町橋,<0.0003,0,4,ND,0,4,<0.005,0,4,<0.02,0,4,<0.005,0,4,<0.0005,0,4,4,…,…,…,<0.002,0,4,<0.0002,0,4,<0.0004,0,4,<0.01,0,4,<0.004,0,4,<0.1,0,4,<0.0006,0,4,<0.001,0,4,<0.001,0,4,<0.0002,0,2,<0.0006,0,2,<0.0003,0,2,<0.002,0,2,<0.001,0,4,<0.002,0,4
鴨川上流(2),三条大橋,<0.0003,0,4,ND,0,4,<0.005,0,4,<0.02,0,4,<0.005,0,4,<0.0005,0,4,4,…,…,…,<0.002,0,4,<0.0002,0,4,<0.0004,0,4,<0.01,0,4,<0.004,0,4,<0.1,0,4,<0.0006,0,4,<0.001,0,4,<0.001,0,4,<0.0002,0,2,<0.0006,0,2,<0.0003,0,2,<0.002,0,2,<0.001,0,4,<0.002,0,4
鴨川下流,京川橋,<0.0003,0,4,ND,0,4,<0.005,0,4,<0.02,0,4,<0.005,0,4,<0.0005,0,4,4,ND,0,2,<0.002,0,4,<0.0002,0,4,<0.0004,0,4,<0.01,0,4,<0.004,0,4,<0.1,0,4,<0.0006,0,4,<0.001,0,4,<0.001,0,4,<0.0002,0,2,<0.0006,0,2,<0.0003,0,2,<0.002,0,2,<0.001,0,4,<0.002,0,4
木津川(2),笹瀬橋,<0.0003,0,4,ND,0,4,<0.005,0,4,<0.02,0,4,<0.005,0,4,<0.0005,0,4,4,ND,0,1,<0.002,0,4,<0.0002,0,4,<0.0004,0,4,<0.01,0,4,<0.004,0,4,<0.1,0,4,<0.0006,0,4,<0.001,0,4,<0.001,0,4,<0.0002,0,4,<0.0006,0,1,<0.0003,0,1,<0.002,0,1,<0.001,0,4,<0.002,0,4
木津川(3),恭仁大橋,<0.0003,0,1,ND,0,1,<0.005,0,4,<0.02,0,1,<0.005,0,1,<0.0005,0,1,1,…,…,…,<0.002,0,4,<0.0002,0,1,<0.0004,0,1,<0.01,0,1,<0.004,0,1,<0.1,0,1,<0.0006,0,1,<0.001,0,1,<0.001,0,1,…,…,…,…,…,…,…,…,…,…,…,…,<0.001,0,1,<0.002,0,1
木津川(3),玉水橋,<0.0003,0,1,ND,0,1,<0.005,0,4,<0.02,0,1,<0.005,0,1,<0.0005,0,1,1,…,…,…,<0.002,0,4,<0.0002,0,1,<0.0004,0,1,<0.01,0,1,<0.004,0,1,<0.1,0,1,<0.0006,0,1,<0.001,0,1,<0.001,0,1,…,…,…,…,…,…,…,…,…,…,…,…,<0.001,0,1,<0.002,0,1
木津川(3),木津川御幸橋,<0.0003,0,1,ND,0,1,<0.005,0,4,<0.02,0,1,<0.005,0,4,<0.0005,0,1,1,ND,0,1,<0.002,0,4,<0.0002,0,1,<0.0004,0,1,<0.01,0,1,<0.004,0,1,<0.1,0,1,<0.0006,0,1,<0.001,0,1,<0.001,0,1,<0.0002,0,1,<0.0006,0,1,<0.0003,0,1,<0.002,0,1,<0.001,0,1,<0.002,0,1
由良川上流,安野橋,<0.0003,0,1,ND,0,1,<0.005,0,1,<0.02,0,1,<0.005,0,1,<0.0005,0,1,1,…,…,…,<0.002,0,1,<0.0002,0,1,<0.0004,0,1,<0.01,0,1,<0.004,0,1,<0.1,0,1,<0.0006,0,1,<0.001,0,1,<0.001,0,1,<0.0002,0,1,<0.0006,0,1,<0.0003,0,1,<0.002,0,1,<0.001,0,1,<0.002,0,1
由良川下流,山家橋,<0.0003,0,1,ND,0,1,<0.005,0,1,<0.02,0,1,<0.005,0,1,<0.0005,0,1,1,…,…,…,<0.002,0,1,<0.0002,0,1,<0.0004,0,1,<0.01,0,1,<0.004,0,1,<0.1,0,1,<0.0006,0,1,<0.001,0,1,<0.001,0,1,<0.0002,0,1,<0.0006,0,1,<0.0003,0,1,<0.002,0,1,<0.001,0,1,<0.002,0,1
由良川下流,以久田橋,<0.0003,0,2,ND,0,2,<0.005,0,2,<0.02,0,2,<0.005,0,4,<0.0005,0,2,2,ND,0,1,<0.002,0,4,<0.0002,0,2,<0.0004,0,2,<0.01,0,2,<0.004,0,2,<0.1,0,2,<0.0006,0,2,<0.001,0,2,<0.001,0,2,<0.0002,0,2,<0.0006,0,1,<0.0003,0,1,<0.002,0,1,<0.001,0,2,<0.002,0,2
由良川下流,音無瀬橋,<0.0003,0,2,ND,0,2,<0.005,0,4,<0.02,0,2,<0.005,0,4,<0.0005,0,2,2,ND,0,1,<0.002,0,2,<0.0002,0,2,<0.0004,0,2,<0.01,0,2,<0.004,0,2,<0.1,0,2,<0.0006,0,2,<0.001,0,2,<0.001,0,2,<0.0002,0,2,<0.0006,0,1,<0.0003,0,1,<0.002,0,1,<0.001,0,2,<0.002,0,2
由良川下流,波美橋,<0.0003,0,4,ND,0,4,<0.005,0,4,<0.02,0,4,<0.005,0,4,<0.0005,0,4,4,ND,0,1,<0.002,0,4,<0.0002,0,4,<0.0004,0,4,<0.01,0,4,<0.004,0,4,<0.1,0,4,<0.0006,0,4,<0.001,0,4,<0.001,0,4,<0.0002,0,4,<0.0006,0,1,<0.0003,0,1,<0.002,0,1,<0.001,0,4,<0.002,0,4
由良川下流,由良川橋,<0.0003,0,2,ND,0,2,<0.005,0,4,<0.02,0,2,<0.005,0,4,<0.0005,0,2,2,ND,0,1,<0.002,0,4,<0.0002,0,2,<0.0004,0,4,<0.01,0,2,<0.004,0,2,<0.1,0,2,<0.0006,0,2,<0.001,0,2,<0.001,0,2,<0.0002,0,2,<0.0006,0,1,<0.0003,0,1,<0.002,0,1,<0.001,0,2,<0.002,0,4
野田川,六反田橋,<0.0003,0,1,ND,0,1,<0.005,0,1,<0.02,0,1,<0.005,0,1,<0.0005,0,1,1,…,…,…,<0.002,0,1,<0.0002,0,1,<0.0004,0,1,<0.01,0,1,<0.004,0,1,<0.1,0,1,<0.0006,0,1,<0.001,0,1,<0.001,0,1,<0.0002,0,1,<0.0006,0,1,<0.0003,0,1,<0.002,0,1,<0.001,0,1,<0.002,0,1
野田川,堂谷橋,<0.0003,0,1,ND,0,1,<0.005,0,1,<0.02,0,1,<0.005,0,1,<0.0005,0,1,1,ND,0,1,<0.002,0,1,<0.0002,0,1,<0.0004,0,1,<0.01,0,1,<0.004,0,1,<0.1,0,1,<0.0006,0,1,<0.001,0,1,<0.001,0,1,<0.0002,0,1,<0.0006,0,1,<0.0003,0,1,<0.002,0,1,<0.001,0,1,<0.002,0,1
