水域名,環境基準点名,類型,水素イオン濃度(pH)_最小,水素イオン濃度(pH)_最大,水素イオン濃度(pH)_環境基準超過検体数,水素イオン濃度(pH)_総検体数,化学的酸素要求量（COD）_平均(mg/l),化学的酸素要求量（COD）_最小(mg/l),化学的酸素要求量（COD）_最大(mg/l),化学的酸素要求量（COD）_環境基準に適合しない日数,化学的酸素要求量（COD）_総測定日数,n-ヘキサン抽出物質_最小(mg/l),n-ヘキサン抽出物質_最大(mg/l),n-ヘキサン抽出物質_環境基準超過検体数,n-ヘキサン抽出物質_総検体数,溶存酸素量（DO）_平均(mg/l),溶存酸素量（DO）_最小(mg/l),溶存酸素量（DO）_最大(mg/l),溶存酸素量（DO）_環境基準超過検体数,溶存酸素量（DO）_総検体数,大腸菌群数_平均(MPN/100ml),大腸菌群数_最小(MPN/100ml),大腸菌群数_最大(MPN/100ml),大腸菌群数_環境基準超過検体数,大腸菌群数_総検体数
舞鶴湾(1),念仏鼻地先,A,8.1,8.4,2,18,2,1.4,3.1,3,6,ND,ND,0,2,7,4.7,8.5,10,18,8.3E+01,<1.8E+00,2.2E+02,0,6
舞鶴湾(1),楢埼地先,A,7.6,8.2,2,18,1.8,1.2,2.1,1,6,ND,ND,0,2,6.9,5,8.6,11,18,3.3E+03,2.0E+00,1.7E+04,2,6
舞鶴湾(2),キンギョ鼻地先,A,7.8,8.4,1,18,1.5,1,2.1,1,6,ND,ND,0,2,6.7,5,7.8,12,18,1.5E+02,<1.8E+00,7.9E+02,0,6
舞鶴湾(2),恵比須埼地先,A,8,8.4,1,18,1.9,1.1,2.5,1,6,ND,ND,0,2,6.8,5.3,7.7,14,18,1.0E+02,7.8E+00,3.3E+02,0,6
宮津湾,江尻地先,A,8.2,8.3,0,18,1.5,1.2,2,0,6,ND,ND,0,2,7.8,6.2,8.8,6,18,4.5E+01,<1.8E+00,1.7E+02,0,6
宮津湾,島埼地先,A,8,8.3,0,18,2,1.6,2.9,2,6,ND,ND,0,2,8.2,6,11,6,18,4.0E+03,3.3E+01,2.3E+04,1,6
阿蘇海,野田川流入点,B,7.6,8.5,7,36,3.7,2.6,4.7,10,12,ND,ND,0,2,7.9,3.6,11,3,36,7.6E+03,3.3E+01,4.9E+04,-,12
阿蘇海,中央部,B,7.8,8.5,10,36,3.4,2.4,4.3,8,12,ND,ND,0,2,7.3,1.1,12,8,36,9.2E+02,9.3E+00,7.9E+03,-,12
阿蘇海,溝尻地先,B,7.8,8.6,8,36,3.3,2.2,4.6,9,12,ND,ND,0,2,7.1,3,12,6,36,3.0E+02,1.1E+01,2.4E+03,-,12
若狭湾,栗田湾沖,A,8.2,8.4,1,8,1.9,1.5,2.5,1,4,…,…,…,…,7.3,5.6,8.5,3,8,5.4E+01,4.5E+00,1.7E+02,0,4
若狭湾,波見埼沖,A,8.2,8.3,0,8,1.6,1.4,2.2,1,4,…,…,…,…,7.1,5.2,8.2,4,8,3.2E+00,<1.8E+00,4.5E+00,0,4
若狭湾,鷲埼沖,A,8.2,8.4,1,8,1.3,1,1.4,0,4,…,…,…,…,7.2,5.4,8.7,4,8,7.1E+00,<1.8E+00,2.3E+01,0,4
山陰海岸,竹野川沖,A,8.2,8.4,1,8,1.5,1.2,1.9,0,4,…,…,…,…,7.2,4.5,9,4,8,1.1E+01,<1.8E+00,2.3E+01,0,4
山陰海岸,久美浜湾沖,A,8.2,8.4,2,8,1.7,1.1,2.1,1,4,…,…,…,…,7.5,5.1,9.6,4,8,8.6E+00,<1.8E+00,2.3E+01,0,4
久美浜湾,湾口部,A,7.9,8.6,5,36,2.6,1.8,3.2,11,12,ND,ND,0,2,7.9,4.6,12,12,36,5.7E+02,2.3E+01,3.3E+03,2,12
久美浜湾,湾奥部,A,7.7,8.6,5,36,3.2,2.3,4.2,12,12,ND,ND,0,2,8.2,2.3,13,11,36,1.2E+04,2.3E+01,1.3E+05,4,12
報告下限値,-,-,−,-,-,-,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.8E+00,1.8E+00,1.8E+00,1.8E+00,1.8E+00
