水域名,環境基準点名,カドミウム_平均値(mg/l),カドミウム_環境基準超過検体数,カドミウム_総検体数,全シアン_最大値(mg/l),全シアン_環境基準超過検体数,全シアン_総検体数,鉛_平均値(mg/l),鉛_環境基準超過検体数,鉛_総検体数,六価クロム_平均値(mg/l),六価クロム_環境基準超過検体数,六価クロム_総検体数,砒素_平均値(mg/l),砒素_環境基準超過検体数,砒素_総検体数,総水銀_平均値(mg/l),総水銀_環境基準超過検体数,総水銀_総検体数,総水銀_day,PCB_平均値(mg/l),PCB_環境基準超過検体数,PCB_総検体数
舞鶴湾(1),念仏鼻地先,<0.0003,0,1,ND,0,1,<0.005,0,1,<0.02,0,1,<0.005,0,1,<0.0005,0,1,1,ND,0,1
舞鶴湾(1),楢埼地先,<0.0003,0,1,ND,0,1,<0.005,0,1,<0.02,0,1,<0.005,0,1,<0.0005,0,1,1,ND,0,1
舞鶴湾(2),キンギョ鼻地先,<0.0003,0,1,ND,0,1,<0.005,0,1,<0.02,0,1,<0.005,0,1,<0.0005,0,1,1,ND,0,1
舞鶴湾(2),恵比須埼地先,<0.0003,0,1,ND,0,1,<0.005,0,1,<0.02,0,1,<0.005,0,1,<0.0005,0,1,1,ND,0,1
宮津湾,江尻地先,<0.0003,0,1,ND,0,1,<0.005,0,1,<0.02,0,1,<0.005,0,1,<0.0005,0,1,1,…,…,…
宮津湾,島埼地先,<0.0003,0,1,ND,0,1,<0.005,0,1,<0.02,0,1,<0.005,0,1,<0.0005,0,1,1,…,…,…
阿蘇海,野田川流入点,<0.0003,0,1,ND,0,1,<0.005,0,1,<0.02,0,1,<0.005,0,1,<0.0005,0,1,1,ND,0,1
阿蘇海,中央部,<0.0003,0,1,ND,0,1,<0.005,0,1,<0.02,0,1,<0.005,0,1,<0.0005,0,1,1,ND,0,1
阿蘇海,溝尻地先,<0.0003,0,1,ND,0,1,<0.005,0,1,<0.02,0,1,<0.005,0,1,<0.0005,0,1,1,ND,0,1
若狭湾,栗田湾沖,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
若狭湾,波見埼沖,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
若狭湾,鷲埼沖,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
山陰海岸,竹野川沖,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
山陰海岸,久美浜湾沖,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
久美浜湾,湾口部,<0.0003,0,1,ND,0,1,<0.005,0,1,<0.02,0,1,<0.005,0,1,<0.0005,0,1,1,ND,0,1
久美浜湾,湾奥部,<0.0003,0,1,ND,0,1,<0.005,0,1,<0.02,0,1,<0.005,0,1,<0.0005,0,1,1,ND,0,1
環境基準値,-,0.003以下,0.003以下,0.003以下,検出されないこと,検出されないこと,検出されないこと,0.01以下,0.01以下,0.01以下,0.05以下,0.05以下,0.05以下,0.01以下,0.01以下,0.01以下,0.0005以下,0.0005以下,0.0005以下,0.0005以下,検出されないこと,検出されないこと,検出されないこと
報告下限値,-,0.0003,0.0003,0.0003,0.1,0.1,0.1,0.005,0.005,0.005,0.02,0.02,0.02,0.005,0.005,0.005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005
